rev_Mean,mou_Mean,totmrc_Mean,da_Mean,ovrmou_Mean,ovrrev_Mean,vceovr_Mean,datovr_Mean,roam_Mean,change_mou,change_rev,drop_vce_Mean,drop_dat_Mean,blck_vce_Mean,blck_dat_Mean,unan_vce_Mean,unan_dat_Mean,plcd_vce_Mean,plcd_dat_Mean,recv_vce_Mean,recv_sms_Mean,comp_vce_Mean,comp_dat_Mean,custcare_Mean,ccrndmou_Mean,cc_mou_Mean,inonemin_Mean,threeway_Mean,mou_cvce_Mean,mou_cdat_Mean,mou_rvce_Mean,owylis_vce_Mean,mouowylisv_Mean,iwylis_vce_Mean,mouiwylisv_Mean,peak_vce_Mean,peak_dat_Mean,mou_peav_Mean,mou_pead_Mean,opk_vce_Mean,opk_dat_Mean,mou_opkv_Mean,mou_opkd_Mean,drop_blk_Mean,attempt_Mean,complete_Mean,callfwdv_Mean,callwait_Mean,churn,months,uniqsubs,actvsubs,new_cell,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID,,
62.1275,97.5,65.985,2.475,0,0,0,0,0,23.5,6.8225,0,0,0.333333333,0,4,0,19.33333333,0.333333333,0,0,15,0.333333333,4,98.66666667,96.92,0,0,136.4933333,0.056666667,0,3.666666667,15.36666667,0,0,7.666666667,0.333333333,66.07333333,0.056666667,7.333333333,0,70.42,0,0.333333333,19.66666667,15.33333333,0,0,0,59,2,2,Y,A,N,2392,6868.11,3290.73,3195.01,6620.11,2312,56.05,116.14,40.56,90,16,60,123,32,64,C,DALLAS AREA,Y,N,79.98999023,3,3,WCMB,0,0,O,15,S,S,5,M,6,,C,A,0,N,Y,U,U,U,U,Y,464,1000011,,
35.295,24.25,34.98,0,0,0,0,0,0,19.75,-0.315,0,0,0,0,1,0,9,0,3,0,8,0,0,0,0,2.333333333,0,5.533333333,0,2.386666667,4,2.926666667,1.666666667,1.516666667,9.333333333,0,7.17,0,1.666666667,0,0.75,0,0,9,8,0,0,0,53,3,3,Y,A,N,3207,5579.136667,3104.16,2796.06,5358.14,3087,54.82,105.06,60.53,18,13,36,36,26,36,C,CENTRAL/SOUTH TEXAS AREA,N,N,79.98999023,4,3,WC,0,0,O,4,S,A,3,M,9,,,A,0,N,U,U,Y,Y,U,Y,544,1000012,,
81,1056.25,75,0,0,0,0,0,0,42.75,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,1,Y,BA,N,31584,51857.07,4270.87,4181.91,51553.07,31397,78.9,972.7,592.4,1042,625,80,999,625,76,U,GREAT LAKES AREA,Y,N,199.9899902,9,5,WCMB,0,0,O,15,S,S,3,M,5,,B,A,0,J,U,U,U,U,U,Y,388,1000013,,
25.225,2.5,25,0,0,0,0,0,0,-2.5,-0.225,0,0,0,0,0.333333333,0,1.333333333,0,0.333333333,0,1,0,0,0,0,0,0,1.306666667,0,1.133333333,0.333333333,0.023333333,0,0,0.666666667,0,2.2,0,0.666666667,0,0.24,0,0,1.333333333,1,0,0,0,53,2,2,Y,A,N,400,642,1370.94,1323.62,613,385,25.95,12.02,7.55,3,2,25,4,3,25,C,CENTRAL/SOUTH TEXAS AREA,Y,N,59.98999023,2,2,WCMB,1,0,,1,S,U,1,M,7,,A,A,0,N,U,U,U,U,U,N,354,1000014,,
212.515,1971.5,84.99,2.2275,249.5,99.8,99.8,0,35.4975,-200.5,-106.765,9,0,0,0,43.66666667,0,344.6666667,0,271.3333333,0,296,0,0.333333333,3.333333333,3.316666667,126.3333333,0,581.2966667,0,718.07,49.33333333,35.16333333,4.666666667,9.263333333,351.6666667,0,864.1733333,0,128.6666667,0,435.1933333,0,9,344.6666667,296,0,1,0,59,5,1,Y,C,N,33184,69161.08333,6616.72,6572.7,69104.08,33139,115.31,1212.35,581.39,2038,637,248,1817,576,182,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,10,6,WCMB,0,0,O,11,S,S,3,M,3,2,I,A,0,N,U,U,Y,U,U,Y,199,1000015,,
42.565,270.5,37.48,0.2475,6,1.5,1.5,0,0,201.5,-1.785,3.333333333,0,1.666666667,0,7.666666667,0,67.66666667,0,25.33333333,0,55.33333333,0,1,1.666666667,1.026666667,11.66666667,0,117.8466667,0,57.09333333,11,10.81,3.666666667,4,62.33333333,0,136.7966667,0,18,0,38.14333333,0,5,67.66666667,55.33333333,0,0.333333333,0,55,2,2,N,B,N,7586,15226.03,2311.08,2303.38,15180.03,7560,43.46,286.42,142.64,203,106,43,222,115,41,S,DALLAS AREA,Y,N,79.98999023,5,4,WCMB,0,0,O,4,M,U,3,M,1,,,,0,N,U,Y,U,U,U,Y,697,1000016,,
63.0175,440.25,59.98,0,5.75,1.725,1.725,0,1.3125,-16.25,0.2125,5,0,0,0,17.33333333,0,138.3333333,0,53,0,118,0,3.666666667,10.66666667,8.27,22,0.333333333,225.0533333,0,93.87666667,0,0,0,0,141.3333333,0,268.56,0,14.33333333,0,50.37,0,5,138.3333333,118,0,1.666666667,0,57,1,1,N,B,N,4078,11330,1739.43,1722.98,11316,4067,50.68,332.82,119.62,446,193,63,429,183,64,T,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,29.98999023,3,2,WCMB,0,0,O,3,S,U,2,M,3,1,C,A,0,N,U,U,U,U,U,Y,530,1000017,,
35.59,153,29.99,0,16,5.6,5.6,0,0,30,7.35,2,0,0.666666667,0,17.33333333,0,53,0,26,0,33.33333333,0,0,0,0,14.66666667,0,50.13333333,0,33.10666667,8,10.94666667,4.666666667,5.253333333,48.33333333,0,77.15333333,0,7,0,6.086666667,0,2.666666667,53,33.33333333,0,0.333333333,0,59,3,2,N,A,N,7043,12661,2036.85,2013.28,12657,7041,36.61,230.13,128.02,143,76,33,135,73,32,U,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,79.98999023,6,5,WC,1,1,O,7,S,S,5,M,4,,C,A,0,N,U,U,U,U,Y,Y,48,1000018,,
55.27,1212.75,49.99,0.7425,0,0,0,0,1.285,169.25,0.99,2.666666667,0,6,0,43.66666667,0,225,0,121.6666667,0,173.6666667,0,4.333333333,9.666666667,7.5,43,0,456.98,0,490.1266667,50.66666667,50.00666667,8.333333333,18.40666667,189.3333333,0,593.0866667,0,105,0,354.02,0,8.666666667,225,173.6666667,0,4.333333333,0,52,1,1,N,A,N,8468,23835,1935.97,1914.23,23524,8378,47.86,588.1,209.45,1156,254,55,1031,248,55,S,DALLAS AREA,Y,N,29.98999023,4,4,WC,0,0,O,10,S,B,1,M,3,1,C,A,0,N,U,U,U,U,U,Y,408,1000019,,
50.965,162,69.99,0,2.5,0.975,0,0.975,0,-58,-0.975,1.666666667,0,0.333333333,0,9,0,60.66666667,1.333333333,14,0,50,1.333333333,0.333333333,0.333333333,0.276666667,7,0,65.24666667,2.373333333,38.37333333,34.33333333,17.40666667,5.666666667,11.69,19.33333333,0,37.26666667,0,42.33333333,1.333333333,66.35333333,2.373333333,2,62,51.33333333,0,0,0,56,1,1,Y,B,N,1319,4531.016667,1348.33,1276,4504.02,1306,42.53,150.13,43.53,181,63,51,240,62,51,U,CHICAGO AREA,Y,N,129.9899902,4,3,WCMB,0,0,R,15,S,S,4,M,1,2,C,A,0,S,U,U,Y,Y,Y,N,253,1000020,,
172.44,1978,99.99,0,362.25,72.45,72.45,0,0,-1007,-72.45,7.333333333,0,18,0,114.3333333,0,760.3333333,0,157.6666667,0,622,0,0.333333333,1,0.94,69,0.666666667,1397.513333,0,515.2333333,22.66666667,22.08666667,2.666666667,8.476666667,718,0,1797.173333,0,60.33333333,0,115.5766667,0,25.33333333,760.3333333,622,0,20.33333333,1,58,2,1,U,A,N,28477,79406.01667,6751.7,6472.05,78927.02,28359,115.57,1409.41,506.41,2314,862,197,2192,810,163,U,TENNESSEE AREA,Y,N,149.9899902,4,3,WCMB,1,1,O,7,S,U,2,M,6,1,C,A,0,Z,U,U,U,U,U,Y,143,1000021,,
60.185,1424.5,56.25,0.2475,0,0,0,0,0,-1134.5,-55.185,23.66666667,0,0,0,11.66666667,0,47.33333333,0,646,0,33.33333333,0,0.333333333,0.666666667,0.593333333,285.3333333,0,44.04,0,939.3466667,7.666666667,11.76666667,39,58.91333333,459.6666667,0,692.0166667,0,174.6666667,0,291.3733333,0,23.66666667,47.33333333,33.33333333,0,5.666666667,1,54,1,1,U,D,N,79038,117808.04,6005.39,5935.58,117230.04,78664,114.15,2254.42,1512.77,1803,1290,78,1720,1226,91,S,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,129.9899902,13,6,WCMB,1,1,,13,M,A,3,M,5,3,C,J,0,U,U,U,U,U,U,Y,162,1000022,,
244.0975,1771.5,99.99,6.1875,546.25,136.5625,136.5625,0,0.39,397.5,82.1325,28.66666667,0,1.333333333,0,31,0,323.6666667,0,276.3333333,0,276.3333333,0,0,0,0,134.3333333,0,591.74,0,680.1266667,71,109.3333333,29.66666667,167.88,435.6666667,0,1181.4,0,36.33333333,0,90.46666667,0,30,323.6666667,276.3333333,0,11.33333333,1,52,1,1,N,A,N,27530,64174.80667,7419.73,7341.87,63886.81,27398,143.96,1252.68,537.22,1639,601,217,1393,519,163,T,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,8,6,WCMB,0,0,,,,U,,,,,,,0,J,U,U,U,U,U,N,350,1000023,,
30.205,360,29.99,0,0.25,0.065,0.065,0,0,-105,-0.215,8.666666667,0,2.333333333,0,19.33333333,0,95.66666667,0,75,0,68.33333333,0,0,0,0,36.66666667,0,103.79,0,160.8566667,34.33333333,33.68,15,29.63333333,71.33333333,0,129.32,0,62.33333333,0,135.33,0,11,95.66666667,68.33333333,0,0.333333333,1,54,1,1,Y,G,N,5145,10451.09667,1122.8,1089.25,10356.1,5084,29.44,279.89,137.41,395,187,30,486,192,33,U,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,79.98999023,4,3,WCMB,1,1,O,15,S,M,4,M,5,1,,A,0,N,U,U,U,U,U,Y,652,1000024,,
25.4925,299.5,24.99,0,0.75,0.2775,0.2775,0,0,-47.5,-0.5025,2,0,0.666666667,0,14.33333333,0,74,0,47,0,57.66666667,0,1,1.666666667,1.2,25.66666667,0.333333333,174.25,0,77.48666667,6.333333333,7.38,5,9.823333333,45.66666667,0,83.17333333,0,52.33333333,0,168.5633333,0,2.666666667,74,57.66666667,0,0.333333333,0,52,2,2,Y,B,N,4761,14984,1312.65,1297.63,14983,4760,25.44,293.78,93.33,315,128,26,292,97,26,C,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,59.98999023,2,2,WCMB,0,0,O,0,S,M,1,M,6,,A,A,0,N,U,U,U,U,U,N,752,1000025,,
29.99,47,29.99,0,0,0,0,0,0,14,0,0.333333333,0,0,0,2.333333333,0,26.33333333,0,2,0,23.66666667,0,0,0,0,1.666666667,0,23.06,0,1.04,10,5.796666667,1.666666667,1.04,22,0,16.83666667,0,3.333333333,0,7.263333333,0,0.333333333,26.33333333,23.66666667,0,0,0,54,3,3,Y,A,N,2048,3896,1614.8,1588.22,3848,2019,31.76,76.96,40.38,42,27,30,64,31,31,C,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,59.98999023,3,3,WCMB,0,0,O,,M,U,2,M,9,2,C,,0,M,U,U,U,U,U,Y,573,1000026,,
51.025,382.25,48.79,1.485,0.75,0.075,0.075,0,0,226.75,2.695,19.66666667,0,3.666666667,0,34.66666667,0,175.6666667,0,84,0,124.6666667,0,0.666666667,0.666666667,0.033333333,47.33333333,0,151.33,0,104.2333333,5,5.833333333,0,0,110.6666667,0,135.0766667,0,72,0,120.4866667,0,23.33333333,175.6666667,124.6666667,0,4.333333333,1,52,1,1,Y,B,N,13600,30020.16,3513.41,3410.02,29860.16,13535,71.04,622.09,281.98,307,174,50,352,218,50,S,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,29.98999023,3,2,WC,0,0,O,1,M,M,2,M,9,1,C,C,0,N,U,U,U,U,Y,Y,265,1000027,,
37.6625,971.75,35.99,0.2475,4.75,1.425,1.425,0,0,25.25,-1.6725,4,0,0,0,42.66666667,0,343,0,99.33333333,0,297.6666667,0,0,0,0,48.66666667,0,509.8,0,244.6433333,20,20.48333333,8,26.29666667,206.3333333,0,367.47,0,170.3333333,0,386.9733333,0,4,343,297.6666667,0,0,0,58,1,1,Y,A,N,8893,16916,1944.11,1906.69,16904,8887,41.45,367.48,193.2,963,376,38,932,377,53,U,GREAT LAKES AREA,Y,N,149.9899902,2,2,WCMB,0,0,,,M,S,2,M,1,1,G,,0,H,U,U,U,U,U,Y,452,1000028,,
98.4225,608,94.99,1.2375,41.5,12.195,7.125,5.07,0,-563,-12.4425,8.666666667,0,0.333333333,0,70.66666667,0,273.3333333,11.33333333,55,0,194.6666667,11.33333333,0,0,0,34.33333333,1,387.3466667,9.54,57.21,24.66666667,28.87666667,6.666666667,7.15,146.6666667,11.33333333,293.4966667,9.54,89.66666667,0,151.06,0,9,284.6666667,206,0,4.666666667,1,56,5,4,N,A,N,17915,42715,3829.33,3530.39,42354,17729,65.38,784.33,328.31,796,316,103,827,341,101,S,NEW ENGLAND AREA,Y,R,99.98999023,5,3,WCMB,0,0,O,10,M,B,1,M,6,2,C,,0,G,U,U,U,U,U,Y,183,1000029,,
30.26,34.5,29.99,0,0,0,0,0,0,32.5,-0.27,0,0,0,0,0.666666667,0,14,0,1,0,13.33333333,0,0,0,0,0.666666667,0,16.11333333,0,0.52,0.333333333,0.906666667,0,0,14.33333333,0,16.63333333,0,0,0,0,0,0,14,13.33333333,0,0,0,52,1,1,Y,B,N,3745,6020,2204.39,2152.22,5959,3703,43.04,119.18,74.06,24,13,31,19,11,31,C,CENTRAL/SOUTH TEXAS AREA,Y,N,59.98999023,2,2,WCMB,0,0,,,,U,,,,,,,0,S,U,U,U,U,U,N,319,1000030,,
24.49,41.75,16.99,0,9.5,9.0425,8.75,0.2925,0,81.25,29.93,0,0,0,0,0,0,3.333333333,0,0.333333333,0,3.333333333,0,0,0,0,0.333333333,0,5.74,0,0,0,0,0,0,3,0,5.086666667,0,0.666666667,0,0.653333333,0,0,3.333333333,3.333333333,0,0,1,58,2,1,N,A,N,3195,8864.016667,2028.12,2031.06,8796.02,3156,36.27,157.07,56.36,15,7,14,17,8,14,C,MIDWEST AREA,Y,N,129.9899902,3,3,WCMB,0,0,O,1,S,B,1,M,9,,B,A,0,N,U,U,U,U,U,N,776,1000031,,
30,94,30,0,0,0,0,0,0,-54,0,2,0,1.666666667,0,5.333333333,0,41.66666667,0,13,0,34.33333333,0,0,0,0,5,0,49.76333333,0,19.50666667,1,9.843333333,0,0,26.33333333,0,45.40333333,0,19.33333333,0,23.86666667,0,3.666666667,41.66666667,34.33333333,0,0,0,54,1,1,Y,C,N,1665,3256,1615.61,1554.93,3226,1656,29.9,62.04,31.85,112,65,30,108,63,31,R,CENTRAL/SOUTH TEXAS AREA,N,R,9.989997864,2,2,NA,1,1,O,4,S,U,5,M,3,,,A,0,H,U,U,U,U,U,Y,1395,1000032,,
35.5525,138.75,34.99,0.2475,0,0,0,0,0,-10.75,-0.5625,0,0,0.666666667,0,3.333333333,0,22.33333333,0,24.33333333,0,18.33333333,0,0,0,0,13,0,34.63333333,0,72.50666667,3.666666667,1.66,0.333333333,1.11,27.33333333,0,71.67666667,0,15.33333333,0,35.46333333,0,0.666666667,22.33333333,18.33333333,0,0.333333333,0,52,1,1,N,A,N,4178,9279,1830.13,1830.13,9194,4120,36.6,183.88,82.4,142,57,36,134,57,37,S,DALLAS AREA,Y,N,149.9899902,4,3,WCMB,0,0,O,7,S,M,1,M,5,,C,A,0,N,U,U,Y,U,U,Y,628,1000033,,
21.15,45.5,16.99,0,14,4.16,3.77,0.39,0,-15.5,-4.16,1.333333333,0,3,0,7.333333333,0,32,0.333333333,0.666666667,0,20.33333333,0.333333333,0,0,0,0.333333333,0,32.59,1.29,2.276666667,0,0,0.333333333,0.066666667,7,0,8.953333333,0,14,0.333333333,25.91333333,1.29,4.333333333,32.33333333,20.66666667,0,0,0,58,1,1,Y,A,N,657,1522,1174.43,929.35,1502,646,16.9,27.31,11.75,51,18,22,36,14,20,T,MIDWEST AREA,T,N,99.98999023,2,2,WCMB,0,0,O,15,S,M,2,M,7,,C,A,1,N,U,U,U,U,U,Y,138,1000034,,
28.5,65.75,30,0,0,0,0,0,0,41.25,0,0.333333333,0,0,0,1.333333333,0,17.33333333,0,24.33333333,0,16,0,0,0,0,13.66666667,0,15.1,0,25.95333333,4.333333333,3.693333333,0,0,31.66666667,0,32.44333333,0,6.333333333,0,8.61,0,0.333333333,17.33333333,16,0,0.333333333,0,56,2,1,N,A,N,3897,6246.02,1873.74,1837.18,6207.02,3879,34.02,114.94,71.83,52,30,29,84,47,29,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,29.98999023,2,2,WC,1,0,O,7,M,A,6,M,9,3,,A,0,N,U,U,U,U,Y,Y,917,1000035,,
99.9125,1193.75,75,0.495,97.25,24.3125,24.3125,0,0,-13.75,-0.1625,11,0,5,0,53.33333333,0,409.3333333,0,100.3333333,0,342.6666667,0,2.666666667,3,2.143333333,36.33333333,0,575.1033333,0,287.97,91.33333333,87.16666667,12.33333333,28.29333333,370,0,767.6766667,0,65.66666667,0,95.39666667,0,16,409.3333333,342.6666667,0,11.66666667,0,54,1,1,N,A,N,22974,55673.23,4566.18,4345.2,54702.23,22668,83.56,1051.97,435.92,1198,499,100,1132,440,80,T,MIDWEST AREA,Y,N,199.9899902,4,3,WCMB,0,0,O,2,,U,2,M,7,2,C,,0,I,U,U,U,U,U,Y,258,1000036,,
30,155.75,30,0,0,0,0,0,0,94.25,0,2,0,2,0,3,0,71.33333333,0,12,0,64.33333333,0,0,0,0,7.333333333,0,80.75666667,0,13.88666667,5,5.573333333,4,2.826666667,61.66666667,0,83.68666667,0,14.66666667,0,10.95666667,0,4,71.33333333,64.33333333,0,0,0,56,2,2,Y,A,N,2139,3827,1518.34,1517.47,3827,2139,28.63,72.21,40.36,124,78,30,103,63,30,T,MIDWEST AREA,Y,N,149.9899902,5,3,WCMB,1,0,O,2,S,M,2,M,9,2,C,A,0,N,U,U,Y,U,U,Y,630,1000037,,
22.3675,90.75,16.99,0,0.75,0.3375,0.3375,0,0,26.25,3.0725,0,0,0,0,18.66666667,0,34.66666667,0,22,0,16,0,0,0,0,11.33333333,0,14.34666667,0,46.79666667,5.666666667,4.566666667,6,17.21,21.66666667,0,42.21333333,0,5.666666667,0,18.93,0,0,34.66666667,16,0,0,1,52,1,1,Y,A,N,1226,3109,1006.81,967.07,3074,1210,19.34,61.48,24.2,82,29,21,73,27,20,U,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,29.98999023,1,1,NA,1,0,O,1,S,M,2,M,7,2,I,A,0,N,U,U,U,U,U,Y,1570,1000038,,
33.5625,197.5,30,0.2475,8.5,3.315,0,3.315,0,123.5,4.8375,6.333333333,0,1.333333333,0,27,0,94,1.666666667,42.66666667,0,62,1.666666667,0,0,0,32.33333333,0,39.83333333,3.353333333,21.94666667,11,6.266666667,0.666666667,1.053333333,41,0,34.44666667,0,41.66666667,1.666666667,27.33333333,3.353333333,7.666666667,95.66666667,63.66666667,0,0,1,58,1,1,N,A,N,9655,16089.60333,2362.05,2291.63,15771.6,9454,41.67,286.76,171.89,156,114,32,245,153,38,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,79.98999023,3,3,WCMB,1,0,O,13,S,M,2,M,9,,C,A,0,N,U,U,U,U,U,Y,786,1000039,,
