,totmrc_Mean,da_Mean,ovrmou_Mean,ovrrev_Mean
77,18.87,0.0,9.0,2.25
78,35.0,0.0,0.0,0.0
79,70.5175,0.495,163.25,65.3
80,59.99,0.495,65.25,19.575
81,0.0,0.0,0.0,0.0
82,85.0,4.95,872.25,87.225
83,69.99,0.0,13.0,5.2
84,75.0,0.0,4.75,1.8525
85,75.0,1.485,85.0,8.5
86,74.99,4.455,0.0,0.0
87,59.99,0.0,10.25,3.075
88,75.0,0.0,0.0,0.0
89,30.0,0.0,0.0,0.0
90,44.99,0.0,0.0,0.0
91,34.98,0.495,0.75,0.1725
92,77.8975,0.0,0.0,0.0
93,84.99,0.7425,0.0,0.0
94,59.99,0.0,1.5,0.0
95,15.0,0.0,30.5,7.625
96,29.99,0.0,0.0,0.0
97,75.0,2.7225,0.0,0.0
98,84.99,0.7425,38.0,15.2
99,75.0,0.495,0.0,0.0
100,59.99,0.0,483.5,193.4
101,83.0,1.7325,51.5,14.6475
102,50.0,0.0,161.0,40.25
103,58.0,0.99,162.5,16.25
104,50.4775,0.0,0.0,0.0
105,88.5425,0.0,0.0,0.0
106,94.99,0.2475,21.5,5.375
107,79.99,14.6025,71.25,17.8125
108,78.0,0.0,370.0,37.0
109,75.0,1.485,25.5,2.55
110,79.99,0.2475,0.0,0.0
111,32.705,0.2475,3.75,1.5
112,29.99,0.0,0.0,0.0
113,69.99,1.485,102.75,20.55
114,85.0,1.98,102.0,10.2
115,44.99,1.98,39.0,13.65
116,44.99,0.495,0.25,0.0975
117,75.0,24.0075,92.75,9.6375
118,83.0,0.99,0.0,0.0
119,16.99,0.0,4.25,1.105
120,29.99,0.2475,0.0,0.0
121,74.99,1.485,5.25,2.1
122,76.99,1.7325,227.25,56.8125
123,82.99,3.2175,666.5,66.65
124,19.99,0.0,4.0,1.56
125,49.99,0.495,0.0,0.0
126,75.0,0.0,0.0,0.0
127,182.9375,8.415,759.0,88.5
128,83.0,3.7125,0.0,0.0
129,10.0,0.7425,7.0,1.75
130,77.5,3.465,0.0,0.0
131,50.0,0.0,8.25,0.825
132,50.0,0.2475,29.75,7.4375
133,83.0,0.495,0.0,0.0
134,60.0,0.0,43.25,8.65
135,15.0,0.0,12.0,3.0
136,29.99,3.7125,72.0,21.6
137,30.0,0.495,0.0,0.0
138,75.0,5.445,0.0,0.0
139,84.99,0.2475,21.75,8.7
140,16.99,0.0,1.0,0.45
141,79.1575,3.96,343.25,102.975
142,212.99,44.3025,0.0,0.0
143,45.0,1.485,0.0,0.0
144,29.99,0.0,0.0,0.0
145,75.0,0.7425,0.0,0.0
146,50.0,0.0,0.0,0.0
147,84.99,1.2375,107.0,26.75
148,75.0,4.2075,0.0,0.0
149,75.0,15.5925,146.25,14.625
150,44.99,0.0,0.0,0.0
151,44.99,0.2475,15.0,5.25
152,74.99,4.2075,0.0,0.0
153,86.98,2.7225,182.75,22.425
154,27.0,0.0,0.0,0.0
155,75.0,0.0,0.0,0.0
156,59.99,0.66,110.6666667,44.25333333
157,50.0,0.0,60.25,6.025
158,75.0,4.95,0.0,0.0
159,30.3225,0.0,0.0,0.0
160,30.0,0.0,0.0,0.0
161,107.98,0.7425,0.0,0.0
162,29.99,2.475,78.5,27.475
163,31.98,0.0,0.0,0.0
164,75.0,0.0,0.0,0.0
165,39.99,0.2475,0.0,0.0
166,43.865,0.0,8.5,3.145
167,75.0,4.2075,58.25,5.825
168,29.99,0.0,30.0,13.5
169,58.78,0.0,44.75,15.6875
170,29.9975,0.0,7.0,2.5
171,50.0,0.0,109.75,10.975
172,29.99,0.0,128.5,19.275
173,10.0,4.2075,120.5,48.2
174,16.95,0.2475,0.0,0.0
175,84.99,4.95,231.75,23.175
176,69.99,0.0,63.5,25.4
177,75.0,0.2475,156.5,15.65
178,75.0,1.7325,1948.75,194.875
179,60.0,0.7425,0.0,0.0
180,37.5,0.0,215.75,21.575
181,75.0,7.6725,0.0,0.0
182,69.99,0.0,140.5,42.15
183,5.0,0.0,32.25,31.7925
184,39.98,0.0,0.0,0.0
185,75.0,10.6425,0.0,0.0
186,36.285,0.0,3.0,1.1025
187,75.0,2.2275,0.0,0.0
188,85.0,0.2475,49.75,4.975
189,53.0,0.0,54.0,5.4
190,149.99,11.385,99.0,14.85
191,34.98,4.2075,5.5,1.43
192,75.0,5.445,0.0,0.0
193,159.99,0.0,0.75,0.2925
194,15.0,0.0,0.0,0.0
195,30.0,0.99,62.5,15.625
196,75.0,2.475,284.0,28.4
197,34.99,0.0,0.0,0.0
198,10.0,0.0,0.0,0.0
199,83.0,2.475,186.0,20.8475
200,25.0,0.0,0.0,0.0
201,75.0,0.0,0.0,0.0
202,58.785,0.2475,1094.25,15.925
203,29.99,0.0,0.0,0.0
204,50.0,1.7325,7.5,0.75
205,75.0,4.455,0.0,0.0
206,20.0,0.7425,144.0,28.8
207,5.0,0.0,18.5,18.5
208,44.99,0.0,97.0,38.8
209,83.0,3.96,536.75,53.675
210,104.99,0.0,31.5,7.875
211,89.99,6.435,4.75,1.6625
212,75.0,0.7425,289.5,28.95
213,107.49,4.2075,0.0,0.0
214,50.0,1.98,154.0,15.4
215,75.0,2.97,49.0,5.1175
216,30.0,0.0,0.0,0.0
217,18.3875,0.2475,0.0,0.0
218,50.0,0.7425,4.5,0.595
219,19.99,0.2475,0.0,0.0
220,84.99,0.99,90.75,22.6875
221,73.9425,0.0,50.0,15.0
222,75.0,0.0,0.0,0.0
223,75.0,0.99,0.0,0.0
224,,,,
225,16.99,0.0,0.0,0.0
226,49.99,0.0,2.75,0.825
227,55.0,0.99,0.0,0.0
228,75.0,1.98,459.25,45.925
229,80.0,0.0,0.0,0.0
230,75.0,0.0,114.5,14.35
231,,,,
232,75.0,0.7425,0.0,0.0
233,52.5025,0.495,16.0,6.3475
234,42.49,0.0,0.0,0.0
235,30.0,2.475,0.0,0.0
236,101.925,0.0,0.0,0.0
237,139.99,0.7425,0.0,0.0
238,75.0,2.475,1055.5,105.6225
239,75.0,0.0,0.0,0.0
240,50.0,0.0,0.0,0.0
241,50.0,0.2475,20.75,2.075
242,75.0,1.2375,323.75,32.375
243,32.49,1.7325,0.0,0.0
244,19.99,0.0,0.0,0.0
245,49.99,0.0,0.0,0.0
246,84.99,0.2475,443.25,44.325
247,70.0,1.485,0.0,0.0
248,79.0325,1.2375,64.0,19.2
249,85.0,0.0,0.0,0.0
250,57.12,6.6825,648.25,64.825
251,154.99,0.495,0.25,0.0975
252,29.99,0.0,0.0,0.0
253,84.99,4.455,0.0,0.0
254,75.0,1.98,0.0,0.0
255,49.99,0.2475,0.0,0.0
256,75.0,0.2475,0.0,0.0
257,75.0,0.0,0.0,0.0
258,39.99,0.7425,21.5,7.525
259,16.1225,0.2475,59.75,22.1075
260,84.99,0.0,36.0,9.0
261,75.0,0.0,6.5,1.625
262,50.0,1.2375,237.75,23.775
263,63.3375,5.1975,23.75,9.2725
264,50.0,0.0,5.75,0.575
265,67.74,15.345,248.0,98.73
266,94.99,0.0,0.0,0.0
267,62.9775,0.7425,608.75,213.0625
268,44.99,0.0,0.0,0.0
269,84.99,0.0,52.75,21.1
270,44.99,1.2375,88.0,30.8
271,49.99,0.2475,0.0,0.0
272,35.0,0.0,13.5,4.05
273,75.0,0.0,229.25,45.85
274,60.0,0.2475,250.25,25.025
275,29.99,0.0,0.0,0.0
276,35.0,0.0,6.25,1.5625
277,69.99,0.2475,71.0,28.4
278,75.0,17.5725,1306.25,130.625
279,30.0,0.0,0.0,0.0
280,29.99,0.0,0.0,0.0
281,52.0375,0.0,45.25,4.525
282,29.99,0.7425,1.75,0.7
283,83.0,16.5825,0.0,0.0
284,75.0,0.495,0.0,0.0
285,32.49,0.0,0.0,0.0
286,105.07,1.98,80.0,28.0
287,20.0,0.0,0.0,0.0
288,59.99,0.0,0.0,0.0
289,29.99,0.7425,0.0,0.0
290,50.0,0.0,0.0,0.0
291,75.0,0.0,0.0,0.0
292,75.0,0.0,30.25,7.5625
293,29.99,0.0,0.0,0.0
294,59.99,0.0,0.0,0.0
295,75.0,0.0,0.75,0.2925
296,50.0,0.495,4.75,1.78
297,10.0,0.0,0.0,0.0
298,75.0,2.2275,0.0,0.0
299,75.0,3.96,532.0,53.2
300,75.0,14.85,458.25,45.825
301,75.0,0.0,0.0,0.0
302,41.99,0.0,0.0,0.0
303,75.0,0.7425,198.25,19.825
304,34.99,0.0,0.0,0.0
305,50.0,0.2475,0.0,0.0
306,75.0,18.5625,0.0,0.0
307,50.0,0.0,0.0,0.0
308,39.99,0.0,33.0,11.55
309,92.99,7.1775,47.25,4.725
310,75.0,2.2275,510.0,51.2175
311,50.0,0.0,0.0,0.0
312,34.98,0.2475,0.0,0.0
313,58.0,0.2475,94.75,9.475
314,83.0,0.0,0.0,0.0
315,76.5275,4.2075,214.0,61.3
316,50.0,0.0,0.0,0.0
317,202.005,55.1925,1565.25,215.235
318,69.5575,0.2475,0.0,0.0
319,19.0,0.0,0.0,0.0
320,74.99,0.0,0.0,0.0
321,86.98,0.7425,0.0,0.0
322,75.0,2.2275,0.0,0.0
323,84.99,1.98,52.0,20.8
324,87.48,8.6625,0.0,0.0
325,20.0,0.0,38.0,12.16
326,32.49,0.2475,2.5,0.625
327,79.99,0.0,31.75,12.7
328,50.0,0.2475,264.0,26.4
329,19.99,0.0,0.0,0.0
330,75.0,1.485,0.0,0.0
331,75.0,7.425,0.0,0.0
332,75.0,0.0,0.0,0.0
333,59.99,0.495,505.0,151.5
334,29.99,1.98,90.0,31.5
335,70.0,1.485,1.5,0.515
336,30.0,0.2475,0.5,0.05
337,29.99,0.0,0.0,0.0
338,75.0,0.2475,0.0,0.0
339,84.99,0.0,0.0,0.0
340,104.99,1.485,40.5,16.2
341,75.0,0.7425,69.0,7.4075
342,149.99,1.98,0.5,0.195
343,69.99,0.0,4.25,1.275
344,75.0,0.2475,49.5,12.375
345,119.99,4.7025,0.0,0.0
346,94.99,14.6025,98.25,24.5625
347,29.99,0.0,1.0,0.39
348,75.0,0.0,68.25,6.825
349,37.5,0.0,0.0,0.0
350,48.75,0.0,158.25,15.825
351,69.99,4.455,0.0,0.0
352,59.99,0.0,247.0,74.1
353,10.0,0.0,0.0,0.0
354,60.0,0.0,0.0,0.0
355,47.58,0.495,0.0,0.0
356,80.8775,0.99,0.0,0.0
357,75.0,18.0675,14.0,1.4
358,20.0,0.0,0.0,0.0
359,75.0,0.495,0.0,0.0
360,84.99,0.2475,0.0,0.0
361,50.0,0.0,5.25,0.525
362,49.99,0.0,0.0,0.0
363,75.0,10.89,7.25,0.7975
364,80.0,4.95,95.5,9.55
365,75.0,7.425,0.0,0.0
366,40.0,0.0,0.0,0.0
367,75.0,3.96,0.0,0.0
368,56.98,0.495,33.25,10.1775
369,75.0,0.495,0.0,0.0
370,44.99,0.2475,18.25,7.3
371,37.99,0.0,0.0,0.0
372,41.28,4.2075,200.5,70.175
373,67.3225,1.7325,152.25,45.855
374,90.03,8.6625,8.25,2.8875
375,75.0,0.0,0.0,0.0
376,5.0,0.0,0.0,0.0
377,49.99,0.99,0.0,0.0
378,118.115,5.1975,228.25,91.3
379,23.5475,0.495,36.75,12.8625
380,75.0,0.2475,352.75,35.275
381,75.0,1.2375,0.0,0.0
382,34.98,0.2475,111.5,20.07
383,75.0,3.7125,0.0,0.0
384,75.0,0.2475,51.25,8.75
385,75.0,0.495,0.0,0.0
386,54.99,0.0,602.25,60.225
387,20.0,0.0,22.25,8.6775
388,75.0,0.0,0.5,0.195
389,42.1675,4.455,42.5,17.0
390,29.99,0.495,8.0,2.24
391,20.88,0.0,0.0,0.0
392,29.99,1.7325,114.5,40.075
393,75.0,18.315,82.25,8.225
394,75.0,0.0,64.5,6.45
395,50.0,1.485,204.0,20.4
396,59.99,1.2375,123.25,36.975
397,29.99,0.0,0.0,0.0
398,75.0,1.485,0.0,0.0
399,75.0,0.7425,44.25,4.425
400,44.99,0.495,33.75,13.5
401,39.99,0.0,5.75,2.0125
402,75.0,27.4725,306.5,76.73
403,29.99,0.0,74.5,26.075
404,47.2425,0.0,0.0,0.0
405,80.0,0.2475,357.75,35.775
406,25.0,0.2475,21.5,7.095
407,5.0,0.0,0.0,0.0
408,104.99,0.0,0.0,0.0
409,81.31,0.99,39.0,3.9
410,44.99,0.0,29.75,10.4125
411,37.49,0.0,0.0,0.0
412,75.0,0.2475,32.5,3.25
413,59.99,0.99,182.0,54.6
414,24.99,0.0,0.0,0.0
415,84.99,0.7425,1.0,0.39
416,29.99,0.0,2.5,1.0
417,74.99,1.485,44.75,11.1875
418,29.99,0.0,0.0,0.0
419,22.4925,0.2475,84.75,33.8875
420,50.0,4.2075,1.0,0.39
421,96.7775,0.0,5.25,2.1
422,70.795,13.86,0.0,0.0
423,30.0,0.2475,18.25,2.1875
424,76.99,0.495,81.5,8.15
425,70.8125,1.7325,598.25,212.2625
426,159.99,16.335,0.0,0.0
427,29.99,0.0,0.0,0.0
428,29.99,0.495,0.0,0.0
429,50.0,5.1975,109.75,32.925
430,83.0,1.2375,0.0,0.0
431,75.0,0.99,368.75,36.875
432,80.0,0.2475,0.0,0.0
433,49.99,0.495,0.0,0.0
434,49.99,0.0,0.0,0.0
435,59.99,0.2475,63.5,19.05
436,20.0,0.0,12.0,5.04
437,19.99,0.2475,105.75,16.05
438,94.99,0.0,0.0,0.0
439,50.0,0.0,0.0,0.0
440,10.0,0.0,0.0,0.0
441,109.99,16.335,215.25,75.3375
442,32.49,0.7425,12.75,3.825
443,50.0,0.0,73.25,7.325
444,100.0,1.7325,472.75,94.55
445,50.0,0.0,139.25,13.925
446,16.99,0.0,0.0,0.0
447,81.99,0.0,420.75,42.075
448,68.295,1.2375,73.0,18.25
449,19.99,0.0,14.25,5.5575
450,84.99,3.465,0.0,0.0
451,50.0,0.0,33.25,8.3475
452,52.41,0.495,0.0,0.0
453,75.0,0.0,0.0,0.0
454,69.99,0.495,0.0,0.0
455,94.99,1.2375,0.0,0.0
456,80.0,0.0,545.75,54.575
457,44.99,1.98,3.5,1.225
458,50.0,7.1775,0.0,0.0
459,42.49,0.495,16.0,4.0
460,35.99,2.2275,97.5,29.6325
461,34.99,0.0,32.25,5.805
462,75.0,4.455,1083.25,109.195
463,114.99,0.0,19.5,7.8
464,94.99,0.0,0.0,0.0
465,41.535,0.2475,37.75,37.75
466,75.995,2.2275,0.0,0.0
467,55.0,2.97,30.0,3.0
468,50.0,0.99,0.0,0.0
469,50.0,7.6725,0.0,0.0
470,6.715,0.7425,42.0,42.0
471,30.0,0.2475,0.0,0.0
472,85.0,1.7325,36.75,9.1875
473,80.0,0.0,0.0,0.0
474,35.99,0.0,0.0,0.0
475,75.0,1.485,0.0,0.0
476,12.7125,0.2475,0.0,0.0
477,59.99,0.99,0.0,0.0
478,28.0875,0.0,9.75,3.9
479,50.0,6.1875,9.25,0.9975
480,75.0,10.1475,25.75,2.575
481,50.0,0.99,43.5,4.35
482,50.0,2.7225,0.0,0.0
483,9.8375,0.0,8.75,3.5
484,80.0,4.7025,0.0,0.0
485,50.0,1.2375,7.25,0.9425
486,52.2,0.0,0.0,0.0
487,50.0,0.0,27.75,2.775
488,42.515,3.2175,92.5,30.8875
489,94.99,3.465,0.0,0.0
490,81.25,0.0,0.0,0.0
491,90.0,3.7125,0.0,0.0
492,60.0,0.0,209.75,20.975
493,199.99,0.99,470.25,117.5625
494,29.99,0.2475,58.0,20.3
495,50.0,1.98,20.0,2.0
496,25.0,0.0,0.0,0.0
497,84.99,0.0,0.0,0.0
498,159.99,0.99,0.0,0.0
499,50.0,0.0,0.0,0.0
500,75.0,0.0,0.0,0.0
501,50.0,0.2475,0.0,0.0
502,50.0,0.0,2.5,0.975
503,27.0,0.0,0.0,0.0
504,29.99,0.99,141.5,49.525
505,42.615,0.0,69.75,27.9
506,75.0,0.495,0.0,0.0
507,42.7325,1.2375,53.25,13.125
508,75.0,0.2475,0.0,0.0
509,101.9233333,4.62,226.6666667,90.66666667
510,75.0,2.475,0.0,0.0
511,75.0,0.2475,160.25,40.0625
512,75.0,0.0,0.0,0.0
513,50.0,4.7025,0.0,0.0
514,99.99,2.97,0.0,0.0
515,29.99,0.2475,0.0,0.0
516,69.99,0.99,55.5,14.015
517,75.0,1.98,0.0,0.0
518,75.0,4.455,0.0,0.0
519,75.0,0.495,120.25,12.025
520,49.99,0.99,0.25,0.0975
521,40.0,0.0,0.0,0.0
522,80.0,0.495,215.25,21.525
523,50.0,0.2475,0.0,0.0
524,75.0,2.2275,105.0,10.5
525,29.74,0.0,0.0,0.0
526,55.0,0.2475,254.25,25.425
527,30.0,0.0,0.0,0.0
528,59.98,0.0,13.0,3.9
529,19.0,0.0,4.0,1.4
530,84.99,2.475,0.0,0.0
531,50.0,0.2475,0.0,0.0
532,58.0,0.0,9.75,0.975
533,24.0,0.0,4.5,1.62
534,59.99,0.0,250.25,75.075
535,34.535,0.495,0.0,0.0
536,30.0,0.0,0.0,0.0
537,80.0,36.135,52.75,5.275
538,34.99,0.0,0.0,0.0
539,59.99,0.2475,69.25,20.775
540,75.0,8.6625,0.0,0.0
541,49.99,1.7325,199.0,59.7
542,75.0,0.2475,0.0,0.0
543,75.0,9.6525,0.0,0.0
544,49.99,0.0,0.0,0.0
545,94.3525,25.4925,831.0,84.735
546,45.0,2.475,62.0,15.5
547,59.99,0.0,0.0,0.0
548,48.3325,0.0,0.0,0.0
549,84.99,1.2375,241.75,60.4375
550,80.0,0.0,0.0,0.0
551,29.99,0.0,7.0,2.45
552,80.0,0.495,0.0,0.0
553,50.0,0.0,0.0,0.0
554,50.0,1.2375,316.5,31.65
555,80.0,1.485,0.0,0.0
556,50.0,0.2475,0.0,0.0
557,49.91,0.7425,224.0,77.325
558,94.99,0.0,0.25,0.0975
559,80.0,3.96,342.75,34.275
560,49.91,0.0,20.75,8.3
561,80.0,9.1575,92.0,9.2
562,51.9025,2.475,30.5,10.075
563,44.99,0.2475,0.0,0.0
564,104.99,0.99,2.5,0.625
565,94.99,1.485,0.0,0.0
566,54.99,6.435,4.5,1.03
567,74.99,1.7325,8.0,3.12
568,54.7,1.7325,0.0,0.0
569,207.49,2.475,667.5,165.1
570,80.0,0.2475,118.0,11.8
571,80.0,26.73,1887.25,188.725
572,31.3575,3.2175,359.5,115.04
573,59.99,1.2375,0.0,0.0
574,66.0375,0.2475,27.25,7.0925
575,39.99,0.0,0.0,0.0
576,75.0,4.7025,10.25,1.025
577,24.995,2.97,35.75,12.5125
578,30.0,0.99,0.0,0.0
579,49.9975,0.0,7.0,1.7875
580,19.99,0.0,2.5,1.0
581,79.99,0.0,0.0,0.0
582,114.99,1.485,11.0,2.75
583,83.0,0.495,19.25,1.925
584,5.0,0.0,0.0,0.0
585,84.99,4.2075,114.75,28.6875
586,29.99,0.0,0.0,0.0
587,92.4475,5.6925,163.5,56.9625
588,58.0,4.455,290.5,29.05
589,19.99,0.0,4.75,1.8525
590,19.99,0.2475,23.5,9.165
591,75.0,5.1975,0.0,0.0
592,84.99,1.98,102.0,25.5
593,44.99,0.0,0.0,0.0
594,75.0,0.0,0.0,0.0
595,159.99,0.2475,0.0,0.0
596,75.0,0.7425,0.0,0.0
597,55.0,0.7425,0.0,0.0
598,29.99,0.0,0.0,0.0
599,55.0,0.0,348.0,34.8
600,100.87,0.2475,699.5,174.875
601,32.49,0.0,4.5,1.35
602,75.0,0.0,0.0,0.0
603,80.0,0.2475,0.0,0.0
604,5.0,0.0,0.0,0.0
605,30.0,0.0,0.0,0.0
606,39.99,0.2475,0.0,0.0
607,29.95,0.0,0.0,0.0
608,59.99,0.2475,11.75,3.525
609,29.99,0.0,37.75,13.2125
610,29.99,0.0,26.0,7.02
611,80.0,2.475,5.25,2.0475
612,49.7475,0.2475,39.0,11.7
613,44.99,0.0,0.0,0.0
614,79.99,5.445,0.0,0.0
615,82.95,0.0,0.0,0.0
616,30.0,0.2475,0.0,0.0
617,59.99,0.7425,0.0,0.0
618,34.99,0.495,0.0,0.0
619,50.0,0.495,72.75,7.275
620,32.49,0.2475,42.25,10.5975
621,75.0,1.485,0.0,0.0
622,44.99,0.0,1.0,0.4
623,74.99,2.97,389.25,97.3125
624,57.95,0.7425,24.0,2.4
625,29.99,0.99,0.0,0.0
626,24.99,0.0,0.25,0.0625
627,16.99,0.0,0.0,0.0
628,32.615,0.0,51.0,18.0375
629,70.0,2.2275,650.25,162.5625
630,84.99,0.7425,30.0,7.5
631,90.9,1.98,7.5,0.75
632,59.99,0.0,0.0,0.0
633,75.0,0.7425,22.5,5.625
634,159.99,8.1675,216.0,32.4
635,84.99,1.2375,86.5,21.695
636,16.99,0.0,2.0,0.74
637,75.0,15.345,61.5,6.15
638,85.0,5.94,17.5,4.375
639,19.99,0.0,61.0,24.4
640,75.0,10.395,932.25,93.225
641,75.0,1.485,504.0,50.4
642,0.0,0.0,0.0,0.0
643,49.99,7.1775,40.75,12.225
644,71.4425,1.485,180.75,72.3
645,20.0,0.0,0.0,0.0
646,50.0,5.94,1212.25,121.225
647,45.0,2.2275,258.25,64.5625
648,30.0,0.0,0.0,0.0
649,75.0,0.2475,103.25,10.325
650,75.0,1.98,0.25,0.0975
651,75.0,0.99,4320.75,432.075
652,55.0,0.99,209.25,20.925
653,34.98,0.0,0.0,0.0
654,30.0,0.0,0.0,0.0
655,31.3275,0.0,10.0,3.0
656,84.99,0.7425,0.0,0.0
657,55.0,0.99,0.0,0.0
658,30.0,0.2475,41.0,14.35
659,19.9075,0.2475,0.0,0.0
660,80.0,0.0,0.0,0.0
661,50.0,0.2475,0.0,0.0
662,50.0,1.7325,0.0,0.0
663,44.99,0.0,17.25,6.0375
664,89.99,2.2275,0.0,0.0
665,34.5875,2.7225,127.0,31.88
666,50.0,0.2475,29.0,2.9
667,75.0,0.495,0.0,0.0
668,54.99,0.0,184.5,18.45
669,59.99,2.2275,745.0,223.5
670,75.0,0.495,47.75,11.9375
671,16.99,0.0,0.0,0.0
672,29.99,0.2475,19.25,7.7
673,50.0,3.7125,90.0,9.0
674,50.0,0.0,121.25,12.125
675,69.99,0.7425,2.25,0.675
676,50.0,0.0,0.0,0.0
677,94.99,0.0,0.0,0.0
678,30.0,0.0,0.0,0.0
679,50.0,1.2375,0.0,0.0
680,39.99,1.2375,17.25,6.9
681,30.0,0.495,0.0,0.0
682,75.0,0.0,0.0,0.0
683,23.58,0.0,0.5,0.185
684,62.48,1.2375,170.0,30.6
685,52.3725,0.2475,1.25,0.5
686,50.0,0.2475,2.25,0.225
687,50.0,1.485,453.75,45.375
688,75.0,18.81,992.0,99.2
689,55.0,0.0,0.0,0.0
690,35.0,0.0,0.0,0.0
691,50.0,0.2475,475.25,47.525
692,30.0,0.0,0.0,0.0
693,84.99,4.95,176.0,44.665
694,5.0,0.0,0.0,0.0
695,50.0,0.495,6.75,0.675
696,55.0,4.7025,4.0,1.56
697,16.99,0.0,1.25,0.375
698,30.0,0.0,5.5,1.925
699,50.0,0.2475,14.25,4.275
700,69.99,0.0,170.5,56.345
701,25.0,0.0,18.5,9.25
702,60.475,0.495,416.0,140.225
703,299.99,11.385,0.0,0.0
704,55.825,2.2275,105.25,42.1
705,49.99,1.2375,514.75,154.425
706,75.0,0.495,1153.25,288.3125
707,44.99,0.0,0.0,0.0
708,59.99,0.495,144.75,43.425
709,29.99,0.0,14.75,5.1625
710,59.99,0.0,0.0,0.0
711,49.99,0.2475,34.25,13.7
712,29.99,0.0,0.0,0.0
713,29.99,0.2475,0.0,0.0
714,79.99,2.475,133.75,33.4375
715,55.0,2.7225,94.0,9.4
716,29.95,0.0,0.0,0.0
717,55.0,0.2475,123.5,12.35
718,75.0,0.7425,218.5,21.85
719,54.99,6.6825,12.75,3.1875
720,38.2175,0.7425,162.0,64.8
721,121.445,0.0,0.0,0.0
722,75.0,3.2175,807.0,80.7
723,80.0,1.7325,0.0,0.0
724,45.0,0.0,0.0,0.0
725,102.6125,2.7225,66.0,23.1
726,75.0,0.0,0.0,0.0
727,10.0,0.0,0.0,0.0
728,84.99,0.7425,0.0,0.0
729,98.9475,2.97,643.25,158.4375
730,84.8225,3.2175,86.25,32.225
731,75.0,1.98,0.0,0.0
732,75.0,1.485,0.0,0.0
733,55.0,0.99,962.0,96.2
734,41.99,0.0,0.0,0.0
735,20.1625,0.7425,1.75,0.7
736,149.99,3.465,807.5,201.875
737,41.395,0.0,0.0,0.0
738,55.0,0.0,0.0,0.0
739,29.99,0.0,0.0,0.0
740,209.99,20.79,405.5,60.825
741,29.99,0.2475,108.25,43.3
742,50.0,0.0,57.0,14.25
743,75.0,1.485,0.75,0.2925
744,75.0,0.99,977.5,97.75
745,99.99,7.425,23.5,3.525
746,84.99,0.495,0.0,0.0
747,50.0,0.495,0.0,0.0
748,39.99,3.2175,0.0,0.0
749,55.0,0.0,0.0,0.0
750,100.2725,1.98,132.0,37.4
751,7.7425,0.0,0.0,0.0
