,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,PRED,REAL,CORRECT,TP,TN,FP,FN
3895,0,1,1,56,1,0,24.15,0,0,1,0,1,0,0
2997,1,1,0,69,1,1,89.95,0,1,0,0,0,0,1
6319,1,1,0,54,0,1,24.95,0,0,1,0,1,0,0
955,0,1,0,1,1,0,44.7,0,1,0,0,0,0,1
6126,1,0,0,19,1,1,95.9,1,1,1,1,0,0,0
5588,0,0,0,1,1,1,49.65,0,1,0,0,0,0,1
3979,0,1,1,66,1,1,25.3,0,0,1,0,1,0,0
4883,1,0,0,8,0,1,29.4,0,1,0,0,0,0,1
2137,0,1,1,12,1,1,25.4,0,0,1,0,1,0,0
6179,1,0,0,11,1,1,95.15,1,1,1,1,0,0,0
2605,0,0,0,13,1,1,20.4,0,0,1,0,1,0,0
1266,1,0,0,4,1,1,80.25,0,0,1,0,1,0,0
1630,1,1,0,38,1,1,102.6,0,0,1,0,1,0,0
3290,0,0,0,4,0,0,35.0,0,0,1,0,1,0,0
6437,0,1,1,19,1,1,24.9,0,0,1,0,1,0,0
6475,0,0,1,19,1,1,75.9,0,0,1,0,1,0,0
652,0,1,1,35,1,0,20.1,0,0,1,0,1,0,0
284,0,1,1,18,1,0,95.15,0,1,0,0,0,0,1
2783,0,1,0,43,1,1,94.1,1,0,0,0,0,1,0
6555,0,0,0,18,1,0,19.65,0,0,1,0,1,0,0
738,1,0,0,42,1,1,79.35,1,0,0,0,0,1,0
641,0,1,1,43,1,0,56.15,0,1,0,0,0,0,1
987,0,0,0,1,1,0,19.75,0,0,1,0,1,0,0
3318,0,0,0,10,0,0,29.5,0,1,0,0,0,0,1
1992,0,0,0,17,1,1,83.55,1,0,0,0,0,1,0
4226,0,1,0,3,1,1,75.85,0,1,0,0,0,0,1
2410,0,1,0,43,1,0,80.45,1,0,0,0,0,1,0
6240,0,0,1,1,1,1,93.3,0,1,0,0,0,0,1
2937,0,1,1,64,1,1,92.85,0,0,1,0,1,0,0
1428,0,0,0,1,1,1,50.45,1,1,1,1,0,0,0
5696,0,1,0,22,1,1,54.2,0,1,0,0,0,0,1
5095,0,0,0,55,1,0,45.05,0,0,1,0,1,0,0
6395,0,1,1,41,1,1,102.6,0,1,0,0,0,0,1
1413,0,1,1,65,1,0,94.55,0,0,1,0,1,0,0
5749,1,0,0,59,1,1,99.5,1,0,0,0,0,1,0
1841,0,1,0,56,1,0,24.3,0,0,1,0,1,0,0
2649,0,1,0,64,1,0,25.0,0,0,1,0,1,0,0
1750,0,0,0,50,1,1,89.7,0,0,1,0,1,0,0
4549,0,0,1,17,1,1,92.7,1,0,0,0,0,1,0
5406,0,1,1,71,1,1,97.2,0,0,1,0,1,0,0
5834,0,1,0,65,1,1,105.05,0,0,1,0,1,0,0
4886,0,0,0,7,1,0,19.9,0,0,1,0,1,0,0
1174,0,0,0,14,1,1,54.25,1,0,0,0,0,1,0
4932,0,1,1,27,1,1,80.65,1,0,0,0,0,1,0
2136,0,0,1,15,1,1,91.0,1,0,0,0,0,1,0
5509,0,0,1,5,1,0,46.0,1,1,1,1,0,0,0
118,0,0,0,41,1,0,20.65,0,0,1,0,1,0,0
2218,0,1,1,71,1,1,82.0,0,0,1,0,1,0,0
1545,0,0,0,63,1,1,104.75,1,0,0,0,0,1,0
6468,0,1,0,14,1,0,44.6,0,0,1,0,1,0,0
4039,0,0,0,7,1,1,94.1,0,0,1,0,1,0,0
3900,0,1,1,35,1,0,19.65,0,0,1,0,1,0,0
1214,0,0,0,19,1,1,86.0,0,1,0,0,0,0,1
5794,1,1,0,72,1,1,109.75,0,0,1,0,1,0,0
3020,0,0,1,33,0,0,34.05,0,0,1,0,1,0,0
1198,0,0,0,42,1,1,20.75,0,0,1,0,1,0,0
4005,0,0,0,1,1,1,24.05,0,1,0,0,0,0,1
326,1,1,0,11,1,1,82.9,1,0,0,0,0,1,0
3808,0,1,1,3,1,0,19.3,0,0,1,0,1,0,0
6251,0,1,1,1,1,0,19.25,0,0,1,0,1,0,0
2825,0,0,0,15,1,1,26.35,1,0,0,0,0,1,0
3463,0,0,0,37,1,1,91.15,0,0,1,0,1,0,0
192,0,1,1,69,1,0,19.75,0,0,1,0,1,0,0
5960,1,0,0,62,1,0,84.45,0,0,1,0,1,0,0
4167,0,1,0,50,1,0,75.7,1,0,0,0,0,1,0
2763,0,1,1,64,1,0,81.05,0,0,1,0,1,0,0
3704,0,1,1,68,1,1,73.0,0,0,1,0,1,0,0
2196,0,1,1,19,1,0,20.2,0,0,1,0,1,0,0
4551,0,1,1,56,1,1,96.95,0,0,1,0,1,0,0
2330,0,1,1,28,1,0,64.4,1,0,0,0,0,1,0
3293,0,0,0,5,1,1,64.0,0,0,1,0,1,0,0
3955,0,1,0,29,0,1,45.9,0,0,1,0,1,0,0
1794,0,1,1,71,1,0,91.05,0,0,1,0,1,0,0
6145,0,1,1,67,0,0,54.2,0,0,1,0,1,0,0
4590,1,0,0,57,1,0,101.3,0,0,1,0,1,0,0
5313,0,1,0,56,1,0,89.7,0,0,1,0,1,0,0
5870,0,1,1,5,1,1,25.9,0,1,0,0,0,0,1
1185,0,0,0,1,1,1,60.15,1,1,1,1,0,0,0
2623,0,0,1,2,1,0,80.55,1,0,0,0,0,1,0
5919,0,0,0,67,1,0,65.55,0,0,1,0,1,0,0
4849,0,0,0,41,0,1,51.35,0,0,1,0,1,0,0
6480,0,0,1,13,1,0,53.45,1,0,0,0,0,1,0
4750,0,0,0,9,0,0,39.55,0,0,1,0,1,0,0
142,0,1,0,61,1,1,101.05,0,0,1,0,1,0,0
3046,0,1,0,61,1,1,103.3,1,0,0,0,0,1,0
2633,0,1,0,65,1,1,100.15,1,0,0,0,0,1,0
2913,0,0,0,52,0,0,63.9,0,0,1,0,1,0,0
1679,1,0,1,7,1,1,45.75,0,0,1,0,1,0,0
5555,0,1,1,70,1,0,19.8,0,0,1,0,1,0,0
1365,0,1,0,59,0,1,41.05,0,1,0,0,0,0,1
1049,0,0,0,1,1,0,19.65,0,1,0,0,0,0,1
640,0,1,1,68,1,0,25.4,0,0,1,0,1,0,0
5895,0,1,1,39,1,1,59.85,1,0,0,0,0,1,0
5988,0,1,1,12,1,0,21.05,0,0,1,0,1,0,0
4966,0,1,1,19,1,0,50.1,1,0,0,0,0,1,0
3297,0,1,0,42,1,0,84.35,1,0,0,0,0,1,0
4037,0,1,1,59,1,0,25.45,0,0,1,0,1,0,0
3214,1,0,0,51,1,1,79.6,0,0,1,0,1,0,0
2071,0,1,1,67,1,0,94.1,0,0,1,0,1,0,0
671,0,1,1,53,1,0,25.55,0,0,1,0,1,0,0
3868,0,1,1,21,1,1,74.05,0,1,0,0,0,0,1
6644,0,1,0,61,1,1,96.5,0,0,1,0,1,0,0
6853,0,0,0,54,1,0,111.1,0,1,0,0,0,0,1
2556,0,1,0,45,1,1,84.55,1,0,0,0,0,1,0
4658,0,0,0,8,1,0,44.45,0,0,1,0,1,0,0
623,0,0,0,20,1,0,19.7,0,0,1,0,1,0,0
1447,0,0,1,4,1,0,80.8,0,1,0,0,0,0,1
1512,0,1,1,14,1,1,84.8,1,0,0,0,0,1,0
5980,0,0,0,17,1,0,79.85,1,0,0,0,0,1,0
5576,0,0,0,1,1,1,53.55,0,1,0,0,0,0,1
4131,0,0,0,1,1,1,20.25,0,1,0,0,0,0,1
1726,0,1,0,30,1,0,49.9,0,0,1,0,1,0,0
1122,0,0,0,19,0,1,44.85,0,1,0,0,0,0,1
1354,0,0,0,18,1,1,88.35,0,1,0,0,0,0,1
5112,0,0,0,7,1,0,20.05,0,1,0,0,0,0,1
4971,0,0,0,18,1,1,19.55,0,0,1,0,1,0,0
1308,1,0,0,16,1,1,86.6,0,1,0,0,0,0,1
349,1,1,0,64,1,0,97.0,0,0,1,0,1,0,0
5258,0,0,0,69,1,1,104.7,0,1,0,0,0,0,1
6450,0,1,1,27,1,0,19.9,0,0,1,0,1,0,0
3288,0,1,1,13,1,0,20.85,0,0,1,0,1,0,0
3087,0,0,0,8,1,1,87.05,0,1,0,0,0,0,1
3129,0,1,0,70,1,1,95.0,0,0,1,0,1,0,0
1189,0,0,0,3,1,0,85.7,1,0,0,0,0,1,0
1386,0,0,0,64,1,0,86.55,0,0,1,0,1,0,0
78,1,0,0,30,1,1,74.75,1,0,0,0,0,1,0
6386,0,1,1,72,1,1,83.55,0,0,1,0,1,0,0
5066,0,1,0,44,0,0,54.3,0,0,1,0,1,0,0
5011,1,1,0,43,1,1,94.5,0,0,1,0,1,0,0
3411,1,1,0,53,1,1,101.9,0,1,0,0,0,0,1
91,1,0,0,1,1,0,74.7,1,0,0,0,0,1,0
1065,0,0,0,23,1,1,90.05,1,1,1,1,0,0,0
5334,0,1,1,49,1,1,107.95,0,1,0,0,0,0,1
702,0,0,0,29,1,1,84.9,0,0,1,0,1,0,0
270,1,0,0,16,1,1,94.45,0,1,0,0,0,0,1
5738,0,0,0,1,1,0,20.6,0,1,0,0,0,0,1
4199,0,1,0,55,1,1,104.15,0,1,0,0,0,0,1
6055,0,0,0,6,1,1,55.0,0,0,1,0,1,0,0
359,0,1,1,42,1,0,97.1,0,0,1,0,1,0,0
4840,1,0,0,43,0,1,33.45,0,0,1,0,1,0,0
821,0,1,1,43,1,1,79.15,0,0,1,0,1,0,0
418,0,1,1,22,1,0,83.3,1,1,1,1,0,0,0
6681,1,0,0,3,1,0,91.05,0,1,0,0,0,0,1
5349,0,1,1,69,1,1,114.35,0,0,1,0,1,0,0
2455,0,0,0,5,1,1,89.35,1,1,1,1,0,0,0
6221,0,0,0,26,1,1,19.6,0,0,1,0,1,0,0
5302,0,1,1,10,1,1,65.5,0,0,1,0,1,0,0
156,0,0,0,22,1,1,84.15,0,0,1,0,1,0,0
3227,0,1,1,12,1,1,56.3,0,0,1,0,1,0,0
5921,0,0,0,27,1,0,78.2,0,0,1,0,1,0,0
6851,0,1,1,38,1,1,94.9,0,0,1,0,1,0,0
2982,0,1,1,52,1,1,20.85,0,0,1,0,1,0,0
7039,0,1,1,72,1,1,103.2,1,0,0,0,0,1,0
3853,0,0,0,46,1,0,72.8,0,0,1,0,1,0,0
7012,0,1,0,62,1,1,84.95,0,0,1,0,1,0,0
2901,0,1,1,72,1,1,95.1,0,0,1,0,1,0,0
1879,0,0,0,1,1,1,70.05,1,1,1,1,0,0,0
552,0,1,1,55,1,0,19.35,0,0,1,0,1,0,0
4177,0,0,1,21,1,0,45.65,1,0,0,0,0,1,0
634,0,0,0,40,0,1,54.55,0,0,1,0,1,0,0
4328,0,1,0,15,1,1,51.1,0,0,1,0,1,0,0
4702,1,0,0,54,0,1,55.45,0,0,1,0,1,0,0
2953,0,1,1,20,1,1,105.85,0,1,0,0,0,0,1
463,0,0,0,7,1,1,99.8,1,1,1,1,0,0,0
6130,0,0,0,58,1,1,64.9,0,0,1,0,1,0,0
447,0,1,1,52,1,1,25.05,0,0,1,0,1,0,0
329,1,0,0,17,1,1,82.65,0,0,1,0,1,0,0
3038,1,1,0,67,1,1,105.6,0,0,1,0,1,0,0
3084,0,0,0,9,1,1,20.15,0,0,1,0,1,0,0
1914,0,0,0,3,1,0,64.6,1,0,0,0,0,1,0
1362,0,0,0,4,1,1,70.2,0,1,0,0,0,0,1
6686,0,1,0,72,1,1,109.75,0,0,1,0,1,0,0
2808,0,1,1,2,1,0,97.1,1,0,0,0,0,1,0
2259,0,0,0,8,1,0,20.85,0,0,1,0,1,0,0
2238,0,0,0,1,1,1,95.85,1,0,0,0,0,1,0
2007,0,0,0,2,1,1,80.2,1,1,1,1,0,0,0
4572,0,1,0,60,1,1,106.15,1,0,0,0,0,1,0
4652,0,0,0,23,1,1,19.65,0,0,1,0,1,0,0
4580,0,1,0,71,1,0,19.1,0,0,1,0,1,0,0
3858,0,0,0,47,1,1,86.95,0,0,1,0,1,0,0
5935,1,0,0,13,1,1,59.9,0,0,1,0,1,0,0
3545,0,0,0,50,1,1,95.7,0,0,1,0,1,0,0
3912,0,1,1,60,1,0,115.25,0,0,1,0,1,0,0
6246,0,0,0,54,1,1,65.3,0,0,1,0,1,0,0
4431,0,0,0,18,1,1,69.8,0,0,1,0,1,0,0
7032,1,0,0,1,1,1,75.75,1,1,1,1,0,0,0
2732,0,0,1,4,1,0,20.4,0,0,1,0,1,0,0
4612,0,0,1,65,0,0,45.25,0,0,1,0,1,0,0
1538,0,0,0,8,1,0,100.85,0,1,0,0,0,0,1
6693,0,0,0,25,0,1,48.25,0,0,1,0,1,0,0
6950,0,1,1,5,1,1,49.4,1,0,0,0,0,1,0
1955,0,1,1,49,1,1,95.4,1,0,0,0,0,1,0
5676,0,1,1,1,1,0,19.75,1,0,0,0,0,1,0
1313,0,1,0,47,1,1,109.55,0,1,0,0,0,0,1
4909,0,1,0,51,1,1,83.85,0,0,1,0,1,0,0
5483,0,1,0,55,1,1,77.75,0,1,0,0,0,0,1
4489,0,1,1,64,1,1,53.85,0,0,1,0,1,0,0
3326,1,0,0,38,1,1,70.15,0,1,0,0,0,0,1
3596,0,0,0,3,1,0,55.35,1,1,1,1,0,0,0
6991,0,0,0,8,1,0,95.65,0,1,0,0,0,0,1
1316,0,0,0,7,1,1,19.95,0,0,1,0,1,0,0
4602,0,0,0,67,1,1,26.1,0,0,1,0,1,0,0
5207,1,1,0,24,0,1,40.65,0,1,0,0,0,0,1
5268,0,1,1,69,1,0,86.9,0,0,1,0,1,0,0
4091,0,0,0,20,1,1,68.9,0,0,1,0,1,0,0
678,0,0,0,3,1,0,107.95,0,0,1,0,1,0,0
609,1,1,0,65,1,0,105.25,0,1,0,0,0,0,1
6979,0,0,1,1,0,0,24.2,1,0,0,0,0,1,0
3909,0,0,0,11,1,0,19.55,0,0,1,0,1,0,0
426,1,1,0,52,1,1,105.1,0,0,1,0,1,0,0
4708,0,1,1,56,1,1,61.3,0,0,1,0,1,0,0
1032,1,0,0,8,1,1,92.1,1,1,1,1,0,0,0
1596,0,1,0,2,1,1,70.35,1,0,0,0,0,1,0
4318,0,0,0,56,1,1,75.75,0,0,1,0,1,0,0
1178,0,0,0,15,1,1,101.35,1,1,1,1,0,0,0
6988,0,1,1,23,1,1,69.5,0,0,1,0,1,0,0
5366,0,1,1,66,1,1,59.75,0,0,1,0,1,0,0
3159,1,0,0,3,1,1,94.85,0,0,1,0,1,0,0
1617,0,0,0,27,1,0,59.45,0,0,1,0,1,0,0
7008,1,0,0,3,1,1,75.05,0,1,0,0,0,0,1
5719,0,1,1,24,1,1,19.7,0,0,1,0,1,0,0
1860,0,1,1,71,1,0,19.45,0,0,1,0,1,0,0
1472,0,1,1,13,1,1,74.4,0,1,0,0,0,0,1
96,0,1,1,71,1,1,66.85,0,0,1,0,1,0,0
2945,0,0,0,9,1,0,75.6,0,0,1,0,1,0,0
6348,0,0,0,26,1,1,69.05,0,0,1,0,1,0,0
392,1,0,0,2,1,1,44.3,1,0,0,0,0,1,0
1907,0,0,0,7,1,1,78.5,1,0,0,0,0,1,0
4751,0,0,0,11,1,0,23.15,0,1,0,0,0,0,1
3231,0,0,0,15,1,0,84.45,0,0,1,0,1,0,0
4515,0,0,0,15,1,1,83.2,1,0,0,0,0,1,0
1613,0,0,0,34,1,0,19.7,0,0,1,0,1,0,0
2638,0,0,0,52,1,1,105.0,1,1,1,1,0,0,0
856,0,0,0,72,1,0,86.05,0,0,1,0,1,0,0
5292,0,0,0,46,0,0,33.7,0,0,1,0,1,0,0
1515,0,0,0,41,1,1,68.6,0,0,1,0,1,0,0
449,0,1,1,72,1,0,105.5,0,0,1,0,1,0,0
6632,0,1,0,34,1,0,62.65,0,1,0,0,0,0,1
567,0,1,0,71,1,0,73.5,0,0,1,0,1,0,0
5265,0,0,0,66,1,1,88.9,0,0,1,0,1,0,0
1774,0,1,1,1,1,1,48.75,1,0,0,0,0,1,0
2897,0,0,0,43,1,0,26.45,0,0,1,0,1,0,0
4890,0,1,1,53,1,1,92.55,0,0,1,0,1,0,0
837,0,0,0,1,1,0,44.4,1,1,1,1,0,0,0
2634,0,1,0,1,1,1,84.8,1,1,1,1,0,0,0
1162,0,0,0,67,1,1,72.35,0,0,1,0,1,0,0
3377,0,1,0,68,1,0,25.05,0,0,1,0,1,0,0
5823,0,0,0,22,1,1,20.05,0,0,1,0,1,0,0
5748,0,0,0,21,1,1,99.85,0,0,1,0,1,0,0
5877,0,0,0,53,1,1,106.95,1,1,1,1,0,0,0
680,0,1,1,1,1,0,80.0,1,1,1,1,0,0,0
103,1,1,0,66,0,0,45.55,0,0,1,0,1,0,0
2253,1,1,0,72,1,0,74.4,0,0,1,0,1,0,0
4414,0,0,1,21,1,0,20.75,0,0,1,0,1,0,0
726,0,0,0,22,1,0,26.25,0,0,1,0,1,0,0
4439,0,1,1,28,1,1,20.3,0,0,1,0,1,0,0
4325,0,0,0,1,1,0,20.75,0,0,1,0,1,0,0
2186,0,1,1,46,1,0,19.95,0,0,1,0,1,0,0
5887,0,0,1,17,1,1,50.3,1,0,0,0,0,1,0
3260,0,0,0,31,1,1,78.45,0,1,0,0,0,0,1
694,1,0,0,22,1,1,20.05,0,0,1,0,1,0,0
5090,1,1,0,7,1,1,94.7,1,1,1,1,0,0,0
1533,0,0,0,14,1,0,75.35,1,1,1,1,0,0,0
1813,0,0,0,1,1,1,75.5,1,0,0,0,0,1,0
2275,0,1,1,1,1,1,74.5,0,1,0,0,0,0,1
5656,0,0,0,1,1,0,49.75,0,0,1,0,1,0,0
386,1,1,0,55,1,1,85.45,0,1,0,0,0,0,1
958,0,0,0,25,1,0,81.75,0,0,1,0,1,0,0
3881,0,1,0,71,1,0,65.15,0,0,1,0,1,0,0
318,1,1,0,24,1,1,93.15,1,1,1,1,0,0,0
6301,1,0,0,67,1,0,54.9,0,0,1,0,1,0,0
2415,1,1,1,40,1,1,94.55,0,1,0,0,0,0,1
400,0,0,0,32,1,0,19.75,0,0,1,0,1,0,0
2765,0,0,0,13,1,1,70.15,0,0,1,0,1,0,0
3739,0,0,0,24,1,0,24.6,0,0,1,0,1,0,0
5532,0,0,0,31,1,0,20.9,0,0,1,0,1,0,0
1620,0,1,1,2,0,0,29.05,1,0,0,0,0,1,0
397,0,0,0,34,1,1,73.95,1,1,1,1,0,0,0
2924,0,0,0,11,1,1,74.55,1,1,1,1,0,0,0
4679,0,1,0,72,1,1,86.4,0,0,1,0,1,0,0
3891,0,1,0,42,1,0,56.1,0,0,1,0,1,0,0
6071,0,1,1,72,1,1,105.55,0,0,1,0,1,0,0
2968,0,0,0,3,1,0,90.4,0,0,1,0,1,0,0
4015,0,0,0,36,1,0,54.45,0,0,1,0,1,0,0
2889,0,1,1,58,0,0,50.0,0,0,1,0,1,0,0
6095,0,0,0,4,1,1,19.65,0,0,1,0,1,0,0
5990,0,0,1,36,1,1,94.7,1,0,0,0,0,1,0
4164,0,1,1,72,1,0,110.9,0,0,1,0,1,0,0
1552,0,1,1,31,1,0,80.55,0,0,1,0,1,0,0
2544,0,1,0,12,1,0,78.85,0,0,1,0,1,0,0
4796,0,1,0,55,1,1,94.75,0,0,1,0,1,0,0
5723,0,0,0,58,1,0,80.65,0,0,1,0,1,0,0
84,0,1,0,49,1,1,20.15,0,0,1,0,1,0,0
1389,1,1,0,34,1,1,94.25,0,1,0,0,0,0,1
1656,0,0,0,53,1,0,90.8,0,0,1,0,1,0,0
5762,1,1,0,30,1,1,105.7,0,0,1,0,1,0,0
2209,0,1,0,8,1,1,19.55,1,0,0,0,0,1,0
4073,0,1,1,14,1,1,65.45,0,1,0,0,0,0,1
4947,0,0,0,26,1,1,98.35,1,1,1,1,0,0,0
2936,0,0,0,40,1,1,102.65,1,0,0,0,0,1,0
3308,0,1,0,15,1,0,25.2,0,0,1,0,1,0,0
4726,0,1,0,72,0,1,49.2,1,0,0,0,0,1,0
3737,0,0,0,5,1,1,50.6,0,1,0,0,0,0,1
2582,0,0,1,12,1,1,105.3,1,0,0,0,0,1,0
883,0,1,0,67,1,1,111.25,0,0,1,0,1,0,0
3234,0,1,1,24,1,0,19.7,0,0,1,0,1,0,0
5809,0,0,0,6,1,1,85.95,0,0,1,0,1,0,0
5985,0,1,0,57,1,0,74.6,0,0,1,0,1,0,0
5873,0,0,0,18,1,1,75.4,0,0,1,0,1,0,0
4851,1,0,0,3,1,1,70.4,1,1,1,1,0,0,0
991,0,0,0,58,1,0,24.35,0,0,1,0,1,0,0
5237,0,0,0,26,1,1,54.75,0,0,1,0,1,0,0
2648,0,0,0,35,1,1,59.6,0,0,1,0,1,0,0
1824,0,1,1,72,1,0,20.3,0,0,1,0,1,0,0
6347,0,1,0,15,1,1,68.6,0,0,1,0,1,0,0
19,0,0,0,21,1,1,90.05,1,0,0,0,0,1,0
4446,1,0,0,3,1,1,79.9,1,1,1,1,0,0,0
6435,0,1,1,52,0,0,50.2,0,0,1,0,1,0,0
5016,0,0,0,5,1,0,19.85,0,1,0,0,0,0,1
5503,0,1,1,35,1,0,20.05,0,0,1,0,1,0,0
2155,0,1,0,30,1,1,85.0,0,1,0,0,0,0,1
2588,0,0,0,8,1,0,49.4,0,0,1,0,1,0,0
969,0,0,0,2,1,1,96.0,1,1,1,1,0,0,0
2914,0,0,0,32,1,1,64.85,1,0,0,0,0,1,0
4775,0,1,0,24,1,1,99.3,1,1,1,1,0,0,0
3654,0,1,0,28,1,0,89.9,0,0,1,0,1,0,0
6974,0,1,0,51,1,1,98.85,0,0,1,0,1,0,0
2733,0,1,0,1,1,1,55.3,0,0,1,0,1,0,0
179,0,1,0,61,1,1,20.55,1,0,0,0,0,1,0
785,1,0,0,46,1,1,110.0,0,1,0,0,0,0,1
116,0,0,0,36,0,0,31.05,0,0,1,0,1,0,0
6587,1,0,0,64,1,1,103.5,0,0,1,0,1,0,0
1511,0,1,1,67,1,1,19.25,0,0,1,0,1,0,0
3648,0,1,1,51,1,1,90.15,0,0,1,0,1,0,0
6394,0,0,0,8,1,0,58.2,0,0,1,0,1,0,0
4781,0,0,0,53,1,0,19.5,0,0,1,0,1,0,0
4159,1,0,0,59,1,1,89.75,0,0,1,0,1,0,0
2577,0,0,0,1,1,1,94.6,1,1,1,1,0,0,0
6772,0,0,0,38,1,1,62.3,0,1,0,0,0,0,1
1877,0,0,0,72,1,0,88.55,0,0,1,0,1,0,0
1583,0,1,1,6,1,1,48.95,0,0,1,0,1,0,0
300,0,0,0,23,1,1,64.9,0,0,1,0,1,0,0
4717,0,1,0,38,1,1,110.7,1,0,0,0,0,1,0
6311,1,0,0,55,1,1,100.15,1,0,0,0,0,1,0
2210,0,0,0,69,1,0,104.0,1,0,0,0,0,1,0
3712,0,0,0,44,1,0,65.4,1,0,0,0,0,1,0
717,0,0,0,32,1,1,85.65,1,0,0,0,0,1,0
152,0,1,1,70,1,1,108.15,0,0,1,0,1,0,0
7027,0,0,0,13,1,0,73.35,0,0,1,0,1,0,0
2988,0,1,0,72,1,1,109.65,0,0,1,0,1,0,0
793,0,0,1,34,1,0,67.65,0,0,1,0,1,0,0
6032,1,1,0,68,1,1,105.3,0,1,0,0,0,0,1
483,0,1,0,72,1,1,108.5,0,0,1,0,1,0,0
542,0,0,0,1,1,0,19.55,0,0,1,0,1,0,0
214,1,1,0,23,1,0,86.8,0,0,1,0,1,0,0
2234,0,1,1,23,1,0,59.7,0,0,1,0,1,0,0
915,1,1,0,1,1,1,73.55,1,1,1,1,0,0,0
1720,1,0,0,2,1,1,83.8,0,0,1,0,1,0,0
1868,0,0,0,1,1,1,44.05,0,0,1,0,1,0,0
5035,0,0,0,20,1,0,78.8,0,0,1,0,1,0,0
4123,1,1,0,34,1,0,71.55,0,0,1,0,1,0,0
158,0,1,1,16,1,0,64.25,0,0,1,0,1,0,0
2396,1,1,0,38,1,0,95.0,1,0,0,0,0,1,0
4056,0,0,0,3,0,1,50.6,1,1,1,1,0,0,0
3690,0,0,0,24,0,1,54.15,0,1,0,0,0,0,1
3499,0,0,0,1,1,0,20.9,0,1,0,0,0,0,1
3957,0,1,0,63,1,0,102.6,0,0,1,0,1,0,0
4285,0,1,1,45,1,0,73.85,0,0,1,0,1,0,0
4848,0,0,0,5,1,1,93.9,1,1,1,1,0,0,0
