,,,,,,,,,,,,,,,,Threshold,0.5,Coefficient,10,1,5,20,,WEIGHTED ACCURACY,,,,,,,
,653,1,60,2,120731.39,4,1,1,138160.11,1,0,0,1,0.787949393745261,1,0.287949393745261,1,TRUE,1,0,0,0,,,,,,,,,
,565,1,58,3,108888.24,3,0,1,135875.51,0,1,0,1,0.78543811024276,1,0.28543811024276,1,TRUE,1,0,0,0,,,,,,,,,
,564,1,44,3,111760.4,3,1,1,104722.47,0,1,0,1,0.782748145632793,1,0.282748145632793,1,TRUE,1,0,0,0,,,,,,,,,
,610,1,57,7,72092.95,4,0,1,113228.82,1,0,0,1,0.782460338057822,1,0.282460338057822,1,TRUE,1,0,0,0,,,,,,,,,
,736,1,42,7,117280.23,3,0,0,41921.06,1,0,0,1,0.780608993383985,1,0.280608993383985,1,TRUE,1,0,0,0,,,,,,,,,
,747,1,47,5,139914.6,4,0,1,129964.56,1,0,0,1,0.780364030263955,1,0.280364030263955,1,TRUE,1,0,0,0,,,,,,,,,
,684,1,56,3,127585.98,3,1,1,80593.49,0,1,0,1,0.779141549173851,1,0.279141549173851,1,TRUE,1,0,0,0,,,,,,,,,
,466,1,56,2,111920.13,3,1,0,197634.11,0,1,0,1,0.778963627830821,1,0.278963627830821,1,TRUE,1,0,0,0,,,,,,,,,
,505,1,45,9,131355.3,3,1,0,195395.33,0,0,1,1,0.778765323565963,1,0.278765323565963,1,TRUE,1,0,0,0,,,,,,,,,
,613,0,40,1,147856.82,3,0,0,107961.11,0,1,0,1,0.776745841381962,1,0.276745841381962,1,TRUE,1,0,0,0,,,,,,,,,
,571,0,37,9,139592.98,3,1,0,104152.65,0,1,0,1,0.769321607275993,1,0.269321607275993,1,TRUE,1,0,0,0,,,,,,,,,
,641,0,41,7,104405.54,3,1,0,17384.21,0,1,0,1,0.767891499688976,0,0.267891499688976,1,FALSE,0,0,1,0,,,,,,,,,
,805,0,46,6,118022.06,3,1,0,162643.15,1,0,0,1,0.767792077620866,1,0.267792077620866,1,TRUE,1,0,0,0,,,,,,,,,
,598,1,50,5,88379.81,3,0,1,64157.24,0,1,0,1,0.765171498160405,1,0.265171498160405,1,TRUE,1,0,0,0,,,,,,,,,
,415,0,46,9,134950.19,3,0,0,178587.36,1,0,0,1,0.764153525249176,1,0.264153525249176,1,TRUE,1,0,0,0,,,,,,,,,
,572,0,51,8,97750.07,3,1,1,193014.26,0,1,0,1,0.760034247573433,1,0.260034247573433,1,TRUE,1,0,0,0,,,,,,,,,
,816,1,38,5,130878.75,3,1,0,71905.77,0,1,0,1,0.754560097612259,1,0.254560097612259,1,TRUE,1,0,0,0,,,,,,,,,
,619,1,42,8,132796.04,3,1,1,191821.35,0,1,0,1,0.750906222986916,1,0.250906222986916,1,TRUE,1,0,0,0,,,,,,,,,
,644,0,50,9,76817,4,1,0,196371.13,1,0,0,1,0.743629354244905,1,0.243629354244905,1,TRUE,1,0,0,0,,,,,,,,,
,687,1,44,7,0,3,1,0,155853.52,0,0,1,1,0.742844127384433,1,0.242844127384433,1,TRUE,1,0,0,0,,,,,,,,,
,439,0,52,3,96196.24,4,1,0,198874.52,0,0,1,1,0.740456183541457,1,0.240456183541457,1,TRUE,1,0,0,0,,,,,,,,,
,771,0,51,5,135506.58,3,1,1,152479.64,0,0,1,1,0.740244031939428,1,0.240244031939428,1,TRUE,1,0,0,0,,,,,,,,,
,586,1,46,0,0,3,0,1,131553.82,1,0,0,1,0.738577957770281,1,0.238577957770281,1,TRUE,1,0,0,0,,,,,,,,,
,686,1,38,2,93569.86,3,0,0,10137.34,0,1,0,1,0.738402790544016,1,0.238402790544016,1,TRUE,1,0,0,0,,,,,,,,,
,621,0,40,8,174126.75,3,1,0,172490.78,0,1,0,1,0.737201540693422,1,0.237201540693422,1,TRUE,1,0,0,0,,,,,,,,,
,557,0,57,1,120043.13,1,1,0,132370.75,0,1,0,1,0.731720561808941,1,0.231720561808941,1,TRUE,1,0,0,0,,,,,,,,,
,739,0,40,5,149131.03,3,1,1,60036.99,0,1,0,1,0.731624033824753,1,0.231624033824753,1,TRUE,1,0,0,0,,,,,,,,,
,646,1,46,4,0,3,1,0,93251.42,1,0,0,1,0.73159415541967,1,0.23159415541967,1,TRUE,1,0,0,0,,,,,,,,,
,611,1,61,3,131583.59,4,0,1,66238.23,1,0,0,1,0.730830127691501,1,0.230830127691501,1,TRUE,1,0,0,0,,,,,,,,,
,465,0,53,1,117438.17,1,0,0,74898.8,0,1,0,1,0.726555610378102,1,0.226555610378102,1,TRUE,1,0,0,0,,,,,,,,,
,640,0,39,9,131607.28,4,0,1,6981.43,0,1,0,1,0.726057594634641,1,0.226057594634641,1,TRUE,1,0,0,0,,,,,,,,,
,443,0,50,3,117206.3,1,1,0,42840.18,0,1,0,1,0.725494764327814,1,0.225494764327814,1,TRUE,1,0,0,0,,,,,,,,,
,517,0,53,0,109172.88,1,1,0,54676.1,0,1,0,1,0.721414424085781,1,0.221414424085781,1,TRUE,1,0,0,0,,,,,,,,,
,502,1,57,3,101465.31,1,1,0,43568.31,0,1,0,1,0.720860647540329,1,0.220860647540329,1,TRUE,1,0,0,0,,,,,,,,,
,581,1,54,2,152508.99,1,1,0,187597.98,0,1,0,1,0.720137711968079,1,0.220137711968079,1,TRUE,1,0,0,0,,,,,,,,,
,655,0,38,3,250898.09,3,0,1,81054,0,0,1,1,0.719460603863617,1,0.219460603863617,1,TRUE,1,0,0,0,,,,,,,,,
,691,1,41,8,109153.96,3,1,1,148848.76,0,1,0,1,0.719169034665047,1,0.219169034665047,1,TRUE,1,0,0,0,,,,,,,,,
,516,1,53,1,156674.2,1,1,0,118502.34,0,1,0,1,0.717919809281756,1,0.217919809281756,1,TRUE,1,0,0,0,,,,,,,,,
,617,1,39,5,83348.89,3,1,0,7953.62,0,1,0,1,0.716964519048884,1,0.216964519048884,1,TRUE,1,0,0,0,,,,,,,,,
,694,1,58,1,143212.22,1,0,0,102628.56,0,1,0,1,0.715802281109673,1,0.215802281109673,1,TRUE,1,0,0,0,,,,,,,,,
,635,1,65,5,117325.54,1,1,0,155799.86,0,1,0,1,0.715172678291442,1,0.215172678291442,1,TRUE,1,0,0,0,,,,,,,,,
,700,1,59,5,137648.41,1,1,0,142977.05,0,1,0,1,0.713488607099896,1,0.213488607099896,1,TRUE,1,0,0,0,,,,,,,,,
,598,1,43,5,0,3,1,1,100722.72,1,0,0,1,0.71275450836155,1,0.21275450836155,1,TRUE,1,0,0,0,,,,,,,,,
,574,0,54,1,99774.5,1,0,0,4896.11,0,1,0,1,0.709326596324273,1,0.209326596324273,1,TRUE,1,0,0,0,,,,,,,,,
,623,1,48,1,108076.33,1,1,0,118855.26,0,1,0,1,0.706814040541634,1,0.206814040541634,1,TRUE,1,0,0,0,,,,,,,,,
,622,1,58,7,116922.25,1,1,0,120415.61,0,1,0,1,0.705296703705155,1,0.205296703705155,1,TRUE,1,0,0,0,,,,,,,,,
,600,1,58,8,118723.11,1,0,0,6209.51,0,1,0,1,0.703156660595587,1,0.203156660595587,1,TRUE,1,0,0,0,,,,,,,,,
,549,0,41,9,95020.8,3,1,1,131710.59,0,1,0,1,0.702929450356678,1,0.202929450356678,1,TRUE,1,0,0,0,,,,,,,,,
,532,0,52,3,110791.97,1,1,0,148704.77,0,1,0,1,0.70275017726171,1,0.20275017726171,1,TRUE,1,0,0,0,,,,,,,,,
,487,1,61,5,110368.03,1,0,0,11384.45,0,1,0,1,0.70196896324686,1,0.20196896324686,1,TRUE,1,0,0,0,,,,,,,,,
,642,1,36,2,124495.98,3,1,1,57904.22,0,1,0,1,0.700108753948266,1,0.200108753948266,1,TRUE,1,0,0,0,,,,,,,,,
,698,1,51,2,111018.98,1,1,0,86410.28,0,1,0,1,0.699984323099975,0,0.199984323099975,1,FALSE,0,0,1,0,,,,,,,,,
,555,0,51,5,0,3,1,0,189122.89,1,0,0,1,0.697507535935752,1,0.197507535935752,1,TRUE,1,0,0,0,,,,,,,,,
,434,0,71,9,119496.87,1,1,0,125848.88,0,1,0,1,0.697210668777445,0,0.197210668777445,1,FALSE,0,0,1,0,,,,,,,,,
,624,0,54,3,116726.22,1,1,0,110498.1,0,1,0,1,0.694200275585509,1,0.194200275585509,1,TRUE,1,0,0,0,,,,,,,,,
,754,1,55,3,161608.81,1,1,0,8080.85,0,1,0,1,0.692901709383586,1,0.192901709383586,1,TRUE,1,0,0,0,,,,,,,,,
,797,1,55,10,0,4,1,1,49418.87,1,0,0,1,0.692863992982332,1,0.192863992982332,1,TRUE,1,0,0,0,,,,,,,,,
,794,0,57,3,117056.46,1,1,0,93336.93,0,1,0,1,0.691201356072993,1,0.191201356072993,1,TRUE,1,0,0,0,,,,,,,,,
,636,1,48,3,120568.41,1,1,0,190160.04,0,1,0,1,0.690970983391354,1,0.190970983391354,1,TRUE,1,0,0,0,,,,,,,,,
,551,0,54,5,102994.04,1,1,0,176680.16,0,1,0,1,0.689121579333443,1,0.189121579333443,1,TRUE,1,0,0,0,,,,,,,,,
,671,1,34,5,130929.02,4,1,1,28238.25,0,0,1,1,0.688076151334013,1,0.188076151334013,1,TRUE,1,0,0,0,,,,,,,,,
,772,1,48,6,108736.52,1,1,0,184564.67,0,1,0,1,0.687162958398851,1,0.187162958398851,1,TRUE,1,0,0,0,,,,,,,,,
,693,1,41,9,181461.48,3,1,1,187929.43,0,1,0,1,0.68563422981012,1,0.18563422981012,1,TRUE,1,0,0,0,,,,,,,,,
,637,0,51,1,104682.83,1,1,0,55266.96,0,1,0,1,0.685023896454659,1,0.185023896454659,1,TRUE,1,0,0,0,,,,,,,,,
,703,1,51,3,0,3,1,1,77294.56,1,0,0,1,0.682578312649967,1,0.182578312649967,1,TRUE,1,0,0,0,,,,,,,,,
,676,1,48,2,124442.38,1,1,0,15068.53,0,1,0,1,0.682355360434222,1,0.182355360434222,1,TRUE,1,0,0,0,,,,,,,,,
,795,1,56,9,94348.94,1,1,0,29239.29,0,1,0,1,0.678414122493819,1,0.178414122493819,1,TRUE,1,0,0,0,,,,,,,,,
,757,0,31,1,127320.36,3,1,0,163170.32,0,1,0,1,0.675731508835898,0,0.175731508835898,1,FALSE,0,0,1,0,,,,,,,,,
,454,1,50,10,92895.56,1,1,0,154344,0,1,0,1,0.674439125816968,1,0.174439125816968,1,TRUE,1,0,0,0,,,,,,,,,
,637,0,49,2,108204.52,1,1,0,169037.84,0,1,0,1,0.671009559154766,1,0.171009559154766,1,TRUE,1,0,0,0,,,,,,,,,
,498,0,61,7,102453.26,1,1,0,187247.56,0,1,0,1,0.669990629249199,1,0.1699906292492,1,TRUE,1,0,0,0,,,,,,,,,
,532,0,52,9,137755.76,1,1,0,163191.99,0,1,0,1,0.668235568788087,1,0.168235568788087,1,TRUE,1,0,0,0,,,,,,,,,
,809,1,42,6,64497.94,3,0,1,182436.81,0,1,0,1,0.667283481381544,1,0.167283481381544,1,TRUE,1,0,0,0,,,,,,,,,
,793,0,54,2,128966.13,1,0,0,18633.4,0,1,0,1,0.666768610011453,1,0.166768610011453,1,TRUE,1,0,0,0,,,,,,,,,
,506,1,59,3,190353.08,1,1,0,78365.75,0,1,0,1,0.666649785711084,0,0.166649785711084,1,FALSE,0,0,1,0,,,,,,,,,
,710,1,46,10,120530.34,1,1,0,166586.99,0,1,0,1,0.665651644867876,1,0.165651644867876,1,TRUE,1,0,0,0,,,,,,,,,
,754,1,48,7,141819.02,1,1,0,93550.53,0,1,0,1,0.663808571932235,1,0.163808571932235,1,TRUE,1,0,0,0,,,,,,,,,
,637,1,46,2,143500.82,1,1,0,166996.46,0,1,0,1,0.663055815823421,1,0.163055815823421,1,TRUE,1,0,0,0,,,,,,,,,
,803,1,50,8,98173.02,1,0,0,22457.25,0,1,0,1,0.661787190509031,1,0.161787190509031,1,TRUE,1,0,0,0,,,,,,,,,
,769,0,60,9,148846.39,1,1,0,192831.67,0,1,0,1,0.659148787377601,1,0.159148787377601,1,TRUE,1,0,0,0,,,,,,,,,
,583,1,27,4,0,3,1,0,163113.41,1,0,0,1,0.65620811023917,0,0.15620811023917,1,FALSE,0,0,1,0,,,,,,,,,
,544,0,47,5,105245.21,1,0,0,99922.08,0,1,0,1,0.655751339830848,1,0.155751339830848,1,TRUE,1,0,0,0,,,,,,,,,
,698,1,64,1,169362.43,1,1,0,84760.32,0,1,0,1,0.655727681566641,1,0.155727681566641,1,TRUE,1,0,0,0,,,,,,,,,
,650,1,48,7,138232.24,1,1,0,57594.78,0,1,0,1,0.654441206428796,0,0.154441206428796,1,FALSE,0,0,1,0,,,,,,,,,
,545,1,55,5,0,1,0,0,10034.77,1,0,0,1,0.652349086777551,1,0.152349086777551,1,TRUE,1,0,0,0,,,,,,,,,
,829,0,28,3,132405.52,3,1,0,104889.2,0,1,0,1,0.652072847470886,1,0.152072847470886,1,TRUE,1,0,0,0,,,,,,,,,
,761,0,62,5,98854.34,1,0,0,86920.97,0,1,0,1,0.650500101140417,1,0.150500101140417,1,TRUE,1,0,0,0,,,,,,,,,
,792,0,50,9,0,4,1,1,194700.81,1,0,0,1,0.648739470699088,1,0.148739470699088,1,TRUE,1,0,0,0,,,,,,,,,
,758,1,47,9,95523.16,1,1,0,73294.48,0,1,0,1,0.648549316074382,0,0.148549316074382,1,FALSE,0,0,1,0,,,,,,,,,
,805,0,56,6,151802.29,1,1,0,46791.09,0,1,0,1,0.648377382894522,1,0.148377382894522,1,TRUE,1,0,0,0,,,,,,,,,
,716,0,66,5,121411.9,1,0,0,10070.4,0,1,0,1,0.648182861228691,1,0.148182861228691,1,TRUE,1,0,0,0,,,,,,,,,
,572,0,47,4,99353.42,1,1,0,196549.85,0,1,0,1,0.64813946053115,1,0.14813946053115,1,TRUE,1,0,0,0,,,,,,,,,
,534,0,52,1,0,3,1,1,104035.41,1,0,0,1,0.647556180612483,1,0.147556180612483,1,TRUE,1,0,0,0,,,,,,,,,
,632,0,48,6,126066.26,1,1,0,64345.61,0,1,0,1,0.647437552517576,1,0.147437552517577,1,TRUE,1,0,0,0,,,,,,,,,
,805,0,50,9,130023.38,1,1,0,62989.82,0,1,0,1,0.64737831036709,1,0.14737831036709,1,TRUE,1,0,0,0,,,,,,,,,
,606,0,48,4,132403.56,1,0,0,36091.91,0,1,0,1,0.647353120913027,1,0.147353120913027,1,TRUE,1,0,0,0,,,,,,,,,
,735,0,46,2,106344.95,1,1,0,114371.33,0,1,0,1,0.646923237583627,1,0.146923237583627,1,TRUE,1,0,0,0,,,,,,,,,
,445,1,48,7,168286.58,1,1,0,16645.77,0,1,0,1,0.646816612015227,1,0.146816612015227,1,TRUE,1,0,0,0,,,,,,,,,
,749,1,60,6,0,1,1,0,17978.68,1,0,0,1,0.646604090465813,1,0.146604090465813,1,TRUE,1,0,0,0,,,,,,,,,
,459,0,46,7,110356.42,1,1,0,4969.13,0,1,0,1,0.646419989947741,1,0.146419989947741,1,TRUE,1,0,0,0,,,,,,,,,
,556,1,54,4,150005.38,1,1,0,157015.5,1,0,0,1,0.643614811101368,1,0.143614811101368,1,TRUE,1,0,0,0,,,,,,,,,
,421,0,28,8,122384.22,3,1,1,89017.38,0,1,0,1,0.642407568183703,1,0.142407568183703,1,TRUE,1,0,0,0,,,,,,,,,
,591,0,46,4,129269.27,1,1,0,163504.33,0,1,0,1,0.640401371896732,0,0.140401371896732,1,FALSE,0,0,1,0,,,,,,,,,
,687,1,47,1,91219.29,1,0,0,158845.49,0,1,0,1,0.638954256454897,1,0.138954256454897,1,TRUE,1,0,0,0,,,,,,,,,
,546,1,52,2,0,1,1,0,137332.37,1,0,0,1,0.636037527249714,1,0.136037527249714,1,TRUE,1,0,0,0,,,,,,,,,
,561,0,43,4,0,4,0,0,18522.91,1,0,0,1,0.635670764533749,1,0.135670764533749,1,TRUE,1,0,0,0,,,,,,,,,
,745,0,48,10,96048.55,1,1,0,74510.65,0,1,0,1,0.634738419271784,0,0.134738419271784,1,FALSE,0,0,1,0,,,,,,,,,
,681,0,49,8,142946.18,1,0,0,187280.51,0,1,0,1,0.63426122635611,1,0.13426122635611,1,TRUE,1,0,0,0,,,,,,,,,
,850,0,56,1,169743.83,1,0,0,155850.4,0,1,0,1,0.630941965407154,1,0.130941965407154,1,TRUE,1,0,0,0,,,,,,,,,
,651,1,56,4,0,1,0,0,84383.22,1,0,0,1,0.63017071576716,1,0.13017071576716,1,TRUE,1,0,0,0,,,,,,,,,
,732,0,50,6,145338.76,1,0,0,91936.1,0,1,0,1,0.629568853718408,1,0.129568853718408,1,TRUE,1,0,0,0,,,,,,,,,
,678,0,60,8,185648.56,1,0,0,192156.54,1,0,0,1,0.627969762528293,1,0.127969762528293,1,TRUE,1,0,0,0,,,,,,,,,
,760,1,49,9,91502.99,1,1,0,117232.9,0,1,0,1,0.627832870371542,1,0.127832870371542,1,TRUE,1,0,0,0,,,,,,,,,
,627,1,55,2,159441.27,1,1,0,100686.11,1,0,0,1,0.627742437897867,1,0.127742437897867,1,TRUE,1,0,0,0,,,,,,,,,
,691,1,60,6,101070.69,1,1,0,177355.8,1,0,0,1,0.627395826524276,1,0.127395826524276,1,TRUE,1,0,0,0,,,,,,,,,
,670,1,41,10,0,3,1,0,81602.02,1,0,0,1,0.626954468124967,0,0.126954468124967,1,FALSE,0,0,1,0,,,,,,,,,
,596,0,40,5,62389.03,3,1,0,148623.43,0,1,0,1,0.626044306105101,1,0.126044306105101,1,TRUE,1,0,0,0,,,,,,,,,
,550,1,45,8,111257.59,1,0,0,97623.42,0,1,0,1,0.62349224476468,1,0.12349224476468,1,TRUE,1,0,0,0,,,,,,,,,
,655,1,59,7,0,1,1,0,88958.49,1,0,0,1,0.623302151111149,1,0.123302151111149,1,TRUE,1,0,0,0,,,,,,,,,
,513,1,49,5,171601.27,1,1,0,126223.84,0,1,0,1,0.622925355659008,0,0.122925355659008,1,FALSE,0,0,1,0,,,,,,,,,
,660,1,52,4,86891.84,1,1,0,90877.76,0,1,0,1,0.622307852744298,0,0.122307852744298,1,FALSE,0,0,1,0,,,,,,,,,
,850,1,45,1,121874.89,1,0,0,6865.41,0,1,0,1,0.619785312038593,1,0.119785312038593,1,TRUE,1,0,0,0,,,,,,,,,
,435,0,54,3,0,1,1,0,156910.46,1,0,0,1,0.619727404356631,1,0.119727404356631,1,TRUE,1,0,0,0,,,,,,,,,
,599,0,58,4,0,1,0,0,176407.15,1,0,0,1,0.615561894356404,1,0.115561894356404,1,TRUE,1,0,0,0,,,,,,,,,
,597,1,53,4,88381.21,1,1,0,69384.71,1,0,0,1,0.614155569968341,1,0.114155569968341,1,TRUE,1,0,0,0,,,,,,,,,
,556,1,52,9,0,1,1,0,175149.2,1,0,0,1,0.612999253531123,1,0.112999253531123,1,TRUE,1,0,0,0,,,,,,,,,
,689,1,55,1,76296.81,1,1,0,42364.75,0,1,0,1,0.611472895145713,1,0.111472895145713,1,TRUE,1,0,0,0,,,,,,,,,
,649,1,56,8,156974.26,1,1,0,89405.26,1,0,0,1,0.61127899137566,1,0.11127899137566,1,TRUE,1,0,0,0,,,,,,,,,
,608,0,59,1,0,1,1,0,70649.64,1,0,0,1,0.61101267856366,1,0.11101267856366,1,TRUE,1,0,0,0,,,,,,,,,
,474,0,54,3,0,1,1,0,108409.17,1,0,0,1,0.610703522921578,1,0.110703522921578,1,TRUE,1,0,0,0,,,,,,,,,
,850,1,62,1,124678.35,1,1,0,70916,1,0,0,1,0.609069556477403,1,0.109069556477403,1,TRUE,1,0,0,0,,,,,,,,,
,850,0,61,1,0,1,1,0,53067.83,1,0,0,1,0.608447457698035,1,0.108447457698035,1,TRUE,1,0,0,0,,,,,,,,,
,648,1,54,9,120633.42,1,0,0,5924.38,1,0,0,1,0.608366873919811,1,0.108366873919811,1,TRUE,1,0,0,0,,,,,,,,,
,738,0,49,3,0,3,1,1,65066.48,0,0,1,1,0.607749601887369,1,0.107749601887369,1,TRUE,1,0,0,0,,,,,,,,,
,690,0,54,5,0,1,1,0,12847.61,1,0,0,1,0.607672317210685,1,0.107672317210685,1,TRUE,1,0,0,0,,,,,,,,,
,621,0,46,6,141078.37,1,0,0,34580.8,0,1,0,1,0.605916095797989,1,0.105916095797989,1,TRUE,1,0,0,0,,,,,,,,,
,850,1,55,10,98488.08,1,1,0,155879.57,1,0,0,1,0.605444144436563,1,0.105444144436563,1,TRUE,1,0,0,0,,,,,,,,,
,774,1,52,2,56580.93,1,1,0,113266.28,1,0,0,1,0.603807323913588,1,0.103807323913588,1,TRUE,1,0,0,0,,,,,,,,,
,721,1,45,7,138523.2,1,0,0,59604.45,0,1,0,1,0.603181518888477,1,0.103181518888477,1,TRUE,1,0,0,0,,,,,,,,,
,624,1,71,4,170252.05,3,1,1,73679.59,1,0,0,1,0.602332262353114,1,0.102332262353114,1,TRUE,1,0,0,0,,,,,,,,,
,678,1,50,6,0,1,1,0,8199.5,1,0,0,1,0.60198573417035,0,0.10198573417035,1,FALSE,0,0,1,0,,,,,,,,,
,770,0,45,4,110765.68,1,1,0,26163.74,0,1,0,1,0.601890152247885,1,0.101890152247885,1,TRUE,1,0,0,0,,,,,,,,,
,659,1,56,9,123785.24,1,1,0,99504.03,1,0,0,1,0.60142024283814,1,0.10142024283814,1,TRUE,1,0,0,0,,,,,,,,,
,598,0,59,8,118210.42,2,0,0,60192.14,0,1,0,1,0.600770905894907,1,0.100770905894907,1,TRUE,1,0,0,0,,,,,,,,,
,568,0,46,8,150836.92,1,0,0,64516.8,0,1,0,1,0.598935339186194,1,0.098935339186194,1,TRUE,1,0,0,0,,,,,,,,,
,659,1,50,3,0,1,1,0,183399.12,1,0,0,1,0.598250376831053,1,0.098250376831053,1,TRUE,1,0,0,0,,,,,,,,,
,691,0,52,3,0,1,1,0,175843.68,1,0,0,1,0.598156109651893,1,0.098156109651893,1,TRUE,1,0,0,0,,,,,,,,,
,642,1,56,6,103244.86,2,1,0,143049.72,0,1,0,1,0.594908235178426,1,0.094908235178426,1,TRUE,1,0,0,0,,,,,,,,,
,551,0,52,1,0,1,0,0,63584.55,1,0,0,1,0.594137113665379,1,0.094137113665379,1,TRUE,1,0,0,0,,,,,,,,,
,650,1,28,5,122034.4,3,0,1,146663.43,0,1,0,1,0.592681617149107,1,0.092681617149107,1,TRUE,1,0,0,0,,,,,,,,,
,793,0,52,2,0,1,1,0,159123.82,0,0,1,1,0.590179904571288,1,0.090179904571288,1,TRUE,1,0,0,0,,,,,,,,,
,748,0,45,2,119852.01,1,0,0,73853.94,0,1,0,1,0.589954923414105,1,0.089954923414105,1,TRUE,1,0,0,0,,,,,,,,,
,748,0,60,0,152335.7,1,1,0,126743.33,1,0,0,1,0.588947718812799,1,0.088947718812799,1,TRUE,1,0,0,0,,,,,,,,,
,410,1,50,2,102278.79,2,1,0,89822.48,0,1,0,1,0.588520761989281,0,0.088520761989281,1,FALSE,0,0,1,0,,,,,,,,,
,687,1,61,7,80538.56,1,1,0,131305.37,1,0,0,1,0.587520037436542,1,0.087520037436542,1,TRUE,1,0,0,0,,,,,,,,,
,760,1,51,2,100946.71,1,0,0,179614.8,1,0,0,1,0.583996837319496,1,0.083996837319496,1,TRUE,1,0,0,0,,,,,,,,,
,735,1,38,1,0,3,0,0,92220.12,1,0,0,1,0.583821638772067,1,0.083821638772067,1,TRUE,1,0,0,0,,,,,,,,,
,725,0,45,8,116917.07,1,0,0,173464.43,0,1,0,1,0.58332525491522,1,0.08332525491522,1,TRUE,1,0,0,0,,,,,,,,,
,530,1,48,0,0,1,1,0,85081.09,1,0,0,1,0.582743809936737,0,0.082743809936737,1,FALSE,0,0,1,0,,,,,,,,,
