,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.855333333333333,0.771333333333333,0.798333333333333,0.854666666666667
3389,420,1,55,4,91893.32,1,1,0,144870.28,0,0,1,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
5970,470,0,35,1,96473.59,1,0,0,5962.3,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9936,609,0,77,1,0,1,0,1,18708.76,1,0,0,0,1,0,0,0.31807560137457,FALSE,TRUE,FALSE,TRUE,TRUE
4164,636,0,34,1,84055.43,1,0,0,37490.84,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8590,771,1,41,10,108309,4,1,1,137510.41,1,0,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
3199,548,1,46,1,0,1,1,1,104469.06,1,0,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
6292,494,1,33,1,137853,1,0,1,90273.85,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1572,716,1,44,3,109528.28,1,1,0,27341.63,1,0,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
1574,678,0,23,10,115563.71,1,1,1,91633.53,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2148,630,0,26,7,0,2,1,1,6656.64,0,0,1,0,1,0,0,0.31807560137457,FALSE,TRUE,FALSE,TRUE,TRUE
1394,561,0,29,9,120268.13,1,1,1,173870.39,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2488,645,1,21,1,0,2,0,0,28726.07,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
424,596,0,39,9,0,1,1,0,48963.59,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
4885,562,0,41,5,165445.04,2,1,0,85787.31,0,0,1,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
8490,746,0,48,5,165282.42,1,1,0,153786.46,1,0,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
1628,662,1,30,9,0,2,0,1,157884.83,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
396,557,0,33,3,54503.55,1,1,1,371.05,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9810,712,0,27,10,0,1,1,0,94544.88,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4897,699,0,40,2,0,1,1,0,78387.32,0,0,1,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
1131,500,0,37,9,125822.21,1,1,0,111698,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1666,611,1,46,5,0,1,1,0,77677.14,1,0,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
8591,678,1,39,6,0,1,0,1,185366.56,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5474,651,1,34,9,0,2,1,0,138113.71,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9922,667,0,36,8,139753.35,1,1,0,79871.16,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4352,564,0,26,7,84006.88,2,0,0,183490.99,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7660,458,0,36,5,0,2,1,0,79723.78,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7350,669,0,25,7,157228.61,2,1,0,124382.9,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3089,743,0,40,8,68155.59,1,1,0,94876.65,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7387,696,0,44,8,161889.79,1,0,0,75562.47,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
8336,786,1,33,0,122325.58,1,0,0,34712.34,0,1,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
2568,612,1,47,6,130024.87,1,1,1,45750.21,0,1,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
7582,797,1,33,10,83555.58,1,0,0,69767.14,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
177,606,0,36,5,190479.48,2,0,0,179351.89,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
186,730,1,39,1,99010.67,1,1,0,194945.8,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
497,806,0,40,5,80613.93,1,1,1,142838.64,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
699,742,0,33,0,181656.51,1,1,1,107667.91,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9645,695,1,31,5,106089.2,1,0,0,99537.68,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9916,616,1,44,7,193213.02,2,1,1,137392.77,0,0,1,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
5688,471,0,23,6,104592.55,2,1,0,131736.23,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5590,775,0,25,10,60205.2,2,1,0,14073.11,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9552,664,1,41,5,0,1,1,1,152054.33,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
2955,577,1,46,1,0,1,1,1,158750.53,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
1900,570,1,33,8,0,1,1,1,124641.42,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4901,673,0,59,0,178058.06,2,0,1,21063.71,1,0,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
9278,443,0,35,6,161111.45,1,0,0,13946.66,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9236,640,0,47,6,89047.14,1,1,0,116286.25,0,0,1,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
3551,604,0,31,6,134837.58,1,1,0,192029.19,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7204,686,0,39,10,136258.06,1,0,0,89199.51,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2890,586,0,34,5,168094.01,1,0,0,20058.61,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4007,648,1,43,7,139972.18,1,1,0,143668.58,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
9626,813,0,27,1,137275.36,1,0,1,115733.16,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2195,798,1,58,9,0,2,0,0,119071.56,0,0,1,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
4888,437,0,49,9,111634.29,2,0,1,166440.32,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4851,530,1,48,0,0,1,1,0,85081.09,1,0,0,1,0,1,0,0.68192439862543,TRUE,FALSE,TRUE,FALSE,FALSE
638,744,1,43,10,147832.15,1,0,1,24234.11,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
3649,597,0,41,4,153198.23,1,1,1,92090.36,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3435,676,1,34,4,89437.03,1,1,1,189540.95,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6477,549,1,34,4,0,2,0,0,139463.57,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3168,675,1,49,0,0,1,1,1,80496.71,1,0,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
5520,570,1,61,6,142105.35,1,1,1,45214.04,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
6707,607,1,39,8,105103.33,1,1,0,104721.5,0,1,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
7161,690,1,36,6,110480.48,1,0,0,81292.33,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1632,617,0,30,3,132005.77,1,1,0,142940.39,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9398,488,1,34,2,0,2,1,1,181270.84,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9204,646,1,30,5,0,2,1,0,13935.32,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3614,558,1,36,0,126606.63,2,1,1,172363.52,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
788,562,1,35,0,0,2,1,0,119899.52,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8021,512,1,41,6,0,1,1,1,100507.81,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
4778,737,1,45,2,0,2,0,1,177695.67,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4712,474,0,54,3,0,1,1,0,108409.17,1,0,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
1858,705,0,61,4,0,2,1,1,191313.7,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5038,612,1,63,2,126473.33,1,0,1,147545.65,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
9452,599,0,27,5,0,2,1,0,30546.4,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1556,850,1,29,10,0,2,1,1,94815.04,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4514,669,1,38,8,0,2,1,0,84049.16,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8848,559,1,29,3,79715.36,1,1,0,82252.28,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1573,668,1,35,6,102482.76,1,1,1,53994.64,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
472,774,0,26,2,93844.69,1,1,0,28415.36,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4545,477,1,36,3,117700.86,1,0,0,74042,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
6285,850,1,35,7,114285.2,1,0,1,129660.59,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
2134,713,0,44,1,63438.91,1,1,0,64375.4,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
1649,731,0,41,4,0,2,1,0,22299.27,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
978,652,1,48,8,133297.24,1,1,0,77764.37,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
9731,607,0,29,7,102609,1,1,0,163257.44,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1379,668,1,32,10,92041.87,1,1,1,43595.9,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5670,497,0,32,8,0,2,1,0,67364.42,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5887,675,1,33,0,141816.25,1,1,0,64815.05,0,1,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
8068,619,0,29,4,98955.87,1,0,1,131712.51,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
29,411,0,29,0,59697.17,2,1,1,53483.21,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7079,595,0,30,9,130682.11,2,1,1,57862.88,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2816,683,0,25,4,0,2,1,0,152698.24,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9814,631,0,36,1,0,2,0,0,133141.34,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2408,653,0,55,7,0,2,1,1,41967.03,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2482,567,0,40,4,118628.8,1,0,0,91973.63,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6290,555,1,27,8,102000.17,1,1,1,116757,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7703,608,1,48,2,127924.25,2,1,0,32202.61,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
8456,715,0,37,9,165252.52,1,1,0,85286.3,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6246,633,0,40,4,150578,1,0,1,34670.62,1,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
8976,720,0,29,2,0,2,1,0,39925.52,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6058,668,0,56,9,110993.79,1,1,0,134396.64,0,1,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
8077,693,0,40,4,130661.96,1,1,1,101918.96,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3474,720,0,33,6,97188.62,1,0,0,91881.29,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2247,595,1,41,2,138878.81,1,0,1,112269.67,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
3178,542,1,39,4,109949.39,2,1,1,41268.65,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7489,600,1,26,6,108909.12,1,1,0,82547.01,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2756,492,0,29,1,144591.96,1,1,1,196293.76,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8983,723,0,37,3,94661.53,2,1,0,121239.65,0,1,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
4214,686,0,26,7,0,2,1,0,1540.89,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9624,350,1,40,0,111098.85,1,1,1,172321.21,1,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
7373,663,0,37,7,143625.83,2,0,1,176487.05,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
4105,815,0,28,6,0,2,0,1,185547.71,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6047,536,0,40,9,0,2,1,1,11959.03,0,0,1,0,1,0,0,0.31807560137457,FALSE,TRUE,FALSE,TRUE,TRUE
3982,614,0,46,4,0,1,1,0,74379.57,1,0,0,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
8211,679,0,39,2,146186.28,2,1,1,193974.47,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3051,762,0,53,1,102520.37,1,1,1,170195.4,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
4161,736,0,43,4,176134.54,1,1,1,52856.88,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
6961,745,1,33,1,0,2,1,1,174431.01,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5508,656,1,75,3,0,2,1,1,1276.87,1,0,0,0,1,0,0,0.31807560137457,FALSE,TRUE,FALSE,TRUE,TRUE
6370,707,0,35,2,0,3,1,1,94148.3,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
4943,528,0,43,7,97473.87,2,1,1,159823.16,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5034,631,1,29,2,96863.52,2,1,1,31613.35,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8777,603,0,24,1,165149.13,2,1,0,21858.28,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
2737,472,0,31,4,58662.92,2,0,1,73322,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5166,455,1,43,6,0,1,1,1,81250.79,0,0,1,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
3457,657,0,36,8,188241.05,2,0,0,183058.51,0,0,1,0,0,1,1,0.329209621993127,FALSE,FALSE,FALSE,TRUE,FALSE
963,529,0,63,4,96134.11,3,1,0,108732.96,0,0,1,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
6737,715,0,38,2,96798.79,2,1,1,4554.67,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5357,405,0,31,5,133299.67,2,1,1,72950.14,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5375,686,0,38,7,111484.88,1,1,1,76076.2,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
8412,699,0,22,9,99339,1,1,0,68297.61,1,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
8696,504,0,34,0,54980.81,1,1,1,136909.88,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
969,649,0,70,9,116854.71,2,0,1,107125.79,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
1309,591,0,30,8,124857.69,2,0,0,50485.7,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7594,502,0,33,8,0,2,1,1,123509.01,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5701,625,1,49,4,128504.76,1,1,0,126812.63,0,1,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
2765,667,0,36,9,0,2,1,1,40062.29,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
9868,718,1,43,0,93143.39,1,1,0,167554.86,1,0,0,0,0,1,0,0.329209621993127,FALSE,TRUE,TRUE,FALSE,TRUE
1496,569,0,38,8,0,2,0,0,79618.79,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
3589,446,1,51,4,105056.13,1,0,0,70613.52,1,0,0,1,0,1,0,0.68192439862543,TRUE,FALSE,TRUE,FALSE,FALSE
3853,654,0,43,9,84673.17,2,0,1,82081.35,0,1,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
7234,512,1,35,5,124580.69,1,1,1,18785.48,0,0,1,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
5137,698,1,51,6,144237.91,4,1,0,157143.61,1,0,0,1,0,1,1,0.68192439862543,TRUE,TRUE,FALSE,TRUE,TRUE
4479,598,0,47,2,0,2,1,1,186116.54,1,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE
