,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_0,InternetService_DSL,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TEMP58,TEMP75,TEMP113,TEMP118,TEMP150,TEMP159,TEMP238,TEMP247,TEMP261,TEMP269,TEMP274,TEMP303,TEMP314,TEMP320,TEMP323,TEMP334,TEMP335
TechSupport,0.01,-0.07,0.10,0.05,0.29,-0.10,0.08,0.34,0.28,0.32,1.00,0.27,0.27,0.04,0.33,0.41,-0.13,-0.35,0.33,-0.02,-0.26,0.07,0.22,0.09,0.10,-0.11,-0.07,0.08,-0.09,0.27,0.03,0.64,0.73,-0.09,0.19,0.02,-0.18,0.26,0.16,-0.08,0.03,0.22,0.02,0.03
StreamingTV,0.00,0.11,0.10,-0.03,0.24,-0.02,0.24,0.16,0.27,0.38,0.27,1.00,0.53,0.23,0.63,0.51,0.10,-0.43,0.02,0.33,-0.07,0.04,0.05,0.03,0.02,0.16,-0.23,0.00,-0.18,0.09,-0.20,-0.10,0.05,-0.11,0.09,-0.33,0.16,0.07,0.04,0.30,-0.08,-0.03,-0.16,-0.17
StreamingMovies,0.01,0.13,0.09,-0.06,0.25,-0.03,0.24,0.17,0.26,0.39,0.27,0.53,1.00,0.22,0.63,0.51,0.10,-0.43,0.03,0.33,-0.08,0.04,0.05,0.03,0.03,0.15,-0.24,-0.01,-0.18,0.08,-0.19,-0.10,0.05,-0.11,0.09,-0.33,0.15,0.08,0.05,0.30,-0.08,-0.03,-0.17,-0.17
PaperlessBilling,0.01,0.15,-0.02,-0.12,0.00,0.01,0.16,-0.01,0.13,0.11,0.04,0.23,0.22,1.00,0.35,0.17,0.19,-0.32,-0.07,0.33,0.18,-0.05,-0.16,-0.02,-0.01,0.20,-0.20,-0.12,-0.25,-0.09,-0.27,-0.23,-0.11,-0.22,-0.09,-0.33,0.32,-0.18,-0.03,0.33,-0.15,-0.14,-0.18,-0.18
MonthlyCharges,0.01,0.22,0.07,-0.13,0.21,0.25,0.48,0.29,0.44,0.48,0.33,0.63,0.63,0.35,1.00,0.66,0.23,-0.77,-0.16,0.79,0.10,-0.02,-0.10,0.03,0.01,0.27,-0.36,-0.10,-0.47,0.11,-0.36,-0.32,0.01,-0.37,0.06,-0.79,0.56,-0.10,0.04,0.66,-0.18,-0.02,-0.27,-0.28
TotalCharges,-0.01,0.11,0.28,0.04,0.81,0.12,0.45,0.39,0.49,0.51,0.41,0.51,0.51,0.17,0.66,1.00,-0.14,-0.40,-0.06,0.38,-0.40,0.13,0.33,0.16,0.15,-0.04,-0.28,0.12,0.20,0.30,0.04,0.06,0.13,0.25,0.35,-0.38,-0.01,0.40,0.27,0.22,0.04,0.11,-0.10,-0.10
Churn,0.01,0.16,-0.12,-0.16,-0.31,0.02,0.09,-0.15,-0.05,-0.03,-0.13,0.10,0.10,0.19,0.23,-0.14,1.00,-0.23,-0.13,0.32,0.38,-0.15,-0.29,-0.10,-0.11,0.29,-0.12,-0.21,-0.38,-0.21,-0.33,-0.32,-0.19,-0.34,-0.21,-0.32,0.44,-0.38,-0.17,0.37,-0.17,-0.20,-0.18,-0.19
InternetService_0,0.00,-0.18,0.01,0.15,-0.02,0.17,-0.21,-0.35,-0.40,-0.40,-0.35,-0.43,-0.43,-0.32,-0.77,-0.40,-0.23,1.00,-0.37,-0.46,-0.25,0.04,0.24,0.00,0.00,-0.27,0.31,0.14,0.77,-0.13,0.50,0.49,-0.06,0.79,0.05,0.46,-0.45,0.25,0.01,-0.46,0.21,-0.06,0.25,0.26
InternetService_DSL,-0.01,-0.11,0.00,0.06,0.02,-0.45,-0.21,0.33,0.16,0.15,0.33,0.02,0.03,-0.07,-0.16,-0.06,-0.13,-0.37,1.00,-0.65,-0.07,0.05,0.03,0.02,0.05,-0.11,0.05,0.07,-0.28,0.27,0.00,0.00,0.28,-0.43,0.01,0.65,-0.45,0.07,0.07,-0.48,0.03,0.29,0.06,0.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract_One year,-0.01,-0.05,0.05,0.06,0.16,0.00,-0.03,0.08,0.06,0.08,0.07,0.04,0.04,-0.05,-0.02,0.13,-0.15,0.04,0.05,-0.09,-0.55,1.00,-0.32,0.04,0.05,-0.10,0.02,0.69,0.14,0.09,0.11,0.11,0.07,0.14,0.11,0.09,-0.40,0.55,0.08,-0.11,0.06,0.08,0.05,0.06
Contract_Two year,0.00,-0.13,0.23,0.20,0.55,0.00,0.08,0.17,0.09,0.14,0.22,0.05,0.05,-0.16,-0.10,0.33,-0.29,0.24,0.03,-0.23,-0.61,-0.32,1.00,0.14,0.16,-0.28,0.02,-0.07,0.54,0.25,0.35,0.40,0.18,0.47,0.22,0.23,-0.52,0.61,0.25,-0.31,0.19,0.15,0.13,0.15
PaymentMethod_Bank transfer (automatic),0.01,-0.02,0.09,0.04,0.22,0.01,0.06,0.08,0.07,0.06,0.09,0.03,0.03,-0.02,0.03,0.16,-0.10,0.00,0.02,-0.02,-0.16,0.04,0.14,1.00,-0.30,-0.38,-0.29,0.06,0.14,0.08,0.07,0.08,-0.13,0.11,-0.18,0.02,-0.11,0.16,0.59,-0.24,-0.11,-0.13,0.62,-0.49
PaymentMethod_Credit card (automatic),-0.01,-0.03,0.06,0.05,0.20,-0.01,0.04,0.10,0.07,0.09,0.10,0.02,0.03,-0.01,0.01,0.15,-0.11,0.00,0.05,-0.06,-0.18,0.05,0.16,-0.30,1.00,-0.38,-0.28,0.07,0.13,0.10,0.10,0.10,-0.12,0.11,-0.18,0.06,-0.15,0.18,0.59,-0.26,-0.14,-0.12,-0.49,0.62
PaymentMethod_Electronic check,0.00,0.17,-0.08,-0.15,-0.20,0.00,0.10,-0.10,0.01,0.01,-0.11,0.16,0.15,0.20,0.27,-0.04,0.29,-0.27,-0.11,0.33,0.34,-0.10,-0.28,-0.38,-0.38,1.00,-0.36,-0.18,-0.34,-0.18,-0.32,-0.32,-0.33,-0.31,-0.37,-0.33,0.42,-0.34,-0.65,0.80,-0.29,-0.32,-0.62,-0.62
PaymentMethod_Mailed check,-0.01,-0.15,-0.07,0.07,-0.21,-0.01,-0.22,-0.06,-0.16,-0.17,-0.07,-0.23,-0.24,-0.20,-0.36,-0.28,-0.12,0.31,0.05,-0.30,-0.03,0.02,0.02,-0.29,-0.28,-0.36,1.00,0.07,0.11,0.01,0.19,0.19,0.63,0.13,0.80,0.30,-0.21,0.03,-0.48,-0.40,0.60,0.63,0.58,0.58
TEMP58,-0.01,-0.19,0.36,0.76,0.21,0.00,-0.05,0.10,0.05,0.05,0.08,0.00,-0.01,-0.12,-0.10,0.12,-0.21,0.14,0.07,-0.18,-0.52,0.69,-0.07,0.06,0.07,-0.18,0.07,1.00,0.24,0.59,0.21,0.19,0.11,0.22,0.14,0.18,-0.44,0.52,0.11,-0.22,0.33,0.13,0.11,0.12
TEMP75,-0.01,-0.13,0.23,0.21,0.62,0.14,0.02,-0.08,-0.10,-0.10,-0.09,-0.18,-0.18,-0.25,-0.47,0.20,-0.38,0.77,-0.28,-0.36,-0.59,0.14,0.54,0.14,0.13,-0.34,0.11,0.24,1.00,0.09,0.55,0.55,0.01,0.95,0.23,0.36,-0.60,0.59,0.23,-0.43,0.25,0.01,0.21,0.20
TEMP113,0.00,-0.18,0.39,0.73,0.30,-0.07,0.02,0.73,0.19,0.18,0.27,0.09,0.08,-0.09,0.11,0.30,-0.21,-0.13,0.27,-0.14,-0.30,0.09,0.25,0.08,0.10,-0.18,0.01,0.59,0.09,1.00,0.57,0.14,0.21,0.06,0.19,0.14,-0.28,0.30,0.16,-0.20,0.32,0.57,0.08,0.09
TEMP118,0.01,-0.19,0.12,0.18,0.26,0.05,-0.10,0.64,-0.08,-0.08,0.03,-0.20,-0.19,-0.27,-0.36,0.04,-0.33,0.50,0.00,-0.41,-0.41,0.11,0.35,0.07,0.10,-0.32,0.19,0.21,0.55,0.57,1.00,0.44,0.16,0.55,0.21,0.41,-0.51,0.41,0.14,-0.45,0.22,0.63,0.22,0.24
TEMP150,0.01,-0.21,0.10,0.17,0.25,0.05,-0.10,0.04,-0.07,-0.03,0.64,-0.10,-0.10,-0.23,-0.32,0.06,-0.32,0.49,0.00,-0.40,-0.44,0.11,0.40,0.08,0.10,-0.32,0.19,0.19,0.55,0.14,0.44,1.00,0.63,0.56,0.22,0.40,-0.53,0.44,0.15,-0.45,0.20,0.16,0.22,0.24
TEMP159,0.00,-0.15,0.03,0.09,0.09,-0.08,-0.09,0.22,0.11,0.13,0.73,0.05,0.05,-0.11,0.01,0.13,-0.19,-0.06,0.28,-0.22,-0.22,0.07,0.18,-0.13,-0.12,-0.33,0.63,0.11,0.01,0.21,0.16,0.63,1.00,0.02,0.70,0.22,-0.28,0.22,-0.21,-0.33,0.43,0.60,0.41,0.42
TEMP238,0.00,-0.12,0.20,0.18,0.52,0.26,0.08,-0.10,-0.09,-0.08,-0.09,-0.11,-0.11,-0.22,-0.37,0.25,-0.34,0.79,-0.43,-0.23,-0.53,0.14,0.47,0.11,0.11,-0.31,0.13,0.22,0.95,0.06,0.55,0.56,0.02,1.00,0.29,0.23,-0.48,0.53,0.19,-0.33,0.25,0.01,0.20,0.20
TEMP247,-0.01,-0.08,0.11,0.10,0.30,0.07,0.07,0.18,0.15,0.15,0.19,0.09,0.09,-0.09,0.06,0.35,-0.21,0.05,0.01,-0.05,-0.28,0.11,0.22,-0.18,-0.18,-0.37,0.80,0.14,0.23,0.19,0.21,0.22,0.70,0.29,1.00,0.05,-0.21,0.28,-0.30,-0.25,0.61,0.69,0.50,0.50
TEMP261,0.00,-0.26,0.01,0.18,0.00,-0.29,-0.37,0.04,-0.17,-0.18,0.02,-0.33,-0.33,-0.33,-0.79,-0.38,-0.32,0.46,0.65,-1.00,-0.27,0.09,0.23,0.02,0.06,-0.33,0.30,0.18,0.36,0.14,0.41,0.40,0.22,0.23,0.05,1.00,-0.80,0.27,0.07,-0.83,0.20,0.23,0.26,0.29
TEMP269,0.01,0.26,-0.16,-0.25,-0.38,0.18,0.21,-0.16,0.03,-0.01,-0.18,0.16,0.15,0.32,0.56,-0.01,0.44,-0.45,-0.45,0.80,0.80,-0.40,-0.52,-0.11,-0.15,0.42,-0.21,-0.44,-0.60,-0.28,-0.51,-0.53,-0.28,-0.48,-0.21,-0.80,1.00,-0.80,-0.22,0.75,-0.26,-0.27,-0.27,-0.30
TEMP274,-0.01,-0.15,0.24,0.22,0.62,0.00,0.04,0.22,0.13,0.19,0.26,0.07,0.08,-0.18,-0.10,0.40,-0.38,0.25,0.07,-0.27,-1.00,0.55,0.61,0.16,0.18,-0.34,0.03,0.52,0.59,0.30,0.41,0.44,0.22,0.53,0.28,0.27,-0.80,1.00,0.29,-0.37,0.22,0.19,0.16,0.18
TEMP303,0.01,-0.04,0.13,0.08,0.36,0.00,0.08,0.15,0.12,0.13,0.16,0.04,0.05,-0.03,0.04,0.27,-0.17,0.01,0.07,-0.07,-0.29,0.08,0.25,0.59,0.59,-0.65,-0.48,0.11,0.23,0.16,0.14,0.15,-0.21,0.19,-0.30,0.07,-0.22,0.29,1.00,-0.43,-0.21,-0.21,0.11,0.10
TEMP314,0.00,0.26,-0.05,-0.20,-0.12,0.19,0.29,-0.08,0.11,0.12,-0.08,0.30,0.30,0.33,0.66,0.22,0.37,-0.46,-0.48,0.83,0.37,-0.11,-0.31,-0.24,-0.26,0.80,-0.40,-0.22,-0.43,-0.20,-0.45,-0.45,-0.33,-0.33,-0.25,-0.83,0.75,-0.37,-0.43,1.00,-0.30,-0.34,-0.53,-0.55
TEMP320,-0.01,-0.09,0.76,0.41,0.14,0.01,-0.05,0.05,-0.01,-0.01,0.03,-0.08,-0.08,-0.15,-0.18,0.04,-0.17,0.21,0.03,-0.20,-0.22,0.06,0.19,-0.11,-0.14,-0.29,0.60,0.33,0.25,0.32,0.22,0.20,0.43,0.25,0.61,0.20,-0.26,0.22,-0.21,-0.30,1.00,0.45,0.39,0.37
TEMP323,0.00,-0.13,0.04,0.10,0.09,-0.08,-0.09,0.73,0.10,0.08,0.22,-0.03,-0.03,-0.14,-0.02,0.11,-0.20,-0.06,0.29,-0.23,-0.19,0.08,0.15,-0.13,-0.12,-0.32,0.63,0.13,0.01,0.57,0.63,0.16,0.60,0.01,0.69,0.23,-0.27,0.19,-0.21,-0.34,0.45,1.00,0.40,0.42
TEMP334,0.01,-0.13,0.02,0.10,0.02,0.00,-0.13,0.01,-0.07,-0.09,0.02,-0.16,-0.17,-0.18,-0.27,-0.10,-0.18,0.25,0.06,-0.26,-0.16,0.05,0.13,0.62,-0.49,-0.62,0.58,0.11,0.21,0.08,0.22,0.22,0.41,0.20,0.50,0.26,-0.27,0.16,0.11,-0.53,0.39,0.40,1.00,0.05
TEMP335,-0.01,-0.14,-0.01,0.11,0.00,-0.01,-0.14,0.03,-0.07,-0.06,0.03,-0.17,-0.17,-0.18,-0.28,-0.10,-0.19,0.26,0.08,-0.29,-0.18,0.06,0.15,-0.49,0.62,-0.62,0.58,0.12,0.20,0.09,0.24,0.24,0.42,0.20,0.50,0.29,-0.30,0.18,0.10,-0.55,0.37,0.42,0.05,1.00
