,satisfaction_v2,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
52962,0,1,0,32,0,1,1205,3,3,3,2,4,3,4,4,5,4,5,3,5,4,0,0.0
65532,1,0,1,40,0,1,202,0,5,0,2,4,4,4,5,5,4,4,5,5,3,38,33.0
113724,1,1,1,42,0,1,201,3,3,3,3,5,5,4,4,4,5,5,5,4,5,0,0.0
53154,0,1,0,64,0,1,1798,3,3,3,3,4,3,3,4,3,2,3,2,4,4,0,0.0
102335,1,0,1,48,0,1,89,5,1,5,5,4,4,5,4,4,4,4,3,4,4,0,0.0
106877,1,1,1,56,0,1,2433,5,5,5,5,3,5,4,4,4,4,4,5,4,3,0,0.0
113587,1,1,1,46,0,1,1619,3,3,3,3,4,5,4,5,5,5,4,3,5,5,11,12.0
57205,1,1,0,25,0,1,1560,4,0,4,4,5,4,1,5,5,5,4,4,5,5,47,57.0
65310,1,0,1,50,0,1,206,0,4,0,4,4,4,5,1,1,1,1,3,1,4,0,0.0
42735,0,1,0,55,0,1,1098,1,1,1,4,3,1,3,3,5,5,4,5,5,3,0,0.0
120033,1,1,1,44,0,1,247,5,5,5,5,3,5,4,5,5,5,5,5,5,5,36,22.0
92796,1,0,1,44,0,1,119,1,1,1,1,2,4,5,4,4,4,4,4,4,5,25,23.0
96571,1,1,1,50,0,1,3689,2,2,2,2,4,4,4,4,4,4,4,3,4,4,0,12.0
70271,0,0,1,54,0,1,1606,1,1,1,1,2,3,3,2,2,2,1,2,2,3,10,19.0
119720,1,1,1,43,0,1,350,5,5,5,5,2,4,5,5,5,5,5,4,5,3,0,0.0
116824,1,1,1,43,0,1,229,4,4,4,4,4,4,5,5,5,5,5,4,5,3,0,0.0
45947,0,1,0,39,0,1,1553,2,2,2,1,1,2,1,1,3,3,4,5,5,1,0,0.0
101402,1,0,1,39,0,1,1779,2,2,2,2,2,4,4,4,4,4,4,5,4,3,0,0.0
116979,1,1,1,40,0,1,75,3,3,3,3,5,5,5,5,5,5,5,3,5,3,0,0.0
65057,1,0,1,42,0,1,91,0,4,0,1,5,4,4,4,4,4,4,4,4,3,0,0.0
123179,1,0,1,60,0,1,3934,2,4,2,2,3,4,5,5,5,5,5,3,5,3,11,20.0
64529,1,1,1,52,0,1,3812,0,0,0,4,5,4,4,3,3,3,3,3,3,4,0,0.0
110909,1,1,1,58,0,1,2648,1,1,1,1,3,5,4,5,5,4,5,4,5,5,0,0.0
106733,1,0,1,52,0,1,270,2,2,2,2,2,4,5,4,4,4,4,3,4,3,0,0.0
124103,1,0,1,40,0,1,3628,1,1,2,1,3,4,4,5,5,5,5,3,5,3,0,1.0
44349,0,1,0,20,0,0,1500,1,4,1,5,3,1,1,3,5,2,4,4,4,3,0,0.0
129450,1,0,1,51,0,1,336,1,1,1,1,2,5,4,5,5,5,5,4,5,4,0,0.0
48460,1,0,0,37,0,1,1316,2,2,2,4,3,2,3,3,3,5,5,3,4,3,63,60.0
45952,1,0,0,39,0,1,1303,2,2,2,1,4,2,4,4,5,3,4,4,4,4,0,44.0
64086,1,0,1,57,0,1,366,0,0,0,3,3,4,5,3,3,4,4,4,3,3,6,8.0
113271,1,1,1,56,0,1,3483,3,3,3,3,4,5,5,5,5,5,4,5,5,3,0,0.0
54750,0,0,0,38,0,1,1229,3,3,3,4,5,3,5,5,3,2,3,3,3,5,0,0.0
106169,1,1,1,59,0,1,2421,4,4,3,4,3,4,4,4,4,4,4,5,4,4,4,8.0
113744,1,0,1,44,0,1,237,3,3,3,3,2,5,5,4,4,5,5,5,4,5,0,0.0
91695,1,0,1,47,0,1,506,2,2,2,2,5,4,5,4,4,4,4,5,4,4,9,0.0
51648,0,0,0,44,0,1,1488,3,2,2,3,5,3,5,5,1,4,2,2,3,5,22,20.0
46895,0,0,0,48,0,1,1268,2,2,2,3,5,2,5,5,1,3,4,4,4,5,0,5.0
48220,0,1,0,44,0,1,1623,2,2,2,4,2,2,2,2,3,3,4,1,3,2,15,21.0
109311,1,0,1,50,0,1,79,4,4,1,4,3,5,5,4,4,4,5,3,4,3,4,8.0
63782,1,0,1,48,0,1,2684,0,0,0,1,3,4,5,2,2,5,5,5,2,5,0,0.0
71915,0,1,1,47,0,1,2898,2,5,5,5,3,1,2,2,2,2,2,4,2,4,0,0.0
83911,0,0,1,58,0,1,2830,3,2,2,2,4,3,4,3,3,3,3,2,3,4,11,6.0
83996,0,0,1,23,0,1,1194,3,2,3,2,3,3,3,3,4,2,3,4,3,3,0,0.0
102398,1,1,1,52,0,1,1988,4,4,4,4,3,5,4,4,4,4,4,4,4,3,0,0.0
78693,0,0,1,45,0,1,3672,1,5,5,5,5,3,3,3,3,3,1,2,3,1,0,0.0
40335,1,1,0,20,0,1,1278,0,0,0,3,3,0,3,3,3,3,5,4,5,3,66,67.0
102188,0,0,1,80,0,1,248,4,5,5,5,5,3,3,4,4,4,4,4,4,1,2,0.0
96391,1,1,1,43,0,1,2517,4,4,4,4,5,4,4,4,4,4,4,4,4,4,0,0.0
51633,0,1,0,59,0,1,1364,3,2,2,3,1,3,1,1,1,1,3,2,3,1,0,0.0
79552,0,0,1,41,0,1,3083,2,2,2,2,5,4,4,4,4,3,2,3,4,1,0,6.0
106930,0,1,1,42,0,1,131,4,3,3,3,4,3,4,4,4,4,4,1,4,3,0,1.0
58260,0,1,0,26,0,1,1051,4,3,4,4,4,4,3,4,1,1,3,2,4,4,29,25.0
61516,1,0,0,16,0,0,1681,5,0,5,1,5,5,5,5,3,5,4,5,4,5,0,0.0
53089,0,0,0,24,0,1,1499,3,3,3,2,5,3,2,5,3,4,2,4,3,5,0,0.0
53546,0,0,0,39,0,1,2083,3,3,3,3,1,3,1,1,2,3,4,1,4,1,33,27.0
61611,1,0,0,24,0,0,1728,5,0,5,2,2,5,2,2,5,5,4,5,4,2,3,0.0
70333,0,0,1,41,0,1,97,1,5,5,5,2,3,4,2,2,2,1,2,2,4,0,0.0
43486,0,0,0,26,0,1,1701,1,2,1,3,4,1,4,4,3,1,4,2,4,4,0,0.0
48252,0,0,0,42,0,1,1752,2,2,2,4,3,2,3,3,3,3,5,4,4,3,12,0.0
109497,1,1,1,24,0,1,3222,2,2,2,2,4,4,5,4,3,2,5,3,4,4,0,0.0
46028,0,1,0,36,0,1,1482,2,2,2,1,1,2,1,1,3,1,2,1,1,1,0,0.0
69439,0,0,1,44,0,1,3076,2,4,4,4,4,3,3,2,2,1,2,3,2,4,0,1.0
79419,0,0,1,56,0,1,2658,2,4,4,4,2,3,3,3,3,3,2,1,3,2,0,1.0
92353,1,0,1,17,0,1,1807,2,2,2,2,4,4,4,4,5,3,5,4,4,4,0,0.0
65156,1,1,1,48,0,1,102,0,4,0,2,5,4,4,2,2,2,2,4,2,3,0,0.0
83690,0,1,1,43,0,1,320,3,3,3,3,5,3,3,3,3,3,3,3,3,3,0,6.0
86043,0,1,1,57,0,1,334,3,3,3,3,1,3,3,3,3,3,3,2,3,2,0,0.0
65923,0,0,1,54,0,1,340,1,0,0,3,3,3,2,4,4,0,4,1,4,4,0,0.0
62257,1,1,0,37,0,1,1219,5,4,4,4,4,4,4,4,4,4,5,4,5,4,0,0.0
106736,1,0,1,30,0,1,3508,3,3,3,3,4,4,4,4,3,2,1,1,4,4,0,0.0
80051,0,1,1,37,0,0,1240,3,4,4,4,3,3,3,3,4,2,2,1,1,3,0,0.0
123938,1,1,1,62,0,1,1653,4,4,4,4,4,4,4,5,5,5,5,1,5,3,0,0.0
112874,1,0,1,63,0,0,51,5,5,4,5,5,1,3,4,4,5,4,5,4,1,5,0.0
60645,0,1,0,30,0,0,1046,4,4,4,4,4,4,4,4,2,3,3,1,4,4,0,0.0
106382,1,1,1,37,0,1,3241,5,5,5,5,2,5,4,4,4,4,4,5,4,4,0,0.0
113282,1,0,1,65,0,1,58,3,3,3,3,2,2,4,5,5,5,4,4,5,4,0,0.0
49591,0,1,0,17,0,0,1440,2,3,2,4,3,2,3,3,4,3,3,1,3,3,28,43.0
123273,1,1,1,39,0,0,1850,5,2,5,2,5,5,5,5,4,5,5,2,2,5,0,0.0
40691,1,1,0,16,0,0,1448,0,4,0,2,3,0,3,3,4,2,5,1,5,3,0,0.0
39270,1,0,1,38,1,0,1551,5,4,5,3,2,5,2,2,3,2,4,3,5,2,0,0.0
29868,1,0,1,67,1,0,81,3,3,3,3,4,5,4,5,5,5,5,3,5,5,0,0.0
16941,1,0,1,12,1,0,1205,5,5,5,5,5,4,5,4,4,4,4,4,4,5,17,14.0
11916,0,1,1,35,1,0,1230,2,4,0,1,4,0,5,4,1,4,3,3,3,4,3,0.0
24919,1,0,1,46,1,0,266,5,2,2,2,5,5,5,5,5,1,1,2,2,5,8,6.0
18556,0,1,1,13,1,0,1814,2,5,2,3,3,2,3,3,3,4,5,3,4,3,3,0.0
15777,1,0,1,28,1,0,1931,5,5,5,5,5,5,5,4,4,4,4,4,4,3,0,0.0
22998,1,0,1,10,1,0,1048,2,2,2,2,2,5,5,5,5,5,5,3,5,4,0,0.0
29156,0,1,1,59,1,0,1139,3,5,3,1,1,3,1,1,3,5,4,3,4,1,0,0.0
26811,1,0,1,15,1,0,1768,2,2,2,2,3,2,2,5,5,5,5,4,5,3,0,0.0
29859,1,0,1,42,1,0,65,2,3,2,2,3,4,5,5,5,5,5,3,5,5,0,0.0
34620,0,0,1,7,1,0,1967,4,4,4,1,1,4,1,1,5,2,5,4,5,1,0,0.0
11349,1,0,1,40,1,0,1492,2,2,2,2,2,4,4,4,4,4,4,3,4,3,10,6.0
39679,1,1,1,17,1,0,1622,5,5,5,2,2,5,2,2,3,4,4,1,2,2,9,1.0
24974,0,1,1,60,1,0,1784,3,4,3,1,5,3,2,5,3,2,4,4,4,5,0,0.0
14643,1,0,1,64,1,0,91,2,1,2,2,5,4,4,4,4,4,4,4,4,4,0,0.0
21340,0,1,1,33,1,0,1405,3,2,0,2,3,0,3,3,2,2,3,1,3,3,0,7.0
36391,0,1,1,68,1,0,1933,4,5,0,3,2,0,2,2,3,3,5,5,4,2,0,0.0
38549,1,0,1,31,1,0,1133,5,2,0,3,3,0,3,3,3,4,3,2,3,3,1,0.0
19263,1,0,1,29,1,0,1797,5,5,5,5,2,5,5,5,5,4,5,5,5,3,0,0.0
29825,1,0,1,38,1,0,1537,5,1,1,1,1,4,1,5,5,5,5,1,5,4,0,0.0
19925,0,1,1,14,1,0,2116,2,5,5,1,1,5,4,1,3,4,4,4,5,1,0,13.0
24003,0,1,1,18,1,0,2180,3,3,5,3,3,5,3,3,3,2,3,2,4,3,0,7.0
18554,0,1,1,51,1,0,1216,2,5,2,3,3,2,3,3,3,5,5,5,5,3,4,0.0
33068,0,1,1,58,1,0,1813,4,2,4,3,3,4,3,3,2,3,4,4,3,3,0,0.0
13465,1,0,1,42,1,0,97,5,5,5,5,2,4,4,4,4,4,4,5,4,4,0,0.0
19278,0,1,1,33,1,0,1630,2,5,2,4,4,2,4,4,3,3,5,4,4,4,12,21.0
20294,0,1,1,54,1,0,1500,3,0,3,5,5,3,5,5,5,2,4,4,5,5,0,0.0
9002,0,1,1,11,1,0,1929,2,1,2,3,4,2,4,4,4,1,4,4,4,4,10,12.0
20996,0,1,1,28,1,0,915,3,1,3,3,2,3,2,2,3,2,2,1,2,2,12,12.0
2781,1,0,1,40,1,0,2136,5,4,5,3,1,5,1,1,5,5,4,5,5,1,47,54.0
1146,1,0,1,11,1,0,1547,0,5,0,1,1,0,1,1,4,3,5,3,5,1,0,12.0
2462,0,1,1,11,1,0,1910,1,3,1,1,5,1,5,5,4,5,3,2,5,5,0,0.0
27675,1,0,1,60,1,0,211,3,3,3,3,3,4,5,5,5,5,5,3,5,5,0,0.0
96174,1,1,1,44,0,1,1984,3,3,3,3,5,4,5,4,4,4,4,3,4,4,0,0.0
129637,1,1,1,42,0,1,3567,1,1,5,1,2,5,4,5,5,5,5,5,5,4,0,0.0
49130,0,1,0,36,0,1,862,2,2,2,5,5,2,5,5,3,4,5,3,5,5,35,28.0
113154,1,0,1,41,0,1,111,3,4,3,3,3,4,5,5,5,5,4,4,5,3,0,0.0
116666,1,1,1,45,0,1,291,5,5,5,5,4,4,5,5,5,5,5,5,5,5,0,0.0
129338,1,0,1,57,0,1,395,2,2,2,2,5,5,5,5,5,5,5,5,5,3,0,0.0
65084,1,1,1,59,0,1,1969,0,4,0,1,4,5,4,2,2,2,2,3,2,4,0,0.0
65347,1,0,1,35,0,1,2905,0,4,0,4,2,4,5,3,3,3,3,3,3,4,0,0.0
66018,0,1,1,34,0,1,294,1,0,0,4,4,3,3,3,3,0,3,2,3,3,0,0.0
106635,0,0,1,39,0,1,2822,4,4,4,4,2,3,3,4,4,4,4,1,4,3,0,0.0
64288,1,1,1,49,0,1,2942,0,0,0,3,2,4,4,4,4,4,4,5,4,4,0,0.0
48843,0,0,0,27,0,1,1573,2,2,2,4,4,2,4,4,2,1,3,4,4,4,17,28.0
101874,1,1,1,44,0,1,2418,1,1,1,1,5,4,4,4,4,4,4,3,4,4,2,2.0
52036,0,1,0,26,0,0,1350,3,2,3,4,2,3,2,2,2,4,3,3,3,2,0,0.0
101141,0,1,1,37,0,0,1922,4,2,2,2,4,4,4,4,4,3,3,4,4,4,0,0.0
1159,1,0,1,14,1,0,1528,0,5,0,2,3,5,5,2,2,0,2,2,2,5,0,0.0
9999,0,1,1,57,1,0,1700,2,2,2,3,3,2,3,3,4,4,3,1,3,3,0,0.0
12010,0,1,1,37,1,0,1919,2,4,0,4,5,0,1,5,5,5,5,4,4,5,0,0.0
23473,0,1,1,49,1,0,1584,3,3,3,3,4,3,4,4,2,5,4,1,4,4,0,5.0
26405,1,0,1,38,1,0,1290,2,2,2,2,3,5,4,5,5,5,5,5,5,4,33,27.0
128616,1,1,1,45,0,1,789,2,2,2,2,4,5,4,5,5,5,5,5,5,4,0,0.0
11131,0,1,1,40,1,0,2063,2,3,2,3,2,2,2,2,3,1,2,5,5,2,68,67.0
21804,1,0,1,11,1,0,1723,2,2,2,2,4,4,4,5,5,5,5,5,5,5,35,30.0
7397,1,0,1,54,1,0,800,4,2,2,2,2,3,5,3,3,4,3,5,3,1,24,19.0
115054,1,1,1,49,0,1,3070,1,1,1,1,2,4,4,5,5,5,5,5,5,5,7,0.0
59830,1,0,0,15,0,0,2208,4,4,4,3,3,4,3,3,3,2,5,5,5,3,0,0.0
49169,0,1,0,30,0,1,1610,2,2,2,5,4,2,4,4,4,5,5,3,5,4,9,17.0
121883,1,1,1,50,0,1,902,4,4,4,4,2,4,4,5,5,5,5,5,5,4,0,0.0
109996,1,1,1,36,0,1,2084,5,5,4,5,3,5,5,5,5,4,5,3,5,3,0,5.0
125574,1,1,1,25,0,1,5045,1,1,1,1,5,5,5,5,3,3,5,5,4,5,0,0.0
70577,1,1,1,57,0,1,3917,5,5,5,5,3,4,4,2,2,2,2,3,2,4,0,0.0
87769,1,1,1,42,0,1,3770,2,2,2,2,2,4,4,3,3,4,3,4,3,4,10,9.0
69380,0,0,1,40,0,1,3905,2,3,3,3,4,3,4,2,2,1,2,4,2,3,0,0.0
70034,0,1,1,43,0,1,3694,1,1,1,1,2,4,4,1,1,2,1,2,1,2,13,8.0
68334,0,1,1,32,0,1,4745,1,4,1,4,1,1,1,1,4,4,4,1,4,1,36,31.0
70736,0,1,1,63,0,1,621,2,3,3,3,3,2,2,2,2,2,2,4,2,1,0,0.0
34902,0,1,1,67,1,1,266,4,4,4,2,1,4,4,3,3,4,3,3,3,5,0,0.0
120187,1,0,1,52,0,1,3841,5,5,5,5,2,5,4,5,5,5,5,3,5,3,39,42.0
113588,1,0,1,45,0,1,2028,2,2,2,2,2,4,5,5,5,5,4,4,5,4,0,0.0
50618,0,0,0,25,0,1,1467,3,0,3,1,2,3,2,2,3,2,5,3,4,2,0,0.0
22559,0,1,1,7,1,0,1604,3,3,0,3,3,0,3,3,2,4,3,1,2,3,45,46.0
21265,0,1,1,53,1,0,1320,3,1,3,4,4,3,4,4,4,5,3,4,3,4,0,1.0
29878,1,0,1,45,1,0,88,4,4,4,4,2,5,5,5,5,5,5,5,5,3,31,24.0
19963,1,0,1,10,1,0,1588,4,4,4,4,4,4,4,4,4,5,4,3,4,5,35,24.0
15470,0,1,1,28,1,0,2010,2,4,2,4,5,2,5,5,3,5,3,1,4,5,10,14.0
16165,1,0,1,41,1,0,85,3,3,3,3,4,4,4,4,5,1,1,4,5,4,0,0.0
11732,1,0,1,17,1,0,1668,3,3,3,3,1,2,5,4,4,4,4,2,4,5,0,0.0
82083,0,0,1,30,0,1,5274,3,2,2,2,3,3,3,3,4,2,4,1,3,3,11,16.0
13776,0,1,1,13,1,1,2706,2,4,2,3,3,2,3,3,3,2,5,4,4,3,5,11.0
54891,0,1,0,25,0,0,1638,3,3,3,4,4,3,4,4,3,3,5,5,4,4,13,0.0
23129,1,0,1,21,1,0,2434,3,3,3,3,4,4,5,5,5,5,5,2,5,2,0,0.0
4915,1,0,1,8,1,0,2245,1,1,3,1,2,4,5,2,2,2,2,5,2,5,5,11.0
100926,1,1,1,48,0,1,1552,1,1,4,1,2,5,5,4,4,4,4,5,4,5,0,0.0
100927,1,1,1,24,0,1,4526,3,3,4,3,4,4,4,4,4,4,4,4,4,4,0,15.0
85702,0,1,1,47,0,1,475,3,1,3,1,2,3,3,3,3,3,3,3,3,1,0,0.0
56231,0,1,0,38,0,0,1136,3,4,4,3,2,4,2,2,4,4,4,3,4,2,0,13.0
10657,0,1,1,19,1,0,1674,2,3,2,1,4,2,4,4,5,2,1,5,2,4,0,0.0
118881,1,0,1,46,0,1,3855,2,2,2,2,2,4,4,5,5,5,5,4,5,5,0,0.0
70763,1,0,1,54,0,1,3198,2,1,2,2,2,4,5,2,2,2,2,4,2,4,29,22.0
91448,1,0,1,29,0,1,1232,3,3,1,3,4,4,4,4,4,4,5,3,4,4,79,93.0
8467,1,0,1,27,1,0,1571,4,4,4,4,2,4,1,4,4,4,4,4,4,4,0,2.0
41046,0,0,0,22,0,0,1982,1,0,1,1,4,1,4,4,5,3,5,4,4,4,35,39.0
60335,0,0,0,33,0,1,1477,4,4,4,4,1,4,1,1,5,5,5,3,5,1,0,11.0
62628,1,1,0,27,0,1,1599,5,5,5,1,5,5,4,5,5,2,5,4,4,5,0,4.0
127214,1,0,1,59,0,1,1693,3,3,3,3,5,5,5,5,5,5,5,5,5,4,0,0.0
108489,1,0,1,46,0,1,383,3,3,3,3,5,5,4,4,4,4,4,3,4,5,0,1.0
116479,1,0,1,38,0,1,353,2,2,2,2,5,3,4,5,5,5,5,4,5,2,34,40.0
