,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
46,37.0,0.607,0.503,2.0,-7.406,1,0.0703,0.446,,0.173,0.473,135.606,205040.0,4,0
47,56.0,0.799,0.789,,-8.208,1,0.0395,0.0595,,0.0338,0.831,116.083,333520.0,4,0
48,47.0,0.494,0.0634,2.0,-19.203,1,0.044,0.984,0.926,0.11,0.15,78.227,3.014916667,4,0
49,49.0,0.52,0.642,9.0,-7.546,1,0.0434,0.000517,0.0017,0.0794,0.449,88.967,180968.0,4,0
50,48.0,0.595,0.759,11.0,-4.245,0,0.0423,0.141,,0.172,0.515,80.953,163733.0,4,0
51,,0.523,0.441,5.0,-9.928,1,0.0311,0.465,0.00268,0.365,0.49,171.246,3.385116667,4,1
52,28.0,0.566,0.943,,-10.359,1,0.123,0.00488,0.346,0.728,0.324,117.813,403027.0,4,0
53,47.0,0.612,0.86,8.0,-9.175,1,0.044,0.00253,0.00153,0.158,0.687,136.212,196467.0,4,0
54,77.0,0.63,0.446,1.0,-8.9,1,0.0351,0.337,,0.166,0.177,143.078,202193.0,4,0
55,53.0,0.521,0.532,9.0,-11.492,0,0.0357,0.563,0.000435,0.386,0.326,95.19,180533.0,4,0
56,18.0,0.501,0.474,2.0,-13.893,1,0.0299,0.608,0.885,0.147,0.281,102.404,352267.0,4,0
57,9.0,0.185,0.865,9.0,-10.522,1,0.0576,0.000632,0.807,0.112,0.0789,84.031,207465.0,3,0
58,34.0,0.532,0.685,4.0,-6.577,0,0.0318,0.0208,0.000154,0.303,0.648,140.036,288071.0,4,0
59,41.0,0.415,0.94,,-4.874,1,0.0889,0.0049,,0.144,0.439,134.392,225627.0,4,0
60,49.0,0.425,0.403,4.0,-9.343,0,0.0273,0.0792,0.0049,0.113,0.135,155.761,323931.0,4,0
61,20.0,0.373,0.707,1.0,-9.566,0,0.0562,0.668,3.68e-05,0.361,0.75,89.1,3.578883333,4,0
62,59.0,0.39,0.646,6.0,-3.961,1,0.0372,0.0904,,0.114,0.271,120.755,213677.0,4,0
63,38.0,0.439,0.795,2.0,-9.424,1,0.0314,0.00407,0.00114,0.296,0.789,84.846,212067.0,4,0
64,56.0,0.827,0.532,2.0,-4.775,1,0.302,0.0219,2.91e-05,0.127,0.694,87.257,290440.0,4,0
65,26.0,0.709,0.685,2.0,-7.573,1,0.0281,0.0355,0.0268,0.0389,0.7,129.987,194567.0,4,0
66,41.0,0.583,0.143,,-15.786,1,0.148,0.676,2.84e-05,0.117,0.533,156.009,371496.0,3,0
67,35.0,0.704,0.579,6.0,-9.331,1,0.418,0.287,,0.139,0.712,142.815,176667.0,4,0
68,30.0,0.247,0.88,2.0,-3.057,1,0.097,2.01e-05,0.309,0.122,0.333,134.445,237493.0,4,0
69,54.0,0.801,0.637,,-6.406,1,0.0565,0.169,3.75e-05,0.0925,0.769,77.012,218360.0,4,0
70,24.0,0.539,0.578,4.0,-8.522,1,0.0278,0.0987,0.000923,0.28,0.353,102.03,191890.0,4,0
71,63.0,0.907,0.695,11.0,-6.268,0,0.135,0.246,,0.0808,0.961,101.007,298307.0,4,0
72,68.0,0.667,0.636,8.0,-5.669,1,0.082,0.022,,0.0908,0.152,158.058,151891.0,4,0
73,43.0,0.436,0.944,10.0,-7.981,1,0.0398,0.0035,0.972,0.105,0.588,110.002,307545.0,4,0
74,41.0,0.366,0.662,4.0,-4.914,1,0.034,0.00261,,0.0594,0.362,148.34,284000.0,3,0
75,41.0,0.777,0.71,,-4.717,1,0.0919,0.0295,,0.192,0.673,129.945,4.747333333,4,0
76,57.0,0.54,0.847,11.0,-6.52,1,0.0297,0.303,0.272,0.109,0.62,148.936,220609.0,4,0
77,42.0,0.435,0.889,11.0,-6.462,0,0.0474,2.38e-05,0.000872,0.87,0.344,93.896,198345.0,4,0
78,79.0,0.288,0.758,6.0,-5.692,0,0.0371,0.00616,,0.303,0.619,97.094,201726.0,4,0
79,71.0,0.562,0.383,6.0,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764,206760.0,3,0
80,33.0,0.683,0.347,1.0,-10.392,1,0.0473,0.549,,0.0907,0.437,80.009,157630.0,4,0
81,44.0,0.411,0.91,2.0,-4.867,1,0.0392,0.000243,0.00082,0.0931,0.613,106.675,230027.0,4,0
82,41.0,0.49,0.974,8.0,-4.295,1,0.115,0.000546,0.225,0.336,0.257,108.946,229617.0,4,0
83,55.0,0.374,0.35,10.0,-11.48,1,0.176,0.843,,0.188,0.129,74.464,3.81156667,1,1
84,43.0,0.633,0.194,8.0,-14.543,1,0.0729,0.885,0.404,0.111,0.421,143.376,348383.0,4,0
85,63.0,0.523,0.76,5.0,-12.437,1,0.0325,0.103,0.00068,0.0666,0.581,94.267,228267.0,4,0
86,35.0,0.593,0.438,10.0,-13.451,0,0.028,0.883,0.0167,0.317,0.758,130.225,136560.0,3,0
87,81.0,0.809,0.463,11.0,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4.98235,4,0
88,45.0,0.748,0.411,8.0,-6.06,0,0.0489,0.0532,0.0117,0.115,0.339,91.941,145052.0,4,0
89,13.0,0.529,0.595,2.0,-13.696,1,0.0375,0.0227,0.0266,0.0326,0.767,134.642,187827.0,4,0
90,41.0,0.167,0.148,,-19.539,1,0.0347,0.955,0.897,0.111,0.04,76.412,2.7204,3,0
91,51.0,0.543,0.927,,-5.209,1,0.0755,0.000342,0.543,0.0327,0.354,120.097,182333.0,4,0
92,41.0,0.644,0.891,2.0,-5.147,1,0.0526,0.00111,0.00798,0.118,0.504,110.007,239488.0,4,0
93,62.0,0.467,0.432,7.0,-11.753,1,0.0283,0.175,0.001,0.226,0.238,142.642,271333.0,4,0
94,44.0,0.514,0.387,6.0,-11.51,0,0.409,0.0753,,0.0485,0.461,84.112,186812.0,4,0
95,,0.381,0.214,4.0,-11.629,1,0.0337,0.944,,0.106,0.393,127.581,3.586,3,1
96,60.0,0.762,0.516,5.0,-8.016,0,0.0969,0.0288,,0.0966,0.721,156.97,158000.0,4,0
97,28.0,0.357,0.943,4.0,-6.168,0,0.101,0.000547,,0.145,0.482,147.217,209682.0,4,0
98,38.0,0.576,0.931,7.0,-2.491,1,0.0563,0.00085,,0.143,0.735,133.986,245747.0,4,0
99,3.0,0.61,0.482,5.0,-9.137,1,0.137,0.299,,0.0527,0.869,73.628,147013.0,4,0
100,24.0,0.491,0.504,4.0,-13.581,0,0.0566,0.625,0.794,0.222,0.145,159.911,258771.0,4,0
101,25.0,0.117,0.916,1.0,-3.281,1,0.0723,1.39e-05,0.0992,0.219,0.423,151.886,270205.0,4,0
102,63.0,0.86,0.668,7.0,-8.512,1,0.221,0.423,1.85e-06,0.096,0.237,128.096,240000.0,4,0
103,22.0,0.766,0.526,10.0,-11.819,1,0.0392,0.784,0.000214,0.0879,0.934,141.631,238000.0,4,0
104,71.0,0.529,0.621,11.0,-6.018,1,0.0296,0.13,,0.173,0.617,97.189,2.48178333,4,0
105,55.0,0.697,0.919,7.0,-6.174,1,0.029,0.00694,0.0621,0.203,0.943,118.341,256400.0,4,0
106,28.0,0.407,0.932,11.0,-6.252,1,0.113,0.00363,0.346,0.229,0.173,102.954,235214.0,4,0
107,55.0,0.564,0.753,5.0,-5.223,1,0.0433,0.00512,2.43e-06,0.167,0.414,152.064,212547.0,4,0
108,44.0,0.744,0.928,10.0,-5.628,0,0.0495,0.000409,0.624,0.132,0.507,123.014,171120.0,4,0
109,65.0,0.539,0.788,9.0,-3.227,0,0.0396,0.0089,,0.29,0.357,159.986,196173.0,4,0
110,11.0,0.431,0.967,1.0,-4.555,1,0.114,0.00159,0.0064,0.142,0.179,146.623,269440.0,4,0
111,,0.545,0.919,2.0,-7.679,1,0.0483,0.00269,0.00512,0.0978,0.386,104.364,313573.0,4,0
112,66.0,0.266,0.294,7.0,-11.938,0,0.0291,0.771,0.697,0.107,0.0397,137.941,811077.0,3,0
113,40.0,0.645,0.329,2.0,-16.642,1,0.0419,0.239,0.892,0.375,0.184,128.099,3.545833333,4,1
114,59.0,0.508,0.912,,-1.798,1,0.0827,9.75e-05,1.25e-06,0.0669,0.533,139.381,228587.0,4,0
115,42.0,0.579,0.661,7.0,-4.011,1,0.0422,0.0675,0.000373,0.303,0.374,144.909,287467.0,3,0
116,,0.521,0.527,2.0,-6.371,1,0.0296,0.0931,0.0244,0.106,0.273,122.271,259627.0,4,0
117,16.0,0.426,0.619,4.0,-11.501,0,0.0722,8.44e-05,0.00239,0.17,0.382,162.721,2.80733333,4,0
118,47.0,0.449,0.854,3.0,-8.261,1,0.0431,4.62e-05,0.016,0.246,0.408,152.142,309827.0,4,0
119,19.0,0.698,0.609,,-6.993,1,0.0485,0.743,,0.188,0.665,131.057,232413.0,4,0
120,38.0,0.54,0.425,5.0,-9.577,0,0.0518,0.428,,0.218,0.239,88.047,220543.0,4,0
121,59.0,0.691,0.231,11.0,-10.512,1,0.0471,0.815,,0.103,0.298,85.153,3.34355,4,1
122,57.0,0.58,0.551,9.0,-9.898,0,0.0582,0.181,0.00719,0.15,0.516,115.896,201213.0,4,0
123,42.0,0.565,0.754,8.0,-11.636,0,0.0344,0.678,0.0442,0.0756,0.922,135.01,6.05555,3,0
124,43.0,0.616,0.551,7.0,-7.27,1,0.0249,0.155,,0.099,0.618,75.027,216373.0,4,0
125,62.0,0.546,0.878,7.0,-5.137,1,0.0525,0.0133,,0.135,0.35,119.945,255400.0,4,0
126,50.0,0.618,0.215,2.0,-12.8,1,0.04,0.759,0.00962,0.109,0.214,90.004,290466.0,4,0
127,57.0,0.639,0.859,1.0,-3.923,1,0.0554,0.18,0.000499,0.0798,0.523,115.97,270104.0,4,0
128,60.0,0.577,0.676,8.0,-11.931,1,0.0295,0.000895,2.29e-06,0.0625,0.676,95.98,245267.0,4,0
129,52.0,0.551,0.233,6.0,-18.251,0,0.0312,0.71,0.000949,0.11,0.659,89.574,165187.0,4,0
130,28.0,0.454,0.387,2.0,-10.159,0,0.0417,0.406,0.00099,0.0783,0.686,97.995,205533.0,4,0
131,37.0,0.632,0.8,5.0,-7.227,0,0.234,0.547,,0.147,0.496,92.757,209833.0,4,0
132,56.0,0.295,0.715,2.0,-6.533,1,0.0709,0.00212,1.55e-06,0.242,0.242,86.937,199773.0,4,0
133,50.0,0.77,0.656,10.0,-11.169,0,0.246,0.11,,0.0793,0.788,98.82,253413.0,4,0
134,45.0,0.717,0.245,7.0,-10.908,0,0.0493,0.665,0.000119,0.385,0.502,83.554,214933.0,4,0
135,50.0,0.778,0.399,1.0,-8.984,1,0.0858,0.0751,0.835,0.103,0.321,137.305,67720.0,4,0
136,48.0,0.438,0.951,7.0,-5.192,0,0.0736,4.63e-05,0.233,0.351,0.461,165.088,212927.0,4,0
137,10.0,0.451,0.776,3.0,-11.756,0,0.0587,0.0518,0.703,0.11,0.609,177.953,331304.0,4,0
138,38.0,0.617,0.375,5.0,-11.889,0,0.0319,0.742,0.513,0.109,0.117,151.983,387547.0,4,0
139,54.0,0.565,0.768,2.0,-5.332,0,0.0382,0.0277,,0.0725,0.58,124.006,223907.0,4,0
140,32.0,0.62,0.835,9.0,-6.711,0,0.0319,0.273,0.00339,0.113,0.699,99.022,225072.0,4,0
141,69.0,0.589,0.797,9.0,-5.464,1,0.15,0.0289,4.35e-06,0.383,0.232,102.489,291813.0,4,0
142,38.0,0.443,0.858,8.0,-6.935,1,0.0378,0.000843,0.00243,0.18,0.34,169.951,301533.0,4,0
143,41.0,0.605,0.162,4.0,-12.932,0,0.0353,0.98,0.899,0.104,0.126,95.576,5.735216667,3,0
144,30.0,0.624,0.26,1.0,-11.64,1,0.0621,0.904,0.0263,0.0825,0.551,51.0,156933.0,4,0
145,7.0,0.513,0.658,6.0,-7.185,0,0.0622,0.512,,0.21,0.698,145.896,3.181333333,4,0
146,71.0,0.533,0.905,2.0,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,2.84688333,4,0
147,21.0,0.588,0.747,7.0,-6.064,1,0.0498,0.116,7.2e-05,0.244,0.263,138.067,249000.0,4,0
148,23.0,0.487,0.975,11.0,-4.974,1,0.105,7.47e-05,0.0183,0.201,0.526,139.964,202019.0,4,0
149,30.0,0.621,0.375,5.0,-11.8,1,0.0297,0.701,1.2e-06,0.122,0.508,132.611,219625.0,4,0
150,66.0,0.482,0.829,5.0,-5.576,1,0.0437,0.00034,,0.378,0.739,147.99,212307.0,4,0
151,69.0,0.369,0.424,7.0,-5.431,1,0.0318,0.64,,0.184,0.181,179.597,203991.0,4,0
152,50.0,0.552,0.673,9.0,-4.9,0,0.0298,0.00553,,0.114,0.174,89.993,224053.0,4,0
153,34.0,0.548,0.347,7.0,-14.7,0,0.0362,0.771,0.00175,0.124,0.498,117.75,6.90355,4,0
154,49.0,0.421,0.935,8.0,-5.153,0,0.0697,0.000442,0.000212,0.1,0.455,165.02,261240.0,4,0
155,30.0,0.524,0.336,2.0,-8.034,1,0.0415,0.841,0.00118,0.111,0.458,110.964,4.757883333,5,1
156,65.0,0.436,0.876,10.0,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,255080.0,4,0
157,17.0,0.5,0.47,,-7.996,1,0.0345,0.642,0.0511,0.276,0.346,158.809,268400.0,4,0
158,32.0,0.705,0.756,9.0,-5.274,0,0.0415,0.00477,,0.0892,0.846,129.98,141875.0,4,0
159,41.0,0.825,0.781,9.0,-4.732,0,0.107,0.0833,3.55e-05,0.26,0.812,100.013,176012.0,4,0
160,48.0,0.657,0.535,1.0,-9.715,1,0.047,0.000329,0.000492,0.318,0.738,132.257,188830.0,4,0
161,42.0,0.58,0.93,1.0,-5.719,1,0.12,0.0128,,0.102,0.534,97.917,144267.0,4,0
162,37.0,0.621,0.602,9.0,-7.796,0,0.0279,0.000316,0.853,0.134,0.609,116.011,230152.0,4,0
163,19.0,0.754,0.92,3.0,-4.484,0,0.05,0.183,0.689,0.187,0.966,147.998,266133.0,4,0
164,41.0,0.881,0.636,4.0,-13.617,0,0.156,0.0257,0.000257,0.207,0.616,108.863,259427.0,4,0
165,58.0,0.282,0.932,9.0,-4.701,1,0.0387,0.12,0.0335,0.0692,0.536,190.08,255893.0,4,0
166,32.0,0.449,0.958,6.0,-6.602,0,0.123,5.33e-06,0.000116,0.148,0.389,107.458,129373.0,4,0
167,37.0,0.548,0.709,9.0,-6.557,0,0.0273,0.00678,3.82e-06,0.104,0.191,119.998,224213.0,4,0
168,33.0,0.65,0.6,9.0,-10.615,0,0.04,0.0278,0.00121,0.811,0.795,110.016,180203.0,4,0
169,39.0,0.494,0.969,6.0,-2.694,1,0.222,0.172,0.00158,0.148,0.165,121.214,169808.0,4,0
170,42.0,0.761,0.707,5.0,-6.208,0,0.0356,0.68,0.421,0.0969,0.893,113.976,208421.0,4,0
171,39.0,0.553,0.939,3.0,-4.04,0,0.0795,0.000833,0.000181,0.404,0.369,124.984,198840.0,4,0
172,55.0,0.417,0.355,,-12.372,1,0.0599,0.847,4.18e-05,0.113,0.0914,86.078,221025.0,4,0
173,30.0,0.824,0.489,9.0,-5.669,0,0.0692,0.302,,0.0887,0.771,86.815,160250.0,4,0
174,17.0,0.349,0.336,4.0,-11.111,1,0.0292,0.723,0.913,0.154,0.062,112.966,111765.0,5,0
175,24.0,0.921,0.768,,-5.735,1,0.311,0.507,0.000738,0.053,0.775,103.713,652320.0,4,0
176,33.0,0.601,0.728,4.0,-10.469,1,0.0436,0.378,0.726,0.368,0.862,137.99,5.09355,3,1
177,30.0,0.353,0.495,8.0,-11.503,1,0.0344,0.000119,0.0119,0.13,0.567,81.018,360600.0,4,0
178,79.0,0.748,0.551,11.0,-6.12,1,0.0349,0.235,,0.119,0.66,103.953,2.408883333,4,0
179,23.0,0.15,0.843,9.0,-8.369,1,0.0439,0.000127,0.502,0.665,0.729,180.034,145932.0,4,0
180,47.0,0.774,0.64,2.0,-7.949,1,0.0333,0.743,0.0316,0.088,0.947,136.226,187933.0,4,0
181,28.0,0.373,0.964,11.0,-7.925,0,0.0798,0.000152,0.791,0.109,0.207,83.958,312363.0,4,0
182,43.0,0.42,0.831,7.0,-9.069,1,0.0754,0.00028,0.0711,0.153,0.752,120.867,218173.0,4,0
183,60.0,0.428,0.98,11.0,-2.975,0,0.443,0.0734,,0.127,0.423,92.035,168654.0,4,0
184,70.0,0.616,0.91,,-3.004,1,0.0386,0.0459,,0.343,0.693,144.072,252040.0,4,0
185,90.0,0.797,0.631,3.0,-3.818,0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,3.07021667,4,0
186,20.0,0.418,0.761,9.0,-8.285,1,0.0557,0.295,1.37e-06,0.36,0.467,152.472,298693.0,4,0
187,99.0,0.563,0.664,9.0,-5.044,1,0.154,0.335,,0.0849,0.688,166.928,2.96911667,4,0
188,59.0,0.463,0.847,11.0,-6.776,0,0.0511,0.0307,,0.117,0.625,114.962,187783.0,4,0
189,75.0,0.749,0.535,4.0,-6.785,1,0.0336,0.0131,3.65e-05,0.0982,0.601,123.042,196607.0,4,0
190,46.0,0.709,0.337,7.0,-13.14,1,0.106,0.447,0.000162,0.846,0.387,68.0,320333.0,4,0
191,33.0,0.283,0.41,4.0,-14.35,1,0.0423,0.00106,0.287,0.109,0.0612,91.127,323430.0,4,0
192,75.0,0.653,0.964,9.0,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928,209267.0,4,0
193,57.0,0.45,0.914,6.0,-6.741,1,0.0647,0.0106,8.18e-05,0.101,0.336,124.42,208293.0,4,0
194,51.0,0.522,0.881,7.0,-5.231,1,0.0847,0.00303,0.000147,0.0939,0.369,130.084,232200.0,4,0
195,64.0,0.266,0.831,4.0,-9.07,1,0.0453,0.000862,,0.0555,0.778,175.514,163693.0,4,0
196,32.0,0.754,0.795,7.0,-9.793,0,0.0384,0.0186,0.906,0.0852,0.21,122.007,259606.0,4,0
197,52.0,0.562,0.494,4.0,-8.13,0,0.0278,0.864,0.0259,0.153,0.383,144.104,215516.0,4,0
198,55.0,0.163,0.191,10.0,-20.924,1,0.0365,0.937,0.959,0.0961,0.0335,105.104,220630.0,3,0
199,48.0,0.823,0.66,,-4.698,1,0.103,0.00681,2.7e-05,0.269,0.956,114.489,228493.0,4,0
200,38.0,0.65,0.63,11.0,-6.787,0,0.04,0.278,8.55e-05,0.119,0.74,107.69,218747.0,4,0
201,57.0,0.475,0.844,1.0,-4.448,0,0.0622,0.00012,0.111,0.221,0.554,156.136,246933.0,4,0
202,35.0,0.375,0.927,6.0,-5.385,0,0.123,0.000111,8.99e-06,0.193,0.414,183.998,183040.0,4,0
203,10.0,0.713,0.146,3.0,-14.163,1,0.54,0.784,,0.212,0.474,89.267,66490.0,5,0
204,40.0,0.676,0.537,10.0,-7.974,1,0.0333,0.51,,0.0898,0.388,88.001,181569.0,4,0
205,72.0,0.667,0.755,9.0,-7.246,1,0.069,0.0966,6.94e-05,0.0523,0.883,109.535,4.77033333,4,0
206,34.0,0.408,0.943,,-5.247,1,0.129,0.0058,0.642,0.343,0.16,98.089,152252.0,4,0
207,33.0,0.494,0.958,4.0,-7.765,0,0.0511,0.0361,0.000226,0.387,0.313,145.055,352943.0,4,0
208,32.0,0.425,0.925,7.0,-6.246,1,0.105,2.22e-05,0.0723,0.0973,0.313,118.066,282978.0,4,0
209,29.0,0.605,0.772,1.0,-6.679,0,0.0262,0.298,1.96e-05,0.131,0.836,129.99,280360.0,4,0
210,48.0,0.586,0.795,11.0,-8.71,1,0.258,0.354,,0.187,0.694,94.101,314600.0,4,0
211,78.0,0.939,0.682,11.0,-5.931,1,0.306,0.00152,,0.0552,0.584,130.022,2.5801,4,0
212,52.0,0.472,0.826,9.0,-3.938,0,0.0594,0.000617,0.000713,0.187,0.132,122.326,385920.0,4,0
213,64.0,0.349,0.981,2.0,-3.228,0,0.141,2.58e-05,,0.343,0.207,160.042,202640.0,4,0
214,58.0,0.645,0.732,3.0,-5.089,1,0.0453,0.00853,2.62e-05,0.198,0.708,95.02,2.716216667,4,0
215,15.0,0.522,0.769,10.0,-5.841,0,0.191,0.104,0.000114,0.0643,0.793,189.803,240307.0,4,0
216,39.0,0.621,0.962,2.0,-6.469,1,0.0454,0.282,0.126,0.132,0.653,143.99,229489.0,4,0
217,71.0,0.597,0.617,8.0,-7.482,0,0.282,0.463,,0.66,0.889,97.923,4.592,4,0
218,27.0,0.688,0.544,7.0,-11.393,0,0.037,0.576,0.000231,0.0894,0.633,135.231,240693.0,4,0
219,61.0,0.614,0.614,4.0,-7.497,0,0.0314,0.104,3.59e-05,0.104,0.598,146.03,3.211333333,4,0
220,51.0,0.613,0.86,4.0,-4.065,1,0.0425,0.0247,,0.438,0.638,93.042,177227.0,4,0
221,47.0,0.349,0.0929,6.0,-15.315,1,0.0529,0.944,,0.0864,0.293,176.177,3.96591667,3,1
222,43.0,0.484,0.754,6.0,-6.326,0,0.0383,0.00011,0.806,0.123,0.399,124.971,265467.0,4,0
223,49.0,0.359,0.983,2.0,-3.69,0,0.0864,9.09e-05,3.54e-05,0.335,0.486,193.042,239560.0,4,0
224,25.0,0.681,0.929,8.0,-4.071,1,0.0324,0.214,,0.0375,0.793,109.982,229933.0,4,0
225,46.0,0.274,0.915,1.0,-5.259,0,0.167,0.0139,7.37e-05,0.161,0.419,169.161,203707.0,4,0
226,22.0,0.439,0.682,4.0,-9.044,1,0.042,0.113,1.1e-05,0.973,0.345,142.113,4.33955,4,0
227,17.0,0.636,0.616,7.0,-9.267,1,0.0589,0.0521,5.14e-05,0.192,0.48,82.99,207030.0,4,0
228,73.0,0.577,0.604,5.0,-5.703,1,0.0495,0.000218,0.000579,0.477,0.637,167.719,263440.0,4,0
229,43.0,0.811,0.46,2.0,-5.924,1,0.351,0.0694,,0.13,0.4,141.937,216373.0,4,0
230,40.0,0.571,0.158,2.0,-16.835,1,0.0779,0.964,0.919,0.108,0.308,114.315,3.068233333,4,0
231,35.0,0.658,0.12,,-9.397,0,0.136,0.983,,0.101,0.278,104.208,198213.0,3,0
232,53.0,0.282,0.648,9.0,-7.604,0,0.0291,0.012,0.401,0.216,0.117,91.536,331427.0,4,0
