,Track Name,Class,Feat,Length,WordCount,ng,Remix,Invalid
87,Passionfruit,Instrumental,False,12,1,False,False,False
88,New Day,HipHop,False,7,2,False,False,False
89,Soul Fixin' Man,Alt,False,15,3,True,False,False
90,Elegi For Cello,Blues,False,15,3,False,False,False
91,Comeback Kid,Country,False,12,2,False,False,False
92,"Don’t You (Forget About Me) - live from Abbey Road Studios, London",Country,False,68,12,False,False,False
93,Drive,Country,False,5,1,False,False,False
94,Shinin,HipHop,False,6,1,False,False,False
95,She's Leaving Home - Remastered,Rock,False,31,5,False,False,False
96,Taking Over,HipHop,False,11,2,False,False,False
97,Ghost,Country,False,5,1,False,False,False
98,All The Way (Stay),Country,False,18,4,False,False,False
99,picture perfect,Instrumental,False,15,2,False,False,False
100,Birdy Island,Alt,False,12,2,False,False,False
101,Dutch Courage,Indie,False,13,2,False,False,False
102,Who's That What's That,Instrumental,False,22,4,False,False,False
103,חשמל בכפות ידיך,Country,False,28,3,False,False,True
104,Good Things,Instrumental,False,11,2,False,False,False
105,Standing In the Way of Control,Alt,False,30,6,False,False,False
106,Breaks,Acoustic_Folk,False,6,1,False,False,False
107,Covered in Chrome,Country,False,17,3,False,False,False
108,Positif,Alt,False,7,1,False,False,False
109,Skin and Bones,Country,False,14,3,False,False,False
110,Star Quality,Alt,False,12,2,False,False,False
111,Falling to Pieces,Country,False,17,3,False,False,False
112,D's,Instrumental,False,3,1,False,False,False
113,The Deepest Of Sorrow,Rock,False,21,4,False,False,False
114,Coming for You,Country,False,14,3,False,False,False
115,Meaningless,Country,False,11,1,False,False,False
116,Stand By My Woman,Country,False,17,4,False,False,False
117,Paranoid,Country,False,8,1,False,False,False
118,Songs the Night Sings,Acoustic_Folk,False,21,4,False,False,False
119,Let's Get High,Alt,False,14,3,False,False,False
120,טעיתי,Instrumental,False,10,1,False,False,True
121,Young Blood - Acoustic,Rock,False,22,4,False,False,False
122,Just Dropped In (To See What Condition My Condition Was In),Country,False,59,11,False,False,False
123,Aaye Ho Meri Zindagi Mein - Female Version,Pop,False,42,8,False,False,False
124,I Think About You,Country,False,17,4,False,False,False
125,Simple Song,Indie,False,11,2,False,False,False
126,Care (with Omar Apollo),Indie,False,23,4,False,False,False
127,She's American,Country,False,14,2,False,False,False
128,Seventeen,Acoustic_Folk,False,9,1,False,False,False
129,Waitin' Around To Die,Alt,False,21,4,True,False,False
130,Bring Down The Wall,Country,False,19,4,False,False,False
131,Stepney Tale,HipHop,False,12,2,False,False,False
132,Dangerous Night,Country,False,15,2,False,False,False
133,Straighten It Out,HipHop,False,17,3,False,False,False
134,Bumble Bee,Alt,False,10,2,False,False,False
135,Queens Highway,Indie,False,14,2,False,False,False
136,Sleeping with the Enemy,Acoustic_Folk,False,23,4,False,False,False
137,DOR,Alt,False,3,1,False,False,False
138,Ikivirta,Indie,False,8,1,False,False,False
139,Kaufmann und Maid,Acoustic_Folk,False,17,3,False,False,False
140,Fling,Instrumental,False,5,1,False,False,False
141,Parasite Eve,Country,False,12,2,False,False,False
142,Day and Age - Edit,Acoustic_Folk,False,18,5,False,False,False
143,Frida Kahlo,Blues,False,11,2,False,False,False
144,Evil Hearted Woman - Alternate Take,Alt,False,35,6,False,False,False
145,Do Din Ki Jawani - Adalat / Soundtrack Version,Pop,False,46,9,False,False,False
146,Purple Haze,Country,False,11,2,False,False,False
147,Aborjinin Türküsü,Country,False,20,2,False,False,False
148,Reapers Fool,Acoustic_Folk,False,12,2,False,False,False
149,בלי לעזוב,Instrumental,False,17,2,False,False,True
150,Animal,Country,False,6,1,False,False,False
151,Bedroom (feat. Anne-Marie),Instrumental,True,26,3,False,False,False
152,Monsters,Alt,False,8,1,False,False,False
153,Mere Rang Mein Rangne Wali,Pop,False,26,5,False,False,False
154,Holding On,Country,False,10,2,False,False,False
155,David Keenan,Rock,False,12,2,False,False,False
156,In Bloom,Indie,False,8,2,False,False,False
157,77' - Acoustic Live,Country,False,19,4,False,False,False
158,Shots In The Dark,Country,False,17,4,False,False,False
159,Combo (feat. Mr Eazi),Instrumental,True,21,4,False,False,False
160,Sick of You,Acoustic_Folk,False,11,3,False,False,False
161,Empower,Acoustic_Folk,False,7,1,False,False,False
162,Blue Blood,Alt,False,10,2,False,False,False
163,B Mine?,Indie,False,7,2,False,False,False
164,Buffalo Gals,HipHop,False,12,2,False,False,False
165,Ready to Start,Country,False,14,3,False,False,False
166,Dreaming,Alt,False,8,1,False,False,False
167,Your Arms Feel Like home,Country,False,24,5,False,False,False
168,Deep,Country,False,4,1,False,False,False
169,Howlin' Back Again,Country,False,18,3,True,False,False
170,Get to You,Alt,False,10,3,False,False,False
171,Telephone,Acoustic_Folk,False,9,1,False,False,False
172,שלמים,Instrumental,False,10,1,False,False,True
173,When It's Sweet,Indie,False,15,3,False,False,False
174,Mukti,Alt,False,5,1,False,False,False
175,Funk You Up - 12'' Version,HipHop,False,26,6,False,False,False
176,Ghir Ghir,Rock,False,9,2,False,False,False
177,Devil in My Closet,Alt,False,18,4,False,False,False
178,Glad You Exist,Metal,False,14,3,False,False,False
179,Gotta Get Away,Indie,False,14,3,False,False,False
180,Fuck and Run,Indie,False,12,3,False,False,False
181,Pixel Heart: Verdant,Acoustic_Folk,False,20,3,False,False,False
182,Gettin' Tighter,Country,False,15,2,True,False,False
183,Yesterday,HipHop,False,9,1,False,False,False
184,Rockstar,Country,False,8,1,False,False,False
185,Motley Crew,Instrumental,False,11,2,False,False,False
186,רחבת הריקודים,Country,False,25,2,False,False,True
187,good 4 u,Instrumental,False,8,3,False,False,False
188,Bounce,Instrumental,False,6,1,False,False,False
189,Cheating on You,Instrumental,False,15,3,False,False,False
190,נענע,HipHop,False,8,1,False,False,True
191,Little Boy,Country,False,10,2,False,False,False
192,Smooth Criminal,Instrumental,False,15,2,False,False,False
193,Selling The Drama,Country,False,17,3,False,False,False
194,Punk Rock Princess,Country,False,18,3,False,False,False
195,Ever Fallen in Love (With Someone You Shouldn't've)?,Country,False,52,8,True,False,False
196,Dragonfly,Instrumental,False,9,1,False,False,False
197,chance with you,Instrumental,False,15,3,False,False,False
198,Pastoral,Indie,False,8,1,False,False,False
199,Uptown Funk (feat. Bruno Mars) - Radio Edit,Instrumental,True,43,8,False,False,False
200,Simple Case of the Blues,Alt,False,24,5,False,False,False
201,Take Me Away,Country,False,12,3,False,False,False
202,Reckless Demon Youth,Acoustic_Folk,False,20,3,False,False,False
203,I Have Known Rivers,HipHop,False,19,4,False,False,False
204,Take It Slow,Instrumental,False,12,3,False,False,False
205,Life in the Fast Lane - 2013 Remaster,Country,False,37,8,False,False,False
206,Tiki,Acoustic_Folk,False,4,1,False,False,False
207,Virtual Empire,Acoustic_Folk,False,14,2,False,False,False
208,Supernaut,Acoustic_Folk,False,9,1,False,False,False
209,להציל אותך,Country,False,19,2,False,False,True
210,Microphone Fiend,HipHop,False,16,2,False,False,False
211,Bundles (feat. Taylor Girlz),Instrumental,True,28,4,False,False,False
212,How Deep Is Your Love?,Country,False,22,5,False,False,False
213,All I Want,Country,False,10,3,False,False,False
214,Love Is Real,Metal,False,12,3,False,False,False
215,שוביניסט,Country,False,16,1,False,False,True
216,Random Name Generator,Alt,False,21,3,False,False,False
217,Yucky Blucky Fruitcake,Instrumental,False,22,3,False,False,False
218,ילדה קטנה,Country,False,17,2,False,False,True
219,I Don't Remember Me (Before You),Metal,False,32,6,True,False,False
220,Come Thru,Country,False,9,2,False,False,False
221,Lose You to Love Me,Rock,False,19,5,False,False,False
222,Skin Game,Country,False,9,2,False,False,False
223,The Best I Ever Had,Country,False,19,5,False,False,False
224,זה לא עושה לי כלום,Instrumental,False,32,5,False,False,True
225,Walls,Country,False,5,1,False,False,False
226,Stuck On You - Live,Instrumental,False,19,5,False,False,False
227,רק אותך,Country,False,13,2,False,False,True
228,All My Life,Country,False,11,3,False,False,False
229,Jumped Out the Whip (feat. A$AP Rocky),HipHop,True,38,7,False,False,False
230,Passeio No Rio - Arranged by Carlos Barbosa-Lima,Blues,False,48,8,False,False,False
231,Ojos verdes,Instrumental,False,11,2,False,False,False
232,"Tales of Endurance, Pt. 4, 5 & 6",Indie,False,32,8,False,False,False
233,Trouble,Country,False,7,1,False,False,False
234,רסיסים על החוף,Instrumental,False,26,3,False,False,True
235,Pressure To Party,Alt,False,17,3,False,False,False
236,Apple Picker (Acoustic),Alt,False,23,3,False,False,False
237,Self-care 101,Country,False,13,2,False,False,False
238,Los Bajos Fondos,Country,False,16,3,False,False,False
239,Tip of My Hat (Live),Alt,False,20,5,False,False,False
240,Seher,Rock,False,5,1,False,False,False
241,Archangel,Acoustic_Folk,False,9,1,False,False,False
242,Happiest of All Memorial Days,Alt,False,29,5,False,False,False
243,Graeme James,Rock,False,12,2,False,False,False
244,"Swing, Swing",Instrumental,False,12,2,False,False,False
245,Indestructible,Country,False,14,1,False,False,False
246,Tinky Winky,Alt,False,11,2,False,False,False
247,Pent-Up House,Blues,False,13,2,False,False,False
248,אלפים,HipHop,False,10,1,False,False,True
249,Asthma Pump (with Flo Milli),HipHop,False,28,5,False,False,False
250,Concerto in Dm,Acoustic_Folk,False,14,3,False,False,False
251,Squeeze Me,HipHop,False,10,2,False,False,False
252,Whatever,Alt,False,8,1,False,False,False
253,Coda,Acoustic_Folk,False,4,1,False,False,False
254,Alison,Alt,False,6,1,False,False,False
255,I Didn't Change My Number,Instrumental,False,25,5,True,False,False
256,Wolves - Edit,Country,False,13,3,False,False,False
257,Liar,Instrumental,False,4,1,False,False,False
258,Functions On the Low,HipHop,False,20,4,False,False,False
259,שינויי מזג האוויר,Country,False,32,3,False,False,True
260,Casa Con Diez Pinos,Alt,False,19,4,False,False,False
261,Little Black Submarines,Country,False,23,3,False,False,False
262,July,Instrumental,False,4,1,False,False,False
263,Wasted,Alt,False,6,1,False,False,False
264,Over Under Sideways Down - The Mono Album,Alt,False,41,8,False,False,False
265,Woman,Country,False,5,1,False,False,False
266,No Quarter - Remaster,Country,False,21,4,False,False,False
267,Falling Apart,Country,False,13,2,False,False,False
268,"you’ve changed, i’ve changed",Alt,False,32,4,False,False,False
269,I Want To Hold Your Hand - Remastered 2015,Country,False,42,9,False,False,False
270,Only Our Faces Hide,Country,False,19,4,False,False,False
271,She Sells Sanctuary,Country,False,19,3,False,False,False
272,Franckensteina Strataemontanus,Acoustic_Folk,False,30,2,False,False,False
273,To The Moon,HipHop,False,11,3,False,False,False
274,Parallel Kingdom,Acoustic_Folk,False,16,2,False,False,False
275,What Do I Know (feat. HARDY),Country,True,28,6,False,False,False
276,Keep Playin' That Rock 'n' Roll,Alt,False,31,6,True,False,False
277,What’s Next,HipHop,False,13,2,False,False,False
278,Carapace,Indie,False,8,1,False,False,False
279,The Man Who Hated Mornings,Alt,False,26,5,False,False,False
280,My Mama Don't Allow Me,Alt,False,22,5,True,False,False
281,Piece of My Heart,Country,False,17,4,False,False,False
282,I'll Know,Blues,False,9,2,False,False,False
283,Sad Songs and Waltzes (with Willie Nelson),Indie,False,42,7,False,False,False
284,Just Like Me,Instrumental,False,12,3,False,False,False
285,Save Your Tears,Instrumental,False,15,3,False,False,False
286,Something To Believe In,Country,False,23,4,False,False,False
287,Evil Containment Wave (Part II),Instrumental,False,31,5,False,False,False
288,Hot For Teacher,Country,False,15,3,False,False,False
289,It Ain't The Same Thing,Alt,False,23,5,True,False,False
290,Sad To See You Happy,Instrumental,False,20,5,False,False,False
291,Desert Parade,Blues,False,13,2,False,False,False
292,It's Not Love (But It's Not Bad),Metal,False,32,7,False,False,False
293,Chosen (feat. Ty Dolla $ign),Instrumental,True,28,5,False,False,False
294,Here If You Want (Pale Blue),Alt,False,28,6,False,False,False
295,Painted By Numbers,Country,False,18,3,False,False,False
296,Ho Hey,Instrumental,False,6,2,False,False,False
297,Take Care of You (feat. Syd),Alt,True,28,6,False,False,False
298,Had Enough,Indie,False,10,2,False,False,False
299,One Night,Indie,False,9,2,False,False,False
300,Over,Instrumental,False,4,1,False,False,False
301,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Country,False,55,12,False,False,False
302,Makin' Whoopee,Blues,False,14,2,True,False,False
303,Get Yourself Some,Alt,False,17,3,False,False,False
304,Echoing,Country,False,7,1,False,False,False
305,Awakning Main Sutti,Rock,False,19,3,False,False,False
306,Playing With Fire is Such a Cliché,Acoustic_Folk,False,35,7,False,False,False
307,Morning,Instrumental,False,7,1,False,False,False
308,Be Honest,Alt,False,9,2,False,False,False
309,Third Day Of A Seven Day Binge,Acoustic_Folk,False,30,7,False,False,False
310,סע!,HipHop,False,5,1,False,False,True
311,After Dark,Rock,False,10,2,False,False,False
312,Causing Trouble - Kormac Remix,Indie,False,30,5,False,True,False
313,Do You Remember The Times,Indie,False,25,5,False,False,False
314,Sunset Grill,Country,False,12,2,False,False,False
315,Aa Ab Laut Chalen,Pop,False,17,4,False,False,False
316,Kill the Medicine Man,Indie,False,21,4,False,False,False
317,Drugs in My Body,Alt,False,16,4,False,False,False
318,Shelter,Rock,False,7,1,False,False,False
319,A Kid From Bathroom,Country,False,19,4,False,False,False
320,Dreams,Country,False,6,1,False,False,False
321,Venus,Indie,False,5,1,False,False,False
322,September,Country,False,9,1,False,False,False
323,Screws,Country,False,6,1,False,False,False
324,Kukoč (feat. NAV),HipHop,True,18,3,False,False,False
325,Cinnamon Girl,Acoustic_Folk,False,13,2,False,False,False
326,Head Above Water,Instrumental,False,16,3,False,False,False
327,Next Hype - Instrumental,HipHop,False,24,4,False,False,False
328,Lamb to the Slaughter,Acoustic_Folk,False,21,4,False,False,False
329,Hollywood Factory,Indie,False,17,2,False,False,False
330,La Tour - Orchestral Version,Blues,False,28,5,False,False,False
331,Colors,Country,False,6,1,False,False,False
332,April Skies,Country,False,11,2,False,False,False
333,One Hand Loose,Country,False,14,3,False,False,False
334,Modelo,HipHop,False,6,1,False,False,False
335,If Your Heart's Not In It,Instrumental,False,25,6,False,False,False
336,Something,Alt,False,9,1,False,False,False
337,Win,Indie,False,3,1,False,False,False
338,Milk,Alt,False,4,1,False,False,False
339,Executioner's Tax (Swing of the Axe),Acoustic_Folk,False,36,6,False,False,False
340,Blue Line Baby,Alt,False,14,3,False,False,False
341,I Walk The Line,Country,False,15,4,False,False,False
342,Sweetness and Light,Alt,False,19,3,False,False,False
343,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",Instrumental,True,68,13,False,False,False
344,Photo ID (with Dominic Fike),Alt,False,28,5,False,False,False
345,Rapture,Indie,False,7,1,False,False,False
346,The River Dragon Has Come,Acoustic_Folk,False,25,5,False,False,False
347,You Ain't The Problem,Instrumental,False,21,4,True,False,False
348,Street Justice,Indie,False,14,2,False,False,False
349,リザードマン,Country,False,18,1,False,False,False
350,She Sells Sanctuary,Alt,False,19,3,False,False,False
351,מרפקים,HipHop,False,12,1,False,False,True
352,Paris en août,Alt,False,14,3,False,False,False
353,Tatuaje,Instrumental,False,7,1,False,False,False
354,Wake Up,Indie,False,7,2,False,False,False
355,Elenion,Blues,False,7,1,False,False,False
356,Open Air,Indie,False,8,2,False,False,False
357,Don't Let Me Be the Last to Know,Instrumental,False,32,8,True,False,False
358,חדשות טובות,Instrumental,False,21,2,False,False,True
359,Bulletproof Skin,Country,False,16,2,False,False,False
360,Fire and Rain - 2019 Remaster,Country,False,29,6,False,False,False
361,Just Got Started Lovin' You,Metal,False,27,5,True,False,False
362,Not Human,Country,False,9,2,False,False,False
363,Lost Ones,HipHop,False,9,2,False,False,False
364,Put The Knife Away,Country,False,18,4,False,False,False
365,Money For Nothing,Country,False,17,3,False,False,False
366,מאמי,Instrumental,False,8,1,False,False,True
367,Chinatown (feat. Bruce Springsteen),Alt,True,35,4,False,False,False
368,Where Are We Now?,Alt,False,17,4,False,False,False
369,The Geeks Were Right,Alt,False,20,4,False,False,False
370,Town's Dead,Country,False,11,2,True,False,False
371,Take A Look Around,Country,False,18,4,False,False,False
372,Going Down,Alt,False,10,2,False,False,False
373,QADIR - Single Version,Alt,False,22,4,False,False,False
374,"Hardum Humdum (From ""Ludo"")",Pop,False,27,4,False,False,False
375,מביט מהצד,Instrumental,False,17,2,False,False,True
376,Poundcake,Acoustic_Folk,False,9,1,False,False,False
377,Behind Blue Eyes,Country,False,16,3,False,False,False
378,Två Systrar,Acoustic_Folk,False,12,2,False,False,False
379,Cheap Date,Instrumental,False,10,2,False,False,False
380,Papa's on the House Top,Alt,False,23,5,False,False,False
381,Cosmic Coming of Age,Alt,False,20,4,False,False,False
382,PILL BREAKER (feat. blackbear & Machine Gun Kelly),Country,True,50,8,False,False,False
383,Blue,Alt,False,4,1,False,False,False
384,Third Degree,Alt,False,12,2,False,False,False
385,String Quartet in D - Arr. for string orchestra: 1. Allegro,Blues,False,59,11,False,False,False
386,Breather,Alt,False,8,1,False,False,False
387,Crawl Outta Love - The Glitch Mob Remix,Country,False,39,8,False,True,False
388,Oh My God,Indie,False,9,3,False,False,False
389,Your Love (9PM),Instrumental,False,15,3,False,False,False
390,Ani Oogiot,Alt,False,10,2,False,False,False
391,Cause You Got Me,Country,False,16,4,False,False,False
392,First Time,Country,False,10,2,False,False,False
393,Mann Bheetar,Rock,False,12,2,False,False,False
394,Heavy (feat. blackbear),Indie,True,23,3,False,False,False
395,Tangerine,Alt,False,9,1,False,False,False
396,Train Kept a Rollin',Country,False,20,4,True,False,False
397,פרחים במדבר,Instrumental,False,21,2,False,False,True
398,My Friend,Alt,False,9,2,False,False,False
399,Formation - Otik Remix,Indie,False,22,4,False,True,False
400,Iron Man - 2012 - Remaster,Country,False,26,6,False,False,False
401,Ghetto Love Birds,HipHop,False,17,3,False,False,False
402,The Fireman,Metal,False,11,2,False,False,False
403,Night Garden (feat. Kenny Beats & Bakar),Alt,True,40,7,False,False,False
404,Get What You Want (feat. PnB Rock),HipHop,True,34,7,False,False,False
405,In Your Arms Again,Alt,False,18,4,False,False,False
406,Speak of the Devil,Country,False,18,4,False,False,False
407,Darkside,Country,False,8,1,False,False,False
408,אני רוצה,Instrumental,False,15,2,False,False,True
409,This Time I'm Gone For Good,Alt,False,27,6,False,False,False
410,On Our Own,Alt,False,10,3,False,False,False
411,תבטיחי לי,Instrumental,False,17,2,False,False,True
412,IC3 (feat. Skepta) - Single Version,HipHop,True,35,6,False,False,False
413,Ek Dil Ek Jaan,Pop,False,14,4,False,False,False
414,Dive,Alt,False,4,1,False,False,False
415,Big Nothing,Alt,False,11,2,False,False,False
416,Lola - Remastered,Country,False,17,3,False,False,False
417,The Elm,Acoustic_Folk,False,7,2,False,False,False
418,Pretty Pimpin,Alt,False,13,2,False,False,False
419,Baby My Phone,Instrumental,False,13,3,False,False,False
420,Smoothness,Blues,False,10,1,False,False,False
421,Gimme Shelter,Country,False,13,2,False,False,False
422,The First Cut Is the Deepest,Rock,False,28,6,False,False,False
423,eye 2 eye,Alt,False,9,3,False,False,False
424,wrong but worth it,Instrumental,False,18,4,False,False,False
425,Current,Indie,False,7,1,False,False,False
426,Inkpot,Alt,False,6,1,False,False,False
427,If You Ever Wanna Be In Love - James Bay Spotify Session 2015,Rock,False,61,13,False,False,False
428,72,Alt,False,2,1,False,False,False
429,Time of the Season - Mono Version,Country,False,33,7,False,False,False
430,Big Gun,Acoustic_Folk,False,7,2,False,False,False
431,There Stands The Glass,Country,False,22,4,False,False,False
432,Please Let Me Go Round Again,Alt,False,28,6,False,False,False
433,Wisdom Tooth,Country,False,12,2,False,False,False
434,forget me too (feat. Halsey),Country,True,28,5,False,False,False
435,Hey Michael,Alt,False,11,2,False,False,False
436,Be A Cowboy,Country,False,11,3,False,False,False
437,Angel Snow,Rock,False,10,2,False,False,False
438,Big River,Country,False,9,2,False,False,False
439,The Eulogy of You and Me,Instrumental,False,24,6,False,False,False
440,Butter,Instrumental,False,6,1,False,False,False
441,עוד סיפור אחד של אהבה,Instrumental,False,38,5,False,False,True
442,Sleepwalker,Country,False,11,1,False,False,False
443,"Blue On Black (feat. Kenny Wayne Shepherd, Brantley Gilbert & Brian May)",Acoustic_Folk,True,72,12,False,False,False
444,Grey Area,HipHop,False,9,2,False,False,False
445,Stay Woke,HipHop,False,9,2,False,False,False
446,Universe,Alt,False,8,1,False,False,False
447,emily,Instrumental,False,5,1,False,False,False
448,The Shining but Tropical,Indie,False,24,4,False,False,False
449,And Then What,HipHop,False,13,3,False,False,False
450,Begani Shadi Men Abdulla Diwana,Pop,False,31,5,False,False,False
451,Take a Walk,Alt,False,11,3,False,False,False
452,Gettin' Some,HipHop,False,12,2,True,False,False
453,Landslide,Alt,False,9,1,False,False,False
454,Prospector's Blues,Indie,False,18,2,False,False,False
455,Marsch der Wölfe,Acoustic_Folk,False,17,3,False,False,False
456,durag activity (with Travis Scott),HipHop,False,34,5,False,False,False
457,Hot Summer,Alt,False,10,2,False,False,False
458,Hazard,Acoustic_Folk,False,6,1,False,False,False
